Orthogroup	pbar_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins
OG0000004	PBAR_PB16471-RA	LHUM_LH10644-RA
OG0000004	PBAR_PB16987-RA	LHUM_LH10331-RA, LHUM_LH11876-RA, LHUM_LH10489-RA, LHUM_LH15667-RA, LHUM_LH10219-RA, LHUM_LH11603-RA, LHUM_LH10199-RA, LHUM_LH19328-RA, LHUM_LH24632-RA, LHUM_LH10231-RA, LHUM_LH11549-RA, LHUM_LH10460-RA, LHUM_LH13389-RA, LHUM_LH10754-RA, LHUM_LH15069-RA, LHUM_LH10642-RA, LHUM_LH10518-RA, LHUM_LH25173-RA, LHUM_LH10654-RA, LHUM_LH11598-RA, LHUM_LH22695-RA, LHUM_LH13358-RA, LHUM_LH25443-RA, LHUM_LH18418-RA, LHUM_LH10214-RA, LHUM_LH10532-RA, LHUM_LH13391-RA
OG0000004	PBAR_PB10451-RA	LHUM_LH14817-RA
OG0000005	PBAR_PB11556-RA	LHUM_LH22492-RA
OG0000005	PBAR_PB11550-RA	LHUM_LH25976-RA
OG0000006	PBAR_PB13139-RA	LHUM_LH14670-RA, LHUM_LH14693-RA, LHUM_LH11875-RA, LHUM_LH24294-RA, LHUM_LH16778-RA, LHUM_LH10115-RA, LHUM_LH15068-RA, LHUM_LH10757-RA, LHUM_LH19724-RA, LHUM_LH10856-RA, LHUM_LH24627-RA, LHUM_LH24628-RA, LHUM_LH19340-RA, LHUM_LH10232-RA, LHUM_LH11604-RA, LHUM_LH10461-RA, LHUM_LH13392-RA, LHUM_LH22776-RA, LHUM_LH10216-RA, LHUM_LH10655-RA, LHUM_LH24063-RA, LHUM_LH22781-RA, LHUM_LH10380-RA, LHUM_LH10503-RA, LHUM_LH18965-RA, LHUM_LH10528-RA, LHUM_LH11873-RA, LHUM_LH15671-RA, LHUM_LH10488-RA, LHUM_LH10330-RA, LHUM_LH10220-RA, LHUM_LH14684-RA, LHUM_LH13869-RA, LHUM_LH14820-RA, LHUM_LH24302-RA, LHUM_LH24311-RA, LHUM_LH10475-RA
OG0000007	PBAR_PB14953-RA, PBAR_PB12242-RA, PBAR_PB13500-RA, PBAR_PB12815-RA, PBAR_PB15425-RA, PBAR_PB12801-RA, PBAR_PB10514-RA, PBAR_PB12814-RA, PBAR_PB12240-RA, PBAR_PB11654-RA, PBAR_PB20747-RA, PBAR_PB21716-RA, PBAR_PB21730-RA, PBAR_PB10750-RA, PBAR_PB10906-RA, PBAR_PB13501-RA, PBAR_PB26949-RA, PBAR_PB14717-RA, PBAR_PB10747-RA, PBAR_PB12159-RA, PBAR_PB16475-RA, PBAR_PB14954-RA, PBAR_PB14720-RA, PBAR_PB10748-RA, PBAR_PB21997-RA, PBAR_PB11178-RA, PBAR_PB13125-RA, PBAR_PB13525-RA, PBAR_PB10397-RA, PBAR_PB13126-RA, PBAR_PB21737-RA, PBAR_PB21975-RA, PBAR_PB16470-RA, PBAR_PB16474-RA, PBAR_PB16468-RA, PBAR_PB14719-RA, PBAR_PB10746-RA, PBAR_PB21735-RA	LHUM_LH19102-RA
OG0000008	PBAR_PB17797-RA	LHUM_LH10709-RA, LHUM_LH10735-RA, LHUM_LH10239-RA, LHUM_LH14375-RA, LHUM_LH10249-RA, LHUM_LH10147-RA, LHUM_LH11848-RA, LHUM_LH10418-RA, LHUM_LH10707-RA, LHUM_LH22712-RA, LHUM_LH20013-RA, LHUM_LH10257-RA, LHUM_LH13868-RA, LHUM_LH13394-RA, LHUM_LH25231-RA, LHUM_LH13364-RA, LHUM_LH22762-RA, LHUM_LH10508-RA, LHUM_LH23914-RA, LHUM_LH14695-RA, LHUM_LH15067-RA, LHUM_LH10843-RA, LHUM_LH20605-RA, LHUM_LH10731-RA, LHUM_LH10496-RA, LHUM_LH10065-RA, LHUM_LH13871-RA, LHUM_LH11138-RA, LHUM_LH11576-RA, LHUM_LH14940-RA, LHUM_LH23744-RA, LHUM_LH10355-RA, LHUM_LH15436-RA, LHUM_LH15623-RA, LHUM_LH15171-RA, LHUM_LH23196-RA
OG0000009	PBAR_PB23729-RA	LHUM_LH25509-RA, LHUM_LH25196-RA, LHUM_LH25197-RA, LHUM_LH13402-RA, LHUM_LH15427-RA, LHUM_LH14717-RA, LHUM_LH16498-RA, LHUM_LH15078-RA, LHUM_LH10086-RA, LHUM_LH10177-RA, LHUM_LH10286-RA, LHUM_LH11869-RA, LHUM_LH13194-RA, LHUM_LH22483-RA, LHUM_LH10370-RA, LHUM_LH10414-RA, LHUM_LH10742-RA
OG0000009	PBAR_PB18641-RA	LHUM_LH15167-RA, LHUM_LH22779-RA, LHUM_LH25199-RA, LHUM_LH10176-RA, LHUM_LH13184-RA, LHUM_LH13329-RA
OG0000010	PBAR_PB13497-RA	LHUM_LH25812-RA
OG0000010	PBAR_PB18385-RA	LHUM_LH25201-RA, LHUM_LH25275-RA
OG0000010	PBAR_PB11078-RA	LHUM_LH10442-RA, LHUM_LH23200-RA, LHUM_LH14397-RA, LHUM_LH22760-RA
OG0000010	PBAR_PB18386-RA	LHUM_LH23740-RA, LHUM_LH10028-RA, LHUM_LH11518-RA, LHUM_LH13202-RA, LHUM_LH12833-RA, LHUM_LH15168-RA, LHUM_LH15673-RA, LHUM_LH15074-RA, LHUM_LH19319-RA, LHUM_LH25195-RA, LHUM_LH10062-RA
OG0000011	PBAR_PB11305-RA	LHUM_LH19899-RA
OG0000011	PBAR_PB21450-RA	LHUM_LH10021-RA, LHUM_LH10125-RA, LHUM_LH14376-RA, LHUM_LH11884-RA, LHUM_LH19997-RA, LHUM_LH12750-RA, LHUM_LH19723-RA, LHUM_LH11335-RA, LHUM_LH20494-RA, LHUM_LH14439-RA, LHUM_LH11174-RA
OG0000011	PBAR_PB17807-RA	LHUM_LH11850-RA, LHUM_LH17571-RA, LHUM_LH16721-RA, LHUM_LH19727-RA, LHUM_LH23847-RA, LHUM_LH11317-RA, LHUM_LH22545-RA, LHUM_LH15100-RA, LHUM_LH15699-RA
OG0000013	PBAR_PB14568-RA, PBAR_PB11307-RA, PBAR_PB17804-RA, PBAR_PB15153-RA, PBAR_PB11591-RA, PBAR_PB11038-RA, PBAR_PB14950-RA, PBAR_PB10118-RA, PBAR_PB14814-RA, PBAR_PB18202-RA, PBAR_PB11602-RA, PBAR_PB14343-RA, PBAR_PB25124-RA, PBAR_PB11365-RA, PBAR_PB18204-RA, PBAR_PB18652-RA, PBAR_PB21986-RA, PBAR_PB14813-RA, PBAR_PB10615-RA, PBAR_PB11298-RA, PBAR_PB11363-RA, PBAR_PB10939-RA, PBAR_PB14822-RA	LHUM_LH10721-RA
OG0000017	PBAR_PB10081-RA, PBAR_PB10600-RA, PBAR_PB10080-RA	LHUM_LH15216-RA
OG0000018	PBAR_PB18791-RA, PBAR_PB10426-RA, PBAR_PB24729-RA, PBAR_PB19920-RA	LHUM_LH23654-RA
OG0000018	PBAR_PB14570-RA, PBAR_PB15055-RA	LHUM_LH10169-RA
OG0000018	PBAR_PB11364-RA, PBAR_PB11301-RA, PBAR_PB14723-RA, PBAR_PB15151-RA, PBAR_PB11302-RA, PBAR_PB23630-RA, PBAR_PB11486-RA, PBAR_PB10458-RA, PBAR_PB22031-RA, PBAR_PB24928-RA, PBAR_PB10541-RA, PBAR_PB15057-RA, PBAR_PB23055-RA, PBAR_PB19921-RA, PBAR_PB22352-RA, PBAR_PB12034-RA, PBAR_PB23629-RA, PBAR_PB22777-RA	LHUM_LH11733-RA
OG0000019	PBAR_PB20487-RA, PBAR_PB11160-RA, PBAR_PB26535-RA, PBAR_PB15372-RA, PBAR_PB15368-RA, PBAR_PB18595-RA, PBAR_PB15371-RA, PBAR_PB15365-RA, PBAR_PB23061-RA, PBAR_PB15369-RA, PBAR_PB18574-RA, PBAR_PB13412-RA, PBAR_PB13414-RA, PBAR_PB23596-RA, PBAR_PB23595-RA, PBAR_PB26417-RA, PBAR_PB13413-RA, PBAR_PB13411-RA, PBAR_PB13410-RA, PBAR_PB10547-RA, PBAR_PB10150-RA, PBAR_PB15373-RA	LHUM_LH23241-RA
OG0000021	PBAR_PB14321-RA	LHUM_LH15683-RA, LHUM_LH15684-RA, LHUM_LH13481-RA, LHUM_LH21433-RA
OG0000021	PBAR_PB16983-RA	LHUM_LH17459-RA
OG0000021	PBAR_PB25919-RA	LHUM_LH14899-RA, LHUM_LH13483-RA, LHUM_LH13484-RA, LHUM_LH24991-RA, LHUM_LH14900-RA
OG0000021	PBAR_PB17995-RA	LHUM_LH24684-RA
OG0000021	PBAR_PB25918-RA	LHUM_LH19960-RA, LHUM_LH15387-RA, LHUM_LH15385-RA, LHUM_LH17269-RA, LHUM_LH17270-RA
OG0000022	PBAR_PB21817-RA	LHUM_LH20614-RA, LHUM_LH20612-RA
OG0000022	PBAR_PB26159-RA, PBAR_PB10304-RA, PBAR_PB26160-RA	LHUM_LH25883-RA, LHUM_LH25885-RA
OG0000022	PBAR_PB26161-RA	LHUM_LH18177-RA
OG0000022	PBAR_PB19745-RA	LHUM_LH10827-RA
OG0000023	PBAR_PB18719-RA	LHUM_LH10560-RA, LHUM_LH25475-RA, LHUM_LH13383-RA, LHUM_LH26016-RA, LHUM_LH25299-RA, LHUM_LH10080-RA, LHUM_LH10559-RA, LHUM_LH10830-RA, LHUM_LH13874-RA, LHUM_LH10114-RA, LHUM_LH25441-RA, LHUM_LH12473-RA, LHUM_LH22538-RA, LHUM_LH10345-RA, LHUM_LH10511-RA, LHUM_LH14403-RA, LHUM_LH25265-RA, LHUM_LH14679-RA, LHUM_LH23888-RA, LHUM_LH14404-RA, LHUM_LH10512-RA, LHUM_LH10443-RA, LHUM_LH22764-RA, LHUM_LH15619-RA
OG0000024	PBAR_PB18065-RA	LHUM_LH25577-RA
OG0000024	PBAR_PB19339-RA	LHUM_LH14564-RA
OG0000025	PBAR_PB16491-RA	LHUM_LH19303-RA, LHUM_LH15781-RA, LHUM_LH10501-RA, LHUM_LH15782-RA, LHUM_LH10491-RA, LHUM_LH15663-RA, LHUM_LH10599-RA, LHUM_LH15181-RA
OG0000025	PBAR_PB11210-RA, PBAR_PB16489-RA	LHUM_LH18358-RA
OG0000025	PBAR_PB16490-RA	LHUM_LH19302-RA
OG0000025	PBAR_PB16089-RA	LHUM_LH18359-RA
OG0000027	PBAR_PB12530-RA	LHUM_LH17512-RA
OG0000027	PBAR_PB12531-RA, PBAR_PB26572-RA, PBAR_PB10151-RA, PBAR_PB10164-RA, PBAR_PB10232-RA, PBAR_PB26202-RA, PBAR_PB10121-RA, PBAR_PB10096-RA, PBAR_PB11391-RA, PBAR_PB10268-RA, PBAR_PB10165-RA, PBAR_PB11392-RA, PBAR_PB10233-RA, PBAR_PB10210-RA, PBAR_PB11389-RA, PBAR_PB11390-RA, PBAR_PB26573-RA, PBAR_PB16912-RA, PBAR_PB26615-RA, PBAR_PB26616-RA, PBAR_PB26617-RA	LHUM_LH13656-RA
OG0000028	PBAR_PB11430-RA, PBAR_PB15495-RA	LHUM_LH25256-RA
OG0000028	PBAR_PB20453-RA	LHUM_LH14430-RA, LHUM_LH25190-RA, LHUM_LH13235-RA, LHUM_LH20985-RA, LHUM_LH23742-RA, LHUM_LH15605-RA
OG0000028	PBAR_PB20452-RA	LHUM_LH15604-RA
OG0000029	PBAR_PB25650-RB, PBAR_PB25650-RA	LHUM_LH10374-RA, LHUM_LH10373-RA, LHUM_LH12262-RA, LHUM_LH10368-RA, LHUM_LH25438-RA, LHUM_LH10007-RA, LHUM_LH10860-RA, LHUM_LH13179-RA, LHUM_LH13310-RA, LHUM_LH10275-RA, LHUM_LH10375-RA, LHUM_LH10861-RA, LHUM_LH10862-RA, LHUM_LH25440-RA, LHUM_LH10072-RA, LHUM_LH10640-RA, LHUM_LH25439-RA, LHUM_LH13311-RA
OG0000030	PBAR_PB17838-RA, PBAR_PB10611-RA, PBAR_PB10001-RA, PBAR_PB10456-RA, PBAR_PB10418-RA, PBAR_PB17190-RA, PBAR_PB10419-RA, PBAR_PB15812-RA, PBAR_PB10556-RA, PBAR_PB17839-RA	LHUM_LH10457-RA
OG0000030	PBAR_PB13847-RA, PBAR_PB15813-RA, PBAR_PB10395-RA, PBAR_PB15814-RA, PBAR_PB27091-RA, PBAR_PB17194-RA, PBAR_PB13849-RA, PBAR_PB17845-RA	LHUM_LH11893-RA
OG0000031	PBAR_augustus-pbar_scf7180000350332-abinit-gene-2.90-mRNA-1	LHUM_LH15985-RA
OG0000031	PBAR_PB16444-RA	LHUM_LH22979-RA
OG0000031	PBAR_PB23489-RA, PBAR_PB21981-RA, PBAR_PB23488-RA	LHUM_LH22512-RA, LHUM_LH24672-RA
OG0000031	PBAR_PB22688-RA	LHUM_LH14542-RA
OG0000031	PBAR_PB24448-RA	LHUM_LH24723-RA
OG0000032	PBAR_PB14735-RA	LHUM_LH10529-RA, LHUM_LH16692-RA
OG0000032	PBAR_PB12750-RA	LHUM_LH16691-RA
OG0000032	PBAR_PB20791-RA	LHUM_LH15681-RA
OG0000032	PBAR_PB22578-RA	LHUM_LH24088-RA
OG0000033	PBAR_PB17796-RB	LHUM_LH10063-RA
OG0000033	PBAR_PB17801-RA	LHUM_LH12280-RA, LHUM_LH15086-RA, LHUM_LH15085-RA, LHUM_LH10143-RA, LHUM_LH10653-RA, LHUM_LH10536-RA, LHUM_LH24584-RA, LHUM_LH23650-RA, LHUM_LH10537-RA
OG0000035	PBAR_PB16372-RA	LHUM_LH18464-RA
OG0000035	PBAR_PB26592-RA, PBAR_PB16374-RA	LHUM_LH25728-RA
OG0000035	PBAR_PB16376-RA, PBAR_PB16375-RA	LHUM_LH18458-RA
OG0000036	PBAR_Pbar_desat_frag1-1	LHUM_LH14925-RA, LHUM_Lhum_CG9747_k-RA, LHUM_LH24885-RA, LHUM_Lhum_CG9747_n-RA, LHUM_Lhum_CG9747_o-RB, LHUM_LH13466-RA, LHUM_LH14562-RA, LHUM_LH13323-RA, LHUM_LH24884-RA, LHUM_Lhum_CG9747_i-RA, LHUM_Lhum_CG9747_j-RA, LHUM_LH19802-RA, LHUM_LH10841-RA, LHUM_Lhum_CG9747_m-RA, LHUM_LH11816-RA, LHUM_LH11825-RA, LHUM_LH13289-RA, LHUM_Lhum_desat_frag6-RA, LHUM_LH10840-RA, LHUM_LH13474-RA, LHUM_LH13473-RA
OG0000037	PBAR_PB10825-RA	LHUM_LH11288-RA
OG0000037	PBAR_PB24933-RA, PBAR_pbar_CG8306-RA, PBAR_PB17473-RA, PBAR_PB12884-RA, PBAR_PB10830-RA, PBAR_PB10826-RA, PBAR_PB10831-RA, PBAR_PB10328-RA	LHUM_LH10353-RA
OG0000038	PBAR_PB26388-RA	LHUM_LH23078-RA
OG0000039	PBAR_PB25136-RA	LHUM_LH24045-RA
OG0000039	PBAR_PB15785-RA	LHUM_LH20394-RA
OG0000039	PBAR_PB19088-RA, PBAR_PB19078-RA	LHUM_LH15650-RA
OG0000039	PBAR_PB25135-RA, PBAR_PB25133-RA	LHUM_LH24044-RA
OG0000040	PBAR_PB10883-RA	LHUM_LH11199-RA, LHUM_LH11590-RA, LHUM_LH10641-RA, LHUM_LH11589-RA, LHUM_LH22486-RA, LHUM_LH14800-RA, LHUM_LH12797-RA, LHUM_LH25482-RA, LHUM_LH14792-RA, LHUM_LH15666-RA, LHUM_LH14672-RB, LHUM_LH11582-RA, LHUM_LH14672-RA, LHUM_LH15166-RA, LHUM_LH10123-RA, LHUM_LH24293-RA
OG0000041	PBAR_PB22268-RA	LHUM_LH10454-RA
OG0000041	PBAR_PB17690-RA	LHUM_LH14522-RA, LHUM_LH10336-RA, LHUM_LH15403-RA
OG0000044	PBAR_PB26199-RA	LHUM_LH12469-RA, LHUM_LH11594-RA, LHUM_LH11141-RA, LHUM_LH10282-RA, LHUM_LH11595-RA, LHUM_LH10515-RA, LHUM_LH10087-RA
OG0000044	PBAR_PB22802-RA	LHUM_LH11143-RA, LHUM_LH21774-RA, LHUM_LH20539-RA, LHUM_LH10853-RA, LHUM_LH22243-RA
OG0000044	PBAR_PB18611-RA	LHUM_LH25123-RA
OG0000045	PBAR_PB11603-RA	LHUM_LH10622-RA, LHUM_LH19273-RA
OG0000045	PBAR_PB11603-RB	LHUM_LH13964-RA, LHUM_LH11488-RA, LHUM_LH20306-RA, LHUM_LH11176-RA, LHUM_LH10168-RA, LHUM_LH11179-RA
OG0000047	PBAR_PB12857-RA	LHUM_LH14011-RA, LHUM_LH14010-RA, LHUM_LH25533-RA, LHUM_LH24049-RA, LHUM_LH25532-RA, LHUM_LH15063-RA, LHUM_LH25539-RA, LHUM_LH25538-RA, LHUM_LH19459-RA, LHUM_LH13852-RA, LHUM_LH13844-RA, LHUM_LH18149-RA, LHUM_LH25535-RA, LHUM_LH19196-RA, LHUM_LH20668-RA, LHUM_LH25536-RA
OG0000048	PBAR_PB22325-RA, PBAR_PB14509-RA, PBAR_PB11034-RA, PBAR_PB11401-RA, PBAR_PB11724-RA, PBAR_PB11402-RA, PBAR_PB11403-RA, PBAR_PB10500-RA, PBAR_PB10523-RA, PBAR_PB11358-RA	LHUM_LH12558-RA
OG0000048	PBAR_PB14506-RA, PBAR_PB11723-RA, PBAR_PB22317-RA, PBAR_PB11033-RA, PBAR_PB14758-RA, PBAR_PB11400-RA	LHUM_LH12556-RA, LHUM_LH11593-RA
OG0000051	PBAR_PB14420-RA	LHUM_LH10136-RA
OG0000052	PBAR_PB17210-RA	LHUM_LH17100-RA
OG0000052	PBAR_PB19407-RA	LHUM_LH17822-RA
OG0000052	PBAR_PB25917-RA	LHUM_LH21131-RA
OG0000052	PBAR_PB25930-RA	LHUM_LH21152-RA
OG0000052	PBAR_PB19406-RA	LHUM_LH17808-RA
OG0000052	PBAR_PB19410-RA	LHUM_LH17810-RA
OG0000052	PBAR_PB19409-RA	LHUM_LH17809-RA
OG0000053	PBAR_PB18249-RA	LHUM_LH22632-RA
OG0000054	PBAR_PB25191-RA	LHUM_LH13585-RA
OG0000054	PBAR_PB17557-RA	LHUM_LH16335-RA
OG0000054	PBAR_PB18192-RA, PBAR_PB18190-RA, PBAR_PB18191-RA	LHUM_LH22562-RA
OG0000054	PBAR_PB12060-RA, PBAR_PB18193-RA, PBAR_PB12057-RA	LHUM_LH12079-RA
OG0000054	PBAR_PB11368-RA	LHUM_LH25760-RA, LHUM_LH25761-RA
OG0000054	PBAR_PB18184-RA	LHUM_LH22565-RA
OG0000055	PBAR_PB24189-RA	LHUM_LH19162-RA
OG0000055	PBAR_PB12187-RA	LHUM_LH24003-RA, LHUM_LH19163-RA
OG0000055	PBAR_PB18852-RA	LHUM_LH24002-RA
OG0000055	PBAR_PB25255-RA	LHUM_LH18070-RA
OG0000057	PBAR_PB19813-RA	LHUM_LH17363-RA
OG0000057	PBAR_PB24929-RA	LHUM_LH16824-RA, LHUM_LH16822-RA
OG0000057	PBAR_PB20045-RA	LHUM_LH22548-RA, LHUM_LH10768-RA, LHUM_LH14471-RA, LHUM_LH10859-RA, LHUM_LH20452-RA, LHUM_LH15114-RA, LHUM_LH11566-RA, LHUM_LH10281-RA, LHUM_LH20453-RA, LHUM_LH10910-RA
OG0000058	PBAR_PB14263-RA, PBAR_PB21705-RA, PBAR_PB21704-RA, PBAR_PB14264-RA, PBAR_PB14260-RA, PBAR_PB23802-RA, PBAR_PB10029-RA, PBAR_PB14261-RA, PBAR_PB10422-RA, PBAR_PB10213-RA, PBAR_PB10612-RA, PBAR_PB26222-RA, PBAR_PB10021-RA, PBAR_PB13571-RA, PBAR_PB10028-RA, PBAR_PB14262-RA, PBAR_pbar_CG32104-like-1	LHUM_LH12853-RA
OG0000062	PBAR_PB13330-RA	LHUM_LH11343-RA
OG0000062	PBAR_pbar_HSP70-1	LHUM_LH12354-RA
OG0000062	PBAR_PB16617-RA	LHUM_LH22708-RA
OG0000062	PBAR_PB15578-RA	LHUM_LH23404-RA
OG0000064	PBAR_PB13264-RA	LHUM_LH12899-RA
OG0000064	PBAR_PB14550-RA	LHUM_LH11173-RA
OG0000064	PBAR_pbar_SerT-1	LHUM_LH13102-RA
OG0000064	PBAR_PB11835-RA	LHUM_LH24213-RA
OG0000064	PBAR_PB11906-RA	LHUM_LH23378-RA
OG0000064	PBAR_PB14684-RA	LHUM_LH16392-RA
OG0000065	PBAR_PB26929-RA, PBAR_PB26927-RA	LHUM_LH24938-RA
OG0000065	PBAR_PB26926-RA	LHUM_LH26112-RA
OG0000065	PBAR_PB26928-RA	LHUM_LH26113-RA
OG0000066	PBAR_PB24637-RA, PBAR_PB13512-RA, PBAR_PB10480-RA, PBAR_PB11314-RA, PBAR_PB11306-RA, PBAR_PB19223-RA, PBAR_PB15126-RA, PBAR_PB17086-RA, PBAR_PB18371-RA, PBAR_PB18205-RA, PBAR_PB14236-RA, PBAR_PB13709-RA	LHUM_LH23901-RA
OG0000067	PBAR_PB21569-RA, PBAR_PB10242-RA	LHUM_LH21670-RA
OG0000067	PBAR_PB21568-RA	LHUM_LH21669-RA
OG0000067	PBAR_PB21573-RA	LHUM_LH21671-RA, LHUM_LH25956-RA, LHUM_LH25955-RA
OG0000067	PBAR_PB21572-RA, PBAR_PB10374-RA, PBAR_PB21574-RA, PBAR_PB21571-RA	LHUM_LH21668-RA, LHUM_LH10129-RA
OG0000069	PBAR_PB14300-RA	LHUM_LH25609-RA
OG0000069	PBAR_PB14763-RA	LHUM_LH25611-RA
OG0000069	PBAR_PB26458-RA, PBAR_PB10534-RA	LHUM_LH25596-RA, LHUM_LH25597-RA
OG0000071	PBAR_PB17433-RA, PBAR_PB26648-RA, PBAR_PB14273-RA, PBAR_PB17396-RA, PBAR_PB18999-RA, PBAR_PB23377-RA, PBAR_PB17389-RA, PBAR_PB14274-RA, PBAR_PB26812-RA, PBAR_PB20343-RA, PBAR_PB11900-RA, PBAR_PB10527-RA, PBAR_PB10618-RA, PBAR_PB17432-RA, PBAR_PB17431-RA	LHUM_LH13167-RA
OG0000075	PBAR_PB21504-RA	LHUM_LH19129-RA
OG0000075	PBAR_PB21279-RA	LHUM_LH20267-RA
OG0000075	PBAR_PB20950-RA	LHUM_LH25498-RA
OG0000075	PBAR_PB26849-RA	LHUM_LH14190-RA
OG0000075	PBAR_PB13081-RA	LHUM_LH19101-RA, LHUM_LH11616-RA
OG0000076	PBAR_PB18623-RA, PBAR_PB18618-RA	LHUM_LH26004-RA, LHUM_LH26005-RA
OG0000076	PBAR_PB16421-RA	LHUM_LH11974-RA
OG0000076	PBAR_PB11385-RA	LHUM_LH11300-RA
OG0000076	PBAR_PB11509-RA	LHUM_LH25149-RA
OG0000079	PBAR_PB16077-RA	LHUM_LH21966-RA
OG0000079	PBAR_PB19414-RA	LHUM_LH11257-RA, LHUM_LH17824-RA
OG0000079	PBAR_PB26548-RA	LHUM_LH25927-RA, LHUM_LH25915-RA
OG0000081	PBAR_pbar_Ddc-1	LHUM_LH20345-RA
OG0000081	PBAR_PB15942-RA	LHUM_LH20333-RA
OG0000081	PBAR_PB17456-RA	LHUM_LH24989-RA
OG0000081	PBAR_PB24364-RA	LHUM_LH19594-RA, LHUM_LH19591-RA, LHUM_LH19592-RA
OG0000082	PBAR_PB18139-RA	LHUM_LH24891-RA
OG0000082	PBAR_PB16064-RA	LHUM_LH20877-RA
OG0000082	PBAR_PB21863-RA, PBAR_PB15655-RA	LHUM_LH21967-RA
OG0000082	PBAR_PB15222-RA	LHUM_LH21289-RA
