Orthogroup	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0011958	ACEP_ACEP_00006292-RA		
OG0011959	ACEP_ACEP_00006277-RA		
OG0011960	ACEP_ACEP_00006270-RA		
OG0011961	ACEP_ACEP_00006273-RA		
OG0011962	ACEP_ACEP_00017242-RA		
OG0011963	ACEP_ACEP_04565246-RA		
OG0011964	ACEP_ACEP_00017243-RA		
OG0011965	ACEP_ACEP_00006259-RA		
OG0011966	ACEP_ACEP_00006254-RA		
OG0011967	ACEP_ACEP_00017245-RA		
OG0011968	ACEP_ACEP_00017244-RA		
OG0011969	ACEP_ACEP_00006248-RA		
OG0011970	ACEP_ACEP_00017247-RA		
OG0011971	ACEP_ACEP_00017246-RA		
OG0011972	ACEP_ACEP_00006225-RA		
OG0011973	ACEP_ACEP_00017249-RA		
OG0011974	ACEP_ACEP_00017250-RA		
OG0011975	ACEP_ACEP_00006214-RA		
OG0011976	ACEP_ACEP_00006183-RA		
OG0011977	ACEP_ACEP_00017253-RA		
OG0011978	ACEP_ACEP_00006170-RA		
OG0011979	ACEP_ACEP_00006165-RA		
OG0011980	ACEP_ACEP_00006164-RA		
OG0011981	ACEP_ACEP_00006161-RA		
OG0011982	ACEP_ACEP_00017254-RA		
OG0011983	ACEP_ACEP_00006158-RA		
OG0011984	ACEP_ACEP_00006157-RA		
OG0011985	ACEP_ACEP_00006150-RA		
OG0011986	ACEP_ACEP_00006154-RA		
OG0011987	ACEP_ACEP_00006148-RA		
OG0011988	ACEP_ACEP_00006142-RA		
OG0011989	ACEP_ACEP_00006137-RA		
OG0011990	ACEP_ACEP_00006125-RA		
OG0011991	ACEP_ACEP_00006132-RA		
OG0011992	ACEP_ACEP_00006133-RA		
OG0011993	ACEP_ACEP_00006129-RA		
OG0011994	ACEP_ACEP_00006110-RA		
OG0011995	ACEP_ACEP_00006083-RA		
OG0011996	ACEP_ACEP_00006082-RA		
OG0011997	ACEP_ACEP_00006081-RA		
OG0011998	ACEP_ACEP_00006086-RA		
OG0011999	ACEP_ACEP_00006091-RA		
OG0012000	ACEP_ACEP_00006074-RA		
OG0012001	ACEP_ACEP_00017258-RA		
OG0012002	ACEP_ACEP_00006066-RA		
OG0012003	ACEP_ACEP_00006072-RA		
OG0012004	ACEP_ACEP_00006065-RA		
OG0012005	ACEP_ACEP_00006055-RA		
OG0012006	ACEP_ACEP_00006040-RA		
OG0012007	ACEP_ACEP_00006033-RA		
OG0012008	ACEP_ACEP_00006015-RA		
OG0012009	ACEP_ACEP_00006017-RA		
OG0012010	ACEP_ACEP_00006007-RA		
OG0012011	ACEP_ACEP_00017259-RA		
OG0012012	ACEP_ACEP_00006008-RA		
OG0012013	ACEP_ACEP_00006006-RA		
OG0012014	ACEP_ACEP_00006012-RA		
OG0012015	ACEP_ACEP_00005987-RA		
OG0012016	ACEP_ACEP_00005986-RA		
OG0012017	ACEP_ACEP_00005989-RA		
OG0012018	ACEP_ACEP_00005998-RA		
OG0012019	ACEP_ACEP_00017260-RA		
OG0012020	ACEP_ACEP_00005977-RA		
OG0012021	ACEP_ACEP_00005969-RA		
OG0012022	ACEP_ACEP_00005964-RA		
OG0012023	ACEP_ACEP_00005972-RA		
OG0012024	ACEP_ACEP_00005975-RA		
OG0012025	ACEP_ACEP_00014028-RA		
OG0012026	ACEP_ACEP_00014026-RA		
OG0012027	ACEP_ACEP_00014005-RA		
OG0012028	ACEP_ACEP_00013999-RA		
OG0012029	ACEP_ACEP_00014007-RA		
OG0012030	ACEP_ACEP_00013988-RA		
OG0012031	ACEP_ACEP_00013989-RA		
OG0012032	ACEP_ACEP_00013993-RA		
OG0012033	ACEP_ACEP_00017882-RA		
OG0012034	ACEP_ACEP_00013975-RA		
OG0012035	ACEP_ACEP_00013973-RA		
OG0012036	ACEP_ACEP_00013972-RA		
OG0012037	ACEP_ACEP_00017883-RA		
OG0012038	ACEP_ACEP_00013963-RA		
OG0012039	ACEP_ACEP_00013965-RA		
OG0012040	ACEP_ACEP_00013964-RA		
OG0012041	ACEP_ACEP_00013952-RA		
OG0012042	ACEP_ACEP_00013954-RA		
OG0012043	ACEP_ACEP_00013951-RA		
OG0012044	ACEP_ACEP_00013947-RA		
OG0012045	ACEP_ACEP_00013945-RA		
OG0012046	ACEP_ACEP_00013944-RA		
OG0012047	ACEP_ACEP_00013943-RA		
OG0012048	ACEP_ACEP_00017894-RA		
OG0012049	ACEP_ACEP_00016638-RA		
OG0012050	ACEP_ACEP_00016305-RA		
OG0012051	ACEP_ACEP_00016773-RA		
OG0012052	ACEP_ACEP_00016636-RA		
OG0012053	ACEP_ACEP_00016477-RA		
OG0012054	ACEP_ACEP_00016651-RA		
OG0012055	ACEP_ACEP_00016344-RA		
OG0012056	ACEP_ACEP_00011539-RA		
OG0012057	ACEP_ACEP_00011531-RA		
OG0012058	ACEP_ACEP_00011530-RA		
OG0012059	ACEP_ACEP_00011535-RA		
OG0012060	ACEP_ACEP_00011540-RA		
OG0012061	ACEP_ACEP_00017843-RA		
OG0012062	ACEP_ACEP_00011534-RA		
OG0012063	ACEP_ACEP_00011538-RA		
OG0012064	ACEP_ACEP_00017844-RA		
OG0012065	ACEP_ACEP_00011528-RA		
OG0012066	ACEP_ACEP_00017845-RA		
OG0012067	ACEP_ACEP_00011525-RA		
OG0012068	ACEP_ACEP_00011523-RA		
OG0012069	ACEP_ACEP_00011514-RA		
OG0012070	ACEP_ACEP_00011511-RA		
OG0012071	ACEP_ACEP_00011517-RA		
OG0012072	ACEP_ACEP_00011506-RA		
OG0012073	ACEP_ACEP_00011501-RA		
OG0012074	ACEP_ACEP_00011494-RA		
OG0012075	ACEP_ACEP_00017848-RA		
OG0012076	ACEP_ACEP_00017849-RA		
OG0012077	ACEP_ACEP_00017851-RA		
OG0012078	ACEP_ACEP_00011475-RA		
OG0012079	ACEP_ACEP_00011472-RA		
OG0012080	ACEP_ACEP_00011479-RA		
OG0012081	ACEP_ACEP_00011464-RA		
OG0012082	ACEP_ACEP_00017852-RA		
OG0012083	ACEP_ACEP_00011460-RA		
OG0012084	ACEP_ACEP_00011459-RA		
OG0012085	ACEP_ACEP_00011452-RA		
OG0012086	ACEP_ACEP_00011444-RA		
OG0012087	ACEP_ACEP_00017856-RA		
OG0012088	ACEP_ACEP_00011436-RA		
OG0012089	ACEP_ACEP_00017857-RA		
OG0012090	ACEP_ACEP_00011429-RA		
OG0012091	ACEP_ACEP_00011427-RA		
OG0012092	ACEP_ACEP_00011428-RA		
OG0012093	ACEP_ACEP_00011422-RA		
OG0012094	ACEP_ACEP_00011425-RA		
OG0012095	ACEP_ACEP_00011426-RA		
OG0012096	ACEP_ACEP_00011421-RA		
OG0012097	ACEP_ACEP_00017858-RA		
OG0012098	ACEP_ACEP_00011419-RA		
OG0012099	ACEP_ACEP_00017859-RA		
OG0012100	ACEP_ACEP_00002708-RA		
OG0012101	ACEP_ACEP_00002692-RA		
OG0012102	ACEP_ACEP_00002688-RA		
OG0012103	ACEP_ACEP_00002689-RA		
OG0012104	ACEP_ACEP_00002698-RA		
OG0012105	ACEP_ACEP_00002682-RA		
OG0012106	ACEP_ACEP_00002662-RA		
OG0012107	ACEP_ACEP_00002664-RA		
OG0012108	ACEP_ACEP_00002668-RA		
OG0012109	ACEP_ACEP_00002659-RA		
OG0012110	ACEP_ACEP_00002661-RA		
OG0012111	ACEP_ACEP_00002657-RA		
OG0012112	ACEP_ACEP_00002654-RA		
OG0012113	ACEP_ACEP_00002647-RA		
OG0012114	ACEP_ACEP_00002641-RA		
OG0012115	ACEP_ACEP_00002649-RA		
OG0012116	ACEP_ACEP_00002651-RA		
OG0012117	ACEP_ACEP_00002636-RA		
OG0012118	ACEP_ACEP_00002627-RA		
OG0012119	ACEP_ACEP_00002628-RA		
OG0012120	ACEP_ACEP_00017079-RA		
OG0012121	ACEP_ACEP_00002625-RA		
OG0012122	ACEP_ACEP_00002624-RA		
OG0012123	ACEP_ACEP_00002626-RA		
OG0012124	ACEP_ACEP_00002619-RA		
OG0012125	ACEP_ACEP_00002622-RA		
OG0012126	ACEP_ACEP_00002607-RA		
OG0012127	ACEP_ACEP_00002605-RA		
OG0012128	ACEP_ACEP_00002606-RA		
OG0012129	ACEP_ACEP_00002599-RA		
OG0012130	ACEP_ACEP_00002594-RA		
OG0012131	ACEP_ACEP_00002589-RA		
OG0012132	ACEP_ACEP_00017081-RA		
OG0012133	ACEP_ACEP_00002574-RA		
OG0012134	ACEP_ACEP_00002573-RA		
OG0012135	ACEP_ACEP_00017082-RA		
OG0012136	ACEP_ACEP_00002566-RA		
OG0012137	ACEP_ACEP_00002559-RA		
OG0012138	ACEP_ACEP_00017084-RA		
OG0012139	ACEP_ACEP_00002565-RA		
OG0012140	ACEP_ACEP_00017085-RA		
OG0012141	ACEP_ACEP_00002553-RA		
OG0012142	ACEP_ACEP_00002548-RA		
OG0012143	ACEP_ACEP_00002545-RA		
OG0012144	ACEP_ACEP_00002547-RA		
OG0012145	ACEP_ACEP_00002544-RA		
OG0012146	ACEP_ACEP_00002541-RA		
OG0012147	ACEP_ACEP_00002527-RA		
OG0012148	ACEP_ACEP_00017088-RA		
OG0012149	ACEP_ACEP_00002529-RA		
OG0012150	ACEP_ACEP_00002524-RA		
OG0012151	ACEP_ACEP_00002525-RA		
OG0012152	ACEP_ACEP_00002516-RA		
OG0012153	ACEP_ACEP_00002513-RA		
OG0012154	ACEP_ACEP_00002510-RA		
OG0012155	ACEP_ACEP_00017093-RA		
OG0012156	ACEP_ACEP_00017094-RA		
OG0012157	ACEP_ACEP_00002503-RA		
OG0012158	ACEP_ACEP_00002495-RA		
OG0012159	ACEP_ACEP_00002500-RA		
OG0012160	ACEP_ACEP_00002502-RA		
OG0012161	ACEP_ACEP_00002501-RA		
OG0012162	ACEP_ACEP_00002497-RA		
OG0012163	ACEP_ACEP_00017097-RA		
OG0012164	ACEP_ACEP_00017098-RA		
OG0012165	ACEP_ACEP_00002485-RA		
OG0012166	ACEP_ACEP_00002483-RA		
OG0012167	ACEP_ACEP_00017099-RA		
OG0012168	ACEP_ACEP_00002486-RA		
OG0012169	ACEP_ACEP_00002478-RA		
OG0012170	ACEP_ACEP_00002468-RA		
OG0012171	ACEP_ACEP_00002473-RA		
OG0012172	ACEP_ACEP_00002474-RA		
OG0012173	ACEP_ACEP_00002470-RA		
OG0012174	ACEP_ACEP_00017100-RA		
OG0012175	ACEP_ACEP_00002471-RA		
OG0012176	ACEP_ACEP_00002469-RA		
OG0012177	ACEP_ACEP_00002472-RA		
OG0012178	ACEP_ACEP_00017101-RA		
OG0012179	ACEP_ACEP_00017102-RA		
OG0012180	ACEP_ACEP_00002460-RA		
OG0012181	ACEP_ACEP_00002457-RA		
OG0012182	ACEP_ACEP_00017104-RA		
OG0012183	ACEP_ACEP_00017105-RA		
OG0012184	ACEP_ACEP_00002449-RA		
OG0012185	ACEP_ACEP_00002450-RA		
OG0012186	ACEP_ACEP_00017106-RA		
OG0012187	ACEP_ACEP_00002446-RA		
OG0012188	ACEP_ACEP_00017107-RA		
OG0012189	ACEP_ACEP_00002441-RA		
OG0012190	ACEP_ACEP_00002443-RA		
OG0012191	ACEP_ACEP_00002432-RA		
OG0012192	ACEP_ACEP_00017112-RA		
OG0012193	ACEP_ACEP_00002415-RA		
OG0012194	ACEP_ACEP_00002420-RA		
OG0012195	ACEP_ACEP_00002417-RA		
OG0012196	ACEP_ACEP_00002419-RA		
OG0012197	ACEP_ACEP_00017111-RA		
OG0012198	ACEP_ACEP_00017114-RA		
OG0012199	ACEP_ACEP_00017113-RA		
OG0012200	ACEP_ACEP_00002411-RA		
OG0012201	ACEP_ACEP_00002393-RA		
OG0012202	ACEP_ACEP_00002397-RA		
OG0012203	ACEP_ACEP_00017115-RA		
OG0012204	ACEP_ACEP_00002387-RA		
OG0012205	ACEP_ACEP_00002389-RA		
OG0012206	ACEP_ACEP_00002384-RA		
OG0012207	ACEP_ACEP_00002368-RA		
OG0012208	ACEP_ACEP_00002356-RA		
OG0012209	ACEP_ACEP_00002364-RA		
OG0012210	ACEP_ACEP_00002352-RA		
OG0012211	ACEP_ACEP_00002349-RA		
OG0012212	ACEP_ACEP_00002350-RA		
OG0012213	ACEP_ACEP_00002334-RA		
OG0012214	ACEP_ACEP_00002336-RA		
OG0012215	ACEP_ACEP_00002329-RA		
OG0012216	ACEP_ACEP_00002332-RA		
OG0012217	ACEP_ACEP_00002327-RA		
OG0012218	ACEP_ACEP_00017122-RA		
OG0012219	ACEP_ACEP_00002325-RA		
OG0012220	ACEP_ACEP_00002321-RA		
OG0012221	ACEP_ACEP_00002320-RA		
OG0012222	ACEP_ACEP_00017123-RA		
OG0012223	ACEP_ACEP_00002316-RA		
OG0012224	ACEP_ACEP_00002308-RA		
OG0012225	ACEP_ACEP_00017126-RA		
OG0012226	ACEP_ACEP_00002306-RA		
OG0012227	ACEP_ACEP_00017125-RA		
OG0012228	ACEP_ACEP_00002307-RA		
OG0012229	ACEP_ACEP_00017124-RA		
OG0012230	ACEP_ACEP_00002305-RA		
OG0012231	ACEP_ACEP_00002301-RA		
OG0012232	ACEP_ACEP_00002304-RA		
OG0012233	ACEP_ACEP_00017127-RA		
OG0012234	ACEP_ACEP_00002268-RA		
OG0012235	ACEP_ACEP_00002267-RA		
OG0012236	ACEP_ACEP_00017133-RA		
OG0012237	ACEP_ACEP_00002249-RA		
OG0012238	ACEP_ACEP_00002248-RA		
OG0012239	ACEP_ACEP_00002245-RA		
OG0012240	ACEP_ACEP_00002235-RA		
OG0012241	ACEP_ACEP_00002232-RA		
OG0012242	ACEP_ACEP_00002230-RA		
OG0012243	ACEP_ACEP_00002225-RA		
OG0012244	ACEP_ACEP_00002221-RA		
OG0012245	ACEP_ACEP_00002219-RA		
OG0012246	ACEP_ACEP_00002217-RA		
OG0012247	ACEP_ACEP_00002218-RA		
OG0012248	ACEP_ACEP_00002210-RA		
OG0012249	ACEP_ACEP_00002209-RA		
OG0012250	ACEP_ACEP_00002213-RA		
OG0012251	ACEP_ACEP_00002212-RA		
OG0012252	ACEP_ACEP_00017137-RA		
OG0012253	ACEP_ACEP_00002205-RA		
OG0012254	ACEP_ACEP_00002202-RA		
OG0012255	ACEP_ACEP_00002201-RA		
OG0012256	ACEP_ACEP_00002191-RA		
OG0012257	ACEP_ACEP_00002198-RA		
OG0012258	ACEP_ACEP_00002196-RA		
OG0012259	ACEP_ACEP_00016425-RA		
OG0012260	ACEP_ACEP_00010572-RA		
OG0012261	ACEP_ACEP_00010569-RA		
OG0012262	ACEP_ACEP_00010565-RA		
OG0012263	ACEP_ACEP_00010561-RA		
OG0012264	ACEP_ACEP_00010563-RA		
OG0012265	ACEP_ACEP_00010562-RA		
OG0012266	ACEP_ACEP_00010568-RA		
OG0012267	ACEP_ACEP_00010560-RA		
OG0012268	ACEP_ACEP_00010554-RA		
OG0012269	ACEP_ACEP_00010555-RA		
OG0012270	ACEP_ACEP_00010556-RA		
OG0012271	ACEP_ACEP_00010558-RA		
OG0012272	ACEP_ACEP_00010553-RA		
OG0012273	ACEP_ACEP_00010547-RA		
OG0012274	ACEP_ACEP_00010548-RA		
OG0012275	ACEP_ACEP_00010538-RA		
OG0012276	ACEP_ACEP_00010545-RA		
OG0012277	ACEP_ACEP_00010537-RA		
OG0012278	ACEP_ACEP_00010530-RA		
OG0012279	ACEP_ACEP_00017923-RA		
OG0012280	ACEP_ACEP_00010519-RA		
OG0012281	ACEP_ACEP_00010512-RA		
OG0012282	ACEP_ACEP_00010510-RA		
OG0012283	ACEP_ACEP_00010509-RA		
OG0012284	ACEP_ACEP_00010508-RA		
OG0012285	ACEP_ACEP_00010505-RA		
OG0012286	ACEP_ACEP_00010502-RA		
OG0012287	ACEP_ACEP_00010497-RA		
OG0012288	ACEP_ACEP_00010493-RA		
OG0012289	ACEP_ACEP_00010489-RA		
OG0012290	ACEP_ACEP_00010490-RA		
OG0012291	ACEP_ACEP_00010486-RA		
OG0012292	ACEP_ACEP_00010484-RA		
OG0012293	ACEP_ACEP_00010488-RA		
OG0012294	ACEP_ACEP_00010487-RA		
OG0012295	ACEP_ACEP_00010482-RA		
OG0012296	ACEP_ACEP_00010469-RA		
OG0012297	ACEP_ACEP_00010475-RA		
OG0012298	ACEP_ACEP_00010472-RA		
OG0012299	ACEP_ACEP_00010473-RA		
OG0012300	ACEP_ACEP_00010471-RA		
OG0012301	ACEP_ACEP_00010468-RA		
OG0012302	ACEP_ACEP_00010467-RA		
OG0012303	ACEP_ACEP_00010462-RA		
OG0012304	ACEP_ACEP_00010460-RA		
OG0012305	ACEP_ACEP_00010455-RA		
OG0012306	ACEP_ACEP_00010457-RA		
OG0012307	ACEP_ACEP_00010453-RA		
OG0012308	ACEP_ACEP_00010454-RA		
OG0012309	ACEP_ACEP_00010449-RA		
OG0012310	ACEP_ACEP_00010450-RA		
OG0012311	ACEP_ACEP_00010446-RA		
OG0012312	ACEP_ACEP_00010445-RA		
OG0012313	ACEP_ACEP_00010448-RA		
OG0012314	ACEP_ACEP_00010444-RA		
OG0012315	ACEP_ACEP_00010435-RA		
OG0012316	ACEP_ACEP_00010436-RA		
OG0012317	ACEP_ACEP_00010429-RA		
OG0012318	ACEP_ACEP_00010424-RA		
OG0012319	ACEP_ACEP_00010425-RA		
OG0012320	ACEP_ACEP_00010418-RA		
OG0012321	ACEP_ACEP_00010416-RA		
OG0012322	ACEP_ACEP_00017930-RA		
OG0012323	ACEP_ACEP_00010411-RA		
OG0012324	ACEP_ACEP_00010412-RA		
OG0012325	ACEP_ACEP_00010410-RA		
OG0012326	ACEP_ACEP_00010413-RA		
OG0012327	ACEP_ACEP_00016472-RA		
OG0012328	ACEP_ACEP_00016430-RA		
OG0012329	ACEP_ACEP_00016415-RA		
OG0012330	ACEP_ACEP_00008248-RA		
OG0012331	ACEP_ACEP_00008247-RA		
OG0012332	ACEP_ACEP_00008249-RA		
OG0012333	ACEP_ACEP_00008250-RA		
OG0012334	ACEP_ACEP_00008229-RA		
OG0012335	ACEP_ACEP_00008232-RA		
OG0012336	ACEP_ACEP_00008234-RA		
OG0012337	ACEP_ACEP_00008238-RA		
OG0012338	ACEP_ACEP_00017731-RA		
OG0012339	ACEP_ACEP_00008219-RA		
OG0012340	ACEP_ACEP_00008217-RA		
OG0012341	ACEP_ACEP_00017732-RA		
OG0012342	ACEP_ACEP_00008207-RA		
OG0012343	ACEP_ACEP_00008210-RA		
OG0012344	ACEP_ACEP_00008202-RA		
OG0012345	ACEP_ACEP_00008194-RA		
OG0012346	ACEP_ACEP_00008191-RA		
OG0012347	ACEP_ACEP_00008187-RA		
OG0012348	ACEP_ACEP_00008185-RA		
OG0012349	ACEP_ACEP_00008184-RA		
OG0012350	ACEP_ACEP_00017733-RA		
OG0012351	ACEP_ACEP_00008180-RA		
OG0012352	ACEP_ACEP_00008182-RA		
OG0012353	ACEP_ACEP_00008179-RA		
OG0012354	ACEP_ACEP_00008178-RA		
OG0012355	ACEP_ACEP_00008173-RA		
OG0012356	ACEP_ACEP_00008176-RA		
OG0012357	ACEP_ACEP_00017734-RA		
OG0012358	ACEP_ACEP_00017735-RA		
OG0012359	ACEP_ACEP_00008162-RA		
OG0012360	ACEP_ACEP_00017736-RA		
OG0012361	ACEP_ACEP_00008158-RA		
OG0012362	ACEP_ACEP_00008154-RA		
OG0012363	ACEP_ACEP_00008145-RA		
OG0012364	ACEP_ACEP_00008147-RA		
OG0012365	ACEP_ACEP_00008140-RA		
OG0012366	ACEP_ACEP_00008153-RA		
OG0012367	ACEP_ACEP_00008136-RA		
OG0012368	ACEP_ACEP_00008138-RA		
OG0012369	ACEP_ACEP_00008137-RA		
OG0012370	ACEP_ACEP_00008131-RA		
OG0012371	ACEP_ACEP_00008132-RA		
OG0012372	ACEP_ACEP_00008133-RA		
OG0012373	ACEP_ACEP_00008130-RA		
OG0012374	ACEP_ACEP_00008135-RA		
OG0012375	ACEP_ACEP_00008129-RA		
OG0012376	ACEP_ACEP_00008121-RA		
OG0012377	ACEP_ACEP_00008126-RA		
OG0012378	ACEP_ACEP_00008127-RA		
OG0012379	ACEP_ACEP_00017737-RA		
OG0012380	ACEP_ACEP_00017738-RA		
OG0012381	ACEP_ACEP_00008099-RA		
OG0012382	ACEP_ACEP_00008096-RA		
OG0012383	ACEP_ACEP_00008094-RA		
OG0012384	ACEP_ACEP_00008095-RA		
OG0012385	ACEP_ACEP_00008087-RA		
OG0012386	ACEP_ACEP_00008084-RA		
OG0012387	ACEP_ACEP_00008085-RA		
OG0012388	ACEP_ACEP_00008082-RA		
OG0012389	ACEP_ACEP_00008076-RA		
OG0012390	ACEP_ACEP_00008077-RA		
OG0012391	ACEP_ACEP_00008075-RA		
OG0012392	ACEP_ACEP_00008078-RA		
OG0012393	ACEP_ACEP_00008072-RA		
OG0012394	ACEP_ACEP_00008074-RA		
OG0012395	ACEP_ACEP_00008068-RA		
OG0012396	ACEP_ACEP_00008066-RA		
OG0012397	ACEP_ACEP_00017739-RA		
OG0012398	ACEP_ACEP_00008063-RA		
OG0012399	ACEP_ACEP_00008064-RA		
OG0012400	ACEP_ACEP_00008058-RA		
OG0012401	ACEP_ACEP_00008061-RA		
OG0012402	ACEP_ACEP_00008056-RA		
OG0012403	ACEP_ACEP_00018219-RA		
OG0012404	ACEP_ACEP_00016290-RA		
OG0012405	ACEP_ACEP_00016207-RA		
OG0012406	ACEP_ACEP_00016208-RA		
OG0012407	ACEP_ACEP_00016186-RA		
OG0012408	ACEP_ACEP_00016185-RA		
OG0012409	ACEP_ACEP_00016190-RA		
OG0012410	ACEP_ACEP_00016517-RA		
OG0012411	ACEP_ACEP_00016042-RA		
OG0012412	ACEP_ACEP_00016039-RA		
OG0012413	ACEP_ACEP_00016041-RA		
OG0012414	ACEP_ACEP_00016037-RA		
OG0012415	ACEP_ACEP_00016038-RA		
OG0012416	ACEP_ACEP_00016030-RA		
OG0012417	ACEP_ACEP_00016409-RA		
OG0012418	ACEP_ACEP_00015587-RA		
OG0012419	ACEP_ACEP_00015584-RA		
OG0012420	ACEP_ACEP_00015579-RA		
OG0012421	ACEP_ACEP_00015578-RA		
OG0012422	ACEP_ACEP_00015575-RA		
OG0012423	ACEP_ACEP_00015574-RA		
OG0012424	ACEP_ACEP_00015569-RA		
OG0012425	ACEP_ACEP_00015571-RA		
OG0012426	ACEP_ACEP_00015572-RA		
OG0012427	ACEP_ACEP_00018204-RA		
OG0012428	ACEP_ACEP_00016877-RA		
OG0012429	ACEP_ACEP_00018215-RA		
OG0012430	ACEP_ACEP_00016838-RA		
OG0012431	ACEP_ACEP_00018201-RA		
OG0012432	ACEP_ACEP_00015950-RA		
OG0012433	ACEP_ACEP_00015947-RA		
OG0012434	ACEP_ACEP_00015954-RA		
OG0012435	ACEP_ACEP_00015938-RA		
OG0012436	ACEP_ACEP_00016454-RA		
OG0012437	ACEP_ACEP_00014099-RA		
OG0012438	ACEP_ACEP_00014098-RA		
OG0012439	ACEP_ACEP_00014097-RA		
OG0012440	ACEP_ACEP_00014093-RA		
OG0012441	ACEP_ACEP_00018111-RA		
OG0012442	ACEP_ACEP_00014087-RA		
OG0012443	ACEP_ACEP_00014088-RA		
OG0012444	ACEP_ACEP_00014083-RA		
OG0012445	ACEP_ACEP_00014079-RA		
OG0012446	ACEP_ACEP_00014078-RA		
OG0012447	ACEP_ACEP_00014077-RA		
OG0012448	ACEP_ACEP_00014067-RA		
OG0012449	ACEP_ACEP_00014065-RA		
OG0012450	ACEP_ACEP_00018114-RA		
OG0012451	ACEP_ACEP_00014049-RA		
OG0012452	ACEP_ACEP_00014047-RA		
OG0012453	ACEP_ACEP_00014048-RA		
OG0012454	ACEP_ACEP_00018115-RA		
OG0012455	ACEP_ACEP_00018116-RA		
OG0012456	ACEP_ACEP_00014039-RA		
OG0012457	ACEP_ACEP_00015266-RA		
OG0012458	ACEP_ACEP_00015252-RA		
OG0012459	ACEP_ACEP_00015253-RA		
