Orthogroup	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0000010	ACEP_ACEP_00001029-RA, ACEP_ACEP_00003421-RA, ACEP_ACEP_00003500-RA, ACEP_ACEP_00004994-RA, ACEP_ACEP_00004998-RA, ACEP_ACEP_00009755-RA, ACEP_ACEP_00012415-RA, ACEP_ACEP_00014249-RA	LHUM_LH10028-RA, LHUM_LH10062-RA, LHUM_LH10442-RA, LHUM_LH11517-RA, LHUM_LH11518-RA, LHUM_LH12833-RA, LHUM_LH13202-RA, LHUM_LH13387-RA, LHUM_LH14397-RA, LHUM_LH14452-RA, LHUM_LH14827-RA, LHUM_LH15074-RA, LHUM_LH15168-RA, LHUM_LH15673-RA, LHUM_LH19319-RA, LHUM_LH22760-RA, LHUM_LH23200-RA, LHUM_LH23740-RA, LHUM_LH25195-RA, LHUM_LH25201-RA, LHUM_LH25275-RA, LHUM_LH25812-RA	PBAR_PB11078-RA, PBAR_PB13497-RA, PBAR_PB18385-RA, PBAR_PB18386-RA
OG0000011	ACEP_ACEP_00009311-RA, ACEP_ACEP_00009733-RA	LHUM_LH10021-RA, LHUM_LH10125-RA, LHUM_LH10409-RA, LHUM_LH11051-RA, LHUM_LH11174-RA, LHUM_LH11317-RA, LHUM_LH11335-RA, LHUM_LH11850-RA, LHUM_LH11884-RA, LHUM_LH12750-RA, LHUM_LH13330-RA, LHUM_LH13332-RA, LHUM_LH14376-RA, LHUM_LH14439-RA, LHUM_LH15100-RA, LHUM_LH15699-RA, LHUM_LH15824-RA, LHUM_LH16721-RA, LHUM_LH17571-RA, LHUM_LH19723-RA, LHUM_LH19727-RA, LHUM_LH19899-RA, LHUM_LH19997-RA, LHUM_LH20494-RA, LHUM_LH22545-RA, LHUM_LH23847-RA	PBAR_PB11305-RA, PBAR_PB17807-RA, PBAR_PB21450-RA
OG0000012	ACEP_ACEP_00002534-RA, ACEP_ACEP_00011334-RA, ACEP_ACEP_00011335-RA, ACEP_ACEP_00013929-RA, ACEP_ACEP_00013930-RA, ACEP_ACEP_00013931-RA, ACEP_ACEP_00013932-RA, ACEP_ACEP_00013933-RA, ACEP_ACEP_00013934-RA, ACEP_ACEP_00013935-RA, ACEP_ACEP_00013936-RA, ACEP_ACEP_00013937-RA, ACEP_ACEP_00013938-RA, ACEP_ACEP_00013939-RA, ACEP_ACEP_00013940-RA, ACEP_ACEP_00013941-RA, ACEP_ACEP_00016542-RA, ACEP_ACEP_00016568-RA, ACEP_ACEP_00016698-RA, ACEP_ACEP_00016888-RA, ACEP_ACEP_00017885-RA, ACEP_ACEP_00017886-RA, ACEP_ACEP_00017887-RA, ACEP_ACEP_00017888-RA, ACEP_ACEP_00017889-RA, ACEP_ACEP_00017890-RA, ACEP_ACEP_00017891-RA, ACEP_ACEP_00017892-RA, ACEP_ACEP_00017893-RA	LHUM_LH25635-RA	
OG0000013	ACEP_ACEP_00003519-RA, ACEP_ACEP_00005028-RA, ACEP_ACEP_00005882-RA, ACEP_ACEP_00005884-RA, ACEP_ACEP_00013392-RA	LHUM_LH10721-RA	PBAR_PB10118-RA, PBAR_PB10615-RA, PBAR_PB10939-RA, PBAR_PB11038-RA, PBAR_PB11298-RA, PBAR_PB11307-RA, PBAR_PB11363-RA, PBAR_PB11365-RA, PBAR_PB11591-RA, PBAR_PB11602-RA, PBAR_PB14343-RA, PBAR_PB14568-RA, PBAR_PB14813-RA, PBAR_PB14814-RA, PBAR_PB14822-RA, PBAR_PB14950-RA, PBAR_PB15153-RA, PBAR_PB17804-RA, PBAR_PB18202-RA, PBAR_PB18204-RA, PBAR_PB18652-RA, PBAR_PB21986-RA, PBAR_PB25124-RA
OG0000014	ACEP_ACEP_00004293-RA, ACEP_ACEP_00004297-RA, ACEP_ACEP_00016463-RA, ACEP_ACEP_00017295-RA, ACEP_ACEP_00017904-RA, ACEP_ACEP_00018178-RA		PBAR_PB10063-RA, PBAR_PB10491-RA, PBAR_PB10493-RA, PBAR_PB10536-RA, PBAR_PB10540-RA, PBAR_PB10596-RA, PBAR_PB11585-RA, PBAR_PB13105-RA, PBAR_PB14201-RA, PBAR_PB14385-RA, PBAR_PB14386-RA, PBAR_PB16261-RA, PBAR_PB18062-RA, PBAR_PB18063-RA, PBAR_PB18066-RA, PBAR_PB19479-RA, PBAR_PB19481-RA, PBAR_PB20107-RA, PBAR_PB20378-RA, PBAR_PB20379-RA, PBAR_PB22464-RA, PBAR_PB23391-RA
OG0000015	ACEP_ACEP_00000585-RA, ACEP_ACEP_00000592-RA, ACEP_ACEP_00003337-RA, ACEP_ACEP_00004355-RA, ACEP_ACEP_00004912-RA, ACEP_ACEP_00005351-RA, ACEP_ACEP_00006043-RA, ACEP_ACEP_00007913-RA, ACEP_ACEP_00007915-RA, ACEP_ACEP_00011212-RA, ACEP_ACEP_00011420-RA, ACEP_ACEP_00013383-RA	LHUM_LH11436-RA, LHUM_LH15377-RA, LHUM_LH16527-RA, LHUM_LH17201-RA, LHUM_LH18089-RA, LHUM_LH18098-RA, LHUM_LH21322-RA, LHUM_LH21811-RA, LHUM_LH22588-RA, LHUM_LH22827-RA, LHUM_LH22967-RA, LHUM_LH22970-RA, LHUM_LH22971-RA, LHUM_LH22972-RA, LHUM_LH22973-RA, LHUM_LH24864-RA	
OG0000016	ACEP_ACEP_00005480-RA, ACEP_ACEP_00011442-RA, ACEP_ACEP_00011445-RA, ACEP_ACEP_00011449-RA, ACEP_ACEP_00011453-RA, ACEP_ACEP_00011455-RA, ACEP_ACEP_00011456-RA, ACEP_ACEP_00011728-RA, ACEP_ACEP_00011733-RA, ACEP_ACEP_00011734-RA, ACEP_ACEP_00011755-RA, ACEP_ACEP_00011793-RA, ACEP_ACEP_00011794-RA, ACEP_ACEP_00011799-RA, ACEP_ACEP_00011800-RA, ACEP_ACEP_00011801-RA, ACEP_ACEP_00011810-RA, ACEP_ACEP_00011811-RA, ACEP_ACEP_00011814-RA, ACEP_ACEP_00012013-RA, ACEP_ACEP_00014133-RA, ACEP_ACEP_00014134-RA, ACEP_ACEP_00014137-RA, ACEP_ACEP_00014138-RA, ACEP_ACEP_00014139-RA, ACEP_ACEP_00014140-RA, ACEP_ACEP_00016377-RA, ACEP_ACEP_00017855-RA		
OG0000017	ACEP_ACEP_00001102-RA, ACEP_ACEP_00003079-RA, ACEP_ACEP_00003080-RA, ACEP_ACEP_00003080-RB, ACEP_ACEP_00004448-RA, ACEP_ACEP_00004449-RA, ACEP_ACEP_00004450-RA, ACEP_ACEP_00004499-RA, ACEP_ACEP_00007753-RA, ACEP_ACEP_00007754-RA, ACEP_ACEP_00007755-RA, ACEP_ACEP_00007768-RA, ACEP_ACEP_00007769-RA, ACEP_ACEP_00007774-RA, ACEP_ACEP_00007857-RA, ACEP_ACEP_00008120-RA, ACEP_ACEP_00010760-RA, ACEP_ACEP_00010761-RA, ACEP_ACEP_00010762-RA, ACEP_ACEP_00010763-RA, ACEP_ACEP_00010789-RA, ACEP_ACEP_00012481-RA, ACEP_ACEP_00017271-RA, ACEP_ACEP_00017276-RA	LHUM_LH15216-RA	PBAR_PB10080-RA, PBAR_PB10081-RA, PBAR_PB10600-RA
OG0000018		LHUM_LH10169-RA, LHUM_LH11733-RA, LHUM_LH23654-RA	PBAR_PB10426-RA, PBAR_PB10458-RA, PBAR_PB10541-RA, PBAR_PB11301-RA, PBAR_PB11302-RA, PBAR_PB11364-RA, PBAR_PB11486-RA, PBAR_PB12034-RA, PBAR_PB14570-RA, PBAR_PB14723-RA, PBAR_PB15055-RA, PBAR_PB15057-RA, PBAR_PB15151-RA, PBAR_PB18791-RA, PBAR_PB19920-RA, PBAR_PB19921-RA, PBAR_PB22031-RA, PBAR_PB22352-RA, PBAR_PB22777-RA, PBAR_PB23055-RA, PBAR_PB23629-RA, PBAR_PB23630-RA, PBAR_PB23634-RA, PBAR_PB24729-RA, PBAR_PB24928-RA
OG0000019	ACEP_ACEP_00002730-RA, ACEP_ACEP_00010748-RA, ACEP_ACEP_00014796-RA, ACEP_ACEP_00018129-RA	LHUM_LH23241-RA	PBAR_PB10150-RA, PBAR_PB10547-RA, PBAR_PB11160-RA, PBAR_PB13410-RA, PBAR_PB13411-RA, PBAR_PB13412-RA, PBAR_PB13413-RA, PBAR_PB13414-RA, PBAR_PB15365-RA, PBAR_PB15368-RA, PBAR_PB15369-RA, PBAR_PB15371-RA, PBAR_PB15372-RA, PBAR_PB15373-RA, PBAR_PB18574-RA, PBAR_PB18595-RA, PBAR_PB20487-RA, PBAR_PB23061-RA, PBAR_PB23595-RA, PBAR_PB23596-RA, PBAR_PB26417-RA, PBAR_PB26535-RA
OG0000020			PBAR_PB10538-RA, PBAR_PB12546-RA, PBAR_PB13091-RA, PBAR_PB13092-RA, PBAR_PB13158-RA, PBAR_PB13169-RA, PBAR_PB14548-RA, PBAR_PB15086-RA, PBAR_PB21059-RA, PBAR_PB23109-RA, PBAR_PB23111-RA, PBAR_PB23113-RA, PBAR_PB23115-RA, PBAR_PB23122-RA, PBAR_PB23123-RA, PBAR_PB24643-RA, PBAR_PB25106-RA, PBAR_PB25684-RA, PBAR_PB26088-RA, PBAR_PB26089-RA, PBAR_PB27000-RA, PBAR_PB27001-RA, PBAR_PB27002-RA, PBAR_PB27003-RA, PBAR_PB27004-RA, PBAR_PB27005-RA, PBAR_PB27006-RA
OG0000021	ACEP_ACEP_00001863-RA, ACEP_ACEP_00001864-RA, ACEP_ACEP_00002022-RA, ACEP_ACEP_00002023-RA, ACEP_ACEP_00002493-RA	LHUM_LH13481-RA, LHUM_LH13483-RA, LHUM_LH13484-RA, LHUM_LH14899-RA, LHUM_LH14900-RA, LHUM_LH15385-RA, LHUM_LH15387-RA, LHUM_LH15683-RA, LHUM_LH15684-RA, LHUM_LH17269-RA, LHUM_LH17270-RA, LHUM_LH17459-RA, LHUM_LH19960-RA, LHUM_LH21433-RA, LHUM_LH24684-RA, LHUM_LH24991-RA	PBAR_PB14321-RA, PBAR_PB16983-RA, PBAR_PB17995-RA, PBAR_PB25918-RA, PBAR_PB25919-RA
OG0000022	ACEP_ACEP_00002259-RA, ACEP_ACEP_00004135-RA, ACEP_ACEP_00010320-RA, ACEP_ACEP_00010322-RA, ACEP_ACEP_00015834-RA, ACEP_ACEP_00015835-RA, ACEP_ACEP_00017875-RA, ACEP_ACEP_00018172-RA	LHUM_LH10827-RA, LHUM_LH18177-RA, LHUM_LH20597-RA, LHUM_LH20606-RA, LHUM_LH20607-RA, LHUM_LH20612-RA, LHUM_LH20614-RA, LHUM_LH23507-RA, LHUM_LH25883-RA, LHUM_LH25885-RA	PBAR_PB10304-RA, PBAR_PB19745-RA, PBAR_PB21816-RA, PBAR_PB21817-RA, PBAR_PB21834-RA, PBAR_PB26159-RA, PBAR_PB26160-RA, PBAR_PB26161-RA
OG0000023	ACEP_ACEP_00003721-RA	LHUM_LH10080-RA, LHUM_LH10114-RA, LHUM_LH10345-RA, LHUM_LH10443-RA, LHUM_LH10511-RA, LHUM_LH10512-RA, LHUM_LH10559-RA, LHUM_LH10560-RA, LHUM_LH10830-RA, LHUM_LH12473-RA, LHUM_LH13383-RA, LHUM_LH13874-RA, LHUM_LH14403-RA, LHUM_LH14404-RA, LHUM_LH14679-RA, LHUM_LH15619-RA, LHUM_LH22538-RA, LHUM_LH22764-RA, LHUM_LH23888-RA, LHUM_LH25265-RA, LHUM_LH25299-RA, LHUM_LH25441-RA, LHUM_LH25475-RA, LHUM_LH26016-RA	PBAR_PB18719-RA
OG0000024	ACEP_ACEP_00000478-RA, ACEP_ACEP_00002381-RA, ACEP_ACEP_00002382-RA, ACEP_ACEP_00002550-RA, ACEP_ACEP_00004333-RA, ACEP_ACEP_00004336-RA, ACEP_ACEP_00004337-RA, ACEP_ACEP_00004339-RA, ACEP_ACEP_00004340-RA, ACEP_ACEP_00014771-RA, ACEP_ACEP_00017286-RA	LHUM_LH14564-RA, LHUM_LH17303-RA, LHUM_LH17304-RA, LHUM_LH22816-RA, LHUM_LH22817-RA, LHUM_LH22820-RA, LHUM_LH22821-RA, LHUM_LH22822-RA, LHUM_LH22823-RA, LHUM_LH25577-RA, LHUM_LH25997-RA	PBAR_PB18065-RA, PBAR_PB19339-RA
OG0000025	ACEP_ACEP_00001487-RA, ACEP_ACEP_00004839-RA, ACEP_ACEP_00009610-RA, ACEP_ACEP_00009611-RA	LHUM_LH10491-RA, LHUM_LH10501-RA, LHUM_LH10599-RA, LHUM_LH14938-RA, LHUM_LH15181-RA, LHUM_LH15663-RA, LHUM_LH15781-RA, LHUM_LH15782-RA, LHUM_LH17652-RA, LHUM_LH18358-RA, LHUM_LH18359-RA, LHUM_LH19095-RA, LHUM_LH19302-RA, LHUM_LH19303-RA, LHUM_LH25219-RA	PBAR_PB11210-RA, PBAR_PB16089-RA, PBAR_PB16489-RA, PBAR_PB16490-RA, PBAR_PB16491-RA
OG0000026	ACEP_ACEP_00002711-RA, ACEP_ACEP_00002713-RA, ACEP_ACEP_00002715-RA, ACEP_ACEP_00002717-RA, ACEP_ACEP_00015654-RA, ACEP_ACEP_00015655-RA, ACEP_ACEP_00015656-RA, ACEP_ACEP_00015657-RA, ACEP_ACEP_00015658-RA, ACEP_ACEP_00015659-RA, ACEP_ACEP_00015660-RA, ACEP_ACEP_00015661-RA, ACEP_ACEP_00015662-RA, ACEP_ACEP_00015663-RA, ACEP_ACEP_00015664-RA, ACEP_ACEP_00015665-RA, ACEP_ACEP_00015666-RA, ACEP_ACEP_00015667-RA, ACEP_ACEP_00015668-RA, ACEP_ACEP_00017188-RA, ACEP_ACEP_00017189-RA, ACEP_ACEP_00017190-RA		PBAR_PB14299-RA, PBAR_PB14301-RA
OG0000027		LHUM_LH13656-RA, LHUM_LH17512-RA	PBAR_PB10096-RA, PBAR_PB10121-RA, PBAR_PB10151-RA, PBAR_PB10164-RA, PBAR_PB10165-RA, PBAR_PB10210-RA, PBAR_PB10232-RA, PBAR_PB10233-RA, PBAR_PB10268-RA, PBAR_PB11389-RA, PBAR_PB11390-RA, PBAR_PB11391-RA, PBAR_PB11392-RA, PBAR_PB12530-RA, PBAR_PB12531-RA, PBAR_PB16912-RA, PBAR_PB26202-RA, PBAR_PB26572-RA, PBAR_PB26573-RA, PBAR_PB26615-RA, PBAR_PB26616-RA, PBAR_PB26617-RA
OG0000028	ACEP_ACEP_00005915-RA, ACEP_ACEP_00008106-RA, ACEP_ACEP_00009725-RA	LHUM_LH10040-RA, LHUM_LH10741-RA, LHUM_LH13235-RA, LHUM_LH13320-RA, LHUM_LH14430-RA, LHUM_LH15095-RA, LHUM_LH15602-RA, LHUM_LH15604-RA, LHUM_LH15605-RA, LHUM_LH20985-RA, LHUM_LH22974-RA, LHUM_LH22976-RA, LHUM_LH23188-RA, LHUM_LH23742-RA, LHUM_LH25190-RA, LHUM_LH25256-RA	PBAR_PB11430-RA, PBAR_PB15495-RA, PBAR_PB20452-RA, PBAR_PB20453-RA
