Orthogroup	acep_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0000030	ACEP_ACEP_00011589-RA	PBAR_PB17838-RA, PBAR_PB10611-RA, PBAR_PB10001-RA, PBAR_PB10456-RA, PBAR_PB10418-RA, PBAR_PB17190-RA, PBAR_PB10419-RA, PBAR_PB15812-RA, PBAR_PB10556-RA, PBAR_PB17839-RA
OG0000030	ACEP_ACEP_00014567-RA	PBAR_PB17194-RA
OG0000030	ACEP_ACEP_00011819-RA	PBAR_PB13849-RA, PBAR_PB17845-RA
OG0000031	ACEP_ACEP_00014980-RA	PBAR_augustus-pbar_scf7180000350332-abinit-gene-2.90-mRNA-1
OG0000031	ACEP_ACEP_00008393-RA	PBAR_PB22676-RA
OG0000031	ACEP_ACEP_00014038-RA	PBAR_PB16444-RA
OG0000031	ACEP_ACEP_00014977-RA, ACEP_ACEP_00001158-RA, ACEP_ACEP_00001157-RA	PBAR_PB23489-RA, PBAR_PB21981-RA, PBAR_PB23488-RA
OG0000031	ACEP_ACEP_00008394-RA	PBAR_PB22688-RA
OG0000031	ACEP_ACEP_00007362-RA	PBAR_PB24448-RA
OG0000032	ACEP_ACEP_00013149-RA, ACEP_ACEP_00013148-RA, ACEP_ACEP_00013147-RA, ACEP_ACEP_00015207-RA	PBAR_PB14735-RA
OG0000032	ACEP_ACEP_00016989-RA, ACEP_ACEP_00016988-RA, ACEP_ACEP_00000363-RA	PBAR_PB22438-RA
OG0000032	ACEP_ACEP_00017955-RA	PBAR_PB20791-RA
OG0000032	ACEP_ACEP_00015194-RA	PBAR_PB22578-RA
OG0000033	ACEP_ACEP_00011572-RA	PBAR_PB17796-RB
OG0000034	ACEP_ACEP_00013554-RA	PBAR_PB10084-RA, PBAR_PB10313-RA, PBAR_PB13570-RA, PBAR_PB21972-RA, PBAR_PB15197-RA, PBAR_PB10558-RA, PBAR_PB10416-RA, PBAR_PB11174-RA
OG0000034	ACEP_ACEP_00016786-RA	PBAR_pbar_CG32645-like-1, PBAR_PB10623-RA, PBAR_PB17935-RA, PBAR_PB10582-RA, PBAR_PB10116-RA, PBAR_PB10301-RA, PBAR_PB10432-RA, PBAR_PB10439-RA, PBAR_PB10719-RA, PBAR_PB10555-RA, PBAR_PB15093-RA, PBAR_PB17133-RA
OG0000035	ACEP_ACEP_00017794-RA	PBAR_PB16372-RA
OG0000035	ACEP_ACEP_00012575-RA, ACEP_ACEP_00012577-RA, ACEP_ACEP_00017793-RA	PBAR_PB16373-RA
OG0000035	ACEP_ACEP_00017795-RA, ACEP_ACEP_00016515-RA	PBAR_PB26592-RA
OG0000035	ACEP_ACEP_00017792-RA	PBAR_PB16374-RA
OG0000035	ACEP_ACEP_00012571-RA	PBAR_PB16376-RA, PBAR_PB16375-RA
OG0000037	ACEP_ACEP_00013966-RA	PBAR_PB10825-RA
OG0000037	ACEP_ACEP_00009266-RA	PBAR_PB24933-RA
OG0000037	ACEP_ACEP_00009267-RA	PBAR_pbar_CG8306-RA
OG0000037	ACEP_ACEP_00009275-RA	PBAR_PB17473-RA
OG0000037	ACEP_ACEP_00004597-RA, ACEP_ACEP_00009354-RA	PBAR_PB12884-RA
OG0000037	ACEP_ACEP_00013962-RA, ACEP_ACEP_00013968-RA	PBAR_PB10830-RA
OG0000037	ACEP_ACEP_00013969-RA	PBAR_PB10826-RA, PBAR_PB10831-RA
OG0000037	ACEP_ACEP_00013970-RA	PBAR_PB10328-RA
OG0000038	ACEP_ACEP_00009900-RA, ACEP_ACEP_00001993-RA, ACEP_ACEP_00015496-RA, ACEP_ACEP_00015498-RA, ACEP_ACEP_00011218-RA, ACEP_ACEP_00015494-RA, ACEP_ACEP_00015493-RA, ACEP_ACEP_00015495-RA, ACEP_ACEP_00000642-RA, ACEP_ACEP_00016857-RA, ACEP_ACEP_00016856-RA, ACEP_ACEP_00013958-RA, ACEP_ACEP_00005123-RA, ACEP_ACEP_00005122-RA, ACEP_ACEP_00016855-RA, ACEP_ACEP_00018011-RA, ACEP_ACEP_00016538-RA, ACEP_ACEP_00005121-RA, ACEP_ACEP_00015492-RA	PBAR_PB26388-RA
OG0000039	ACEP_ACEP_00010237-RA	PBAR_PB25136-RA
OG0000039	ACEP_ACEP_00015338-RA, ACEP_ACEP_00015337-RA, ACEP_ACEP_00008124-RA, ACEP_ACEP_00015336-RA	PBAR_PB15785-RA
OG0000039	ACEP_ACEP_00002484-RA	PBAR_PB19088-RA
OG0000039	ACEP_ACEP_00002461-RA	PBAR_PB19078-RA
OG0000039	ACEP_ACEP_00010233-RA	PBAR_PB25135-RA, PBAR_PB25133-RA
OG0000040	ACEP_ACEP_00010442-RA, ACEP_ACEP_00000900-RA, ACEP_ACEP_00011861-RA, ACEP_ACEP_00004980-RA	PBAR_PB10883-RA
OG0000041	ACEP_ACEP_00012909-RA	PBAR_PB22268-RA
OG0000041	ACEP_ACEP_00000919-RA, ACEP_ACEP_00000899-RA, ACEP_ACEP_00005895-RA, ACEP_ACEP_00001156-RA, ACEP_ACEP_00015619-RA, ACEP_ACEP_00008490-RA, ACEP_ACEP_00010438-RA, ACEP_ACEP_00012190-RA, ACEP_ACEP_00014737-RA, ACEP_ACEP_00012229-RA, ACEP_ACEP_00014610-RA, ACEP_ACEP_00014268-RA	PBAR_PB17690-RA
OG0000041	ACEP_ACEP_00011558-RA	PBAR_PB10446-RA
OG0000044	ACEP_ACEP_00011839-RA	PBAR_PB26199-RA
OG0000044	ACEP_ACEP_00006037-RA	PBAR_PB22802-RA
OG0000045	ACEP_ACEP_00003507-RA	PBAR_PB11603-RA, PBAR_PB11603-RB
OG0000047	ACEP_ACEP_00015568-RA	PBAR_PB12857-RA
OG0000048	ACEP_ACEP_00013355-RA	PBAR_PB22325-RA, PBAR_PB14509-RA, PBAR_PB11034-RA, PBAR_PB11401-RA, PBAR_PB11724-RA, PBAR_PB11402-RA, PBAR_PB11403-RA, PBAR_PB10500-RA, PBAR_PB10523-RA, PBAR_PB11358-RA
OG0000051	ACEP_ACEP_00001306-RA, ACEP_ACEP_00011142-RA, ACEP_ACEP_00011138-RA, ACEP_ACEP_00011141-RA, ACEP_ACEP_00001310-RA, ACEP_ACEP_00011139-RA, ACEP_ACEP_00011140-RA, ACEP_ACEP_00001315-RA, ACEP_ACEP_00001316-RA, ACEP_ACEP_00001314-RA, ACEP_ACEP_00011508-RA, ACEP_ACEP_00011136-RA, ACEP_ACEP_00001307-RA, ACEP_ACEP_00001309-RA, ACEP_ACEP_00001311-RA	PBAR_PB14420-RA
OG0000052	ACEP_ACEP_00004420-RA	PBAR_PB17210-RA
OG0000052	ACEP_ACEP_00002294-RA	PBAR_PB19407-RA
OG0000052	ACEP_ACEP_00003359-RA	PBAR_PB25917-RA
OG0000052	ACEP_ACEP_00002295-RA	PBAR_PB19406-RA
OG0000052	ACEP_ACEP_00002297-RA	PBAR_PB19410-RA, PBAR_PB19409-RA
OG0000053	ACEP_ACEP_00014151-RA, ACEP_ACEP_00014152-RA	PBAR_PB18249-RA
OG0000054	ACEP_ACEP_00011265-RA	PBAR_PB25191-RA
OG0000054	ACEP_ACEP_00014842-RA	PBAR_PB17557-RA
OG0000055	ACEP_ACEP_00017915-RA	PBAR_PB24189-RA
OG0000055	ACEP_ACEP_00009787-RA	PBAR_PB12189-RA
OG0000055	ACEP_ACEP_00003796-RA	PBAR_PB12187-RA, PBAR_PB18852-RA
OG0000055	ACEP_ACEP_00000666-RA	PBAR_PB25255-RA
OG0000057	ACEP_ACEP_00009255-RA	PBAR_PB24929-RA
OG0000058	ACEP_ACEP_00012285-RA	PBAR_PB14263-RA, PBAR_PB21705-RA, PBAR_PB21704-RA, PBAR_PB14264-RA, PBAR_PB14260-RA, PBAR_PB23802-RA, PBAR_PB10029-RA, PBAR_PB14261-RA, PBAR_PB10422-RA, PBAR_PB10213-RA, PBAR_PB10612-RA, PBAR_PB26222-RA, PBAR_PB10021-RA, PBAR_PB13571-RA, PBAR_PB10028-RA, PBAR_PB14262-RA, PBAR_pbar_CG32104-like-1
OG0000061	ACEP_ACEP_00011632-RA, ACEP_ACEP_00009600-RA, ACEP_ACEP_00014745-RA, ACEP_ACEP_00004869-RA, ACEP_ACEP_00009601-RA, ACEP_ACEP_00008108-RA, ACEP_ACEP_00012223-RA, ACEP_ACEP_00003671-RA, ACEP_ACEP_00001090-RA, ACEP_ACEP_00004868-RA, ACEP_ACEP_00004974-RA, ACEP_ACEP_00014888-RA, ACEP_ACEP_00009602-RA, ACEP_ACEP_00011633-RA, ACEP_ACEP_00005787-RA, ACEP_ACEP_00012224-RA, ACEP_ACEP_00014747-RA	PBAR_PB15338-RA
OG0000062	ACEP_ACEP_00013246-RA	PBAR_PB13330-RA
OG0000062	ACEP_ACEP_00004092-RA	PBAR_pbar_HSP70-1
OG0000062	ACEP_ACEP_00000449-RA	PBAR_PB16617-RA
OG0000062	ACEP_ACEP_00004082-RA	PBAR_PB15578-RA
OG0000062	ACEP_ACEP_00008944-RA	PBAR_PB26410-RA
OG0000063	ACEP_ACEP_00001025-RA	PBAR_PB24733-RA, PBAR_PB14225-RA, PBAR_PB14229-RA, PBAR_PB24057-RA, PBAR_PB14228-RA, PBAR_PB10479-RA, PBAR_PB13883-RA, PBAR_PB14227-RA, PBAR_PB11315-RA, PBAR_PB19150-RA, PBAR_PB11313-RA, PBAR_PB12673-RA, PBAR_PB18665-RA, PBAR_PB15328-RA, PBAR_PB14818-RA, PBAR_PB11482-RA, PBAR_PB12674-RA
OG0000064	ACEP_ACEP_00008692-RA	PBAR_PB13264-RA
OG0000064	ACEP_ACEP_00003561-RA	PBAR_PB14550-RA
OG0000064	ACEP_ACEP_00013110-RA	PBAR_pbar_SerT-1
OG0000064	ACEP_ACEP_00007791-RA	PBAR_PB11835-RA
OG0000064	ACEP_ACEP_00013513-RA	PBAR_PB11906-RA
OG0000064	ACEP_ACEP_00010593-RA	PBAR_PB14684-RA
OG0000065	ACEP_ACEP_00001049-RA	PBAR_PB26929-RA, PBAR_PB26927-RA
OG0000065	ACEP_ACEP_00001051-RA	PBAR_PB26926-RA
OG0000065	ACEP_ACEP_00001059-RA, ACEP_ACEP_00001056-RA	PBAR_PB26928-RA
OG0000066	ACEP_ACEP_00010463-RA	PBAR_PB10480-RA, PBAR_PB11314-RA, PBAR_PB11306-RA, PBAR_PB19223-RA
OG0000066	ACEP_ACEP_00005956-RA	PBAR_PB15126-RA, PBAR_PB17086-RA, PBAR_PB18371-RA, PBAR_PB18205-RA, PBAR_PB14236-RA
OG0000066	ACEP_ACEP_00009402-RA	PBAR_PB13709-RA
OG0000067	ACEP_ACEP_00001292-RA	PBAR_PB21569-RA, PBAR_PB10242-RA
OG0000069	ACEP_ACEP_00017186-RA	PBAR_PB14300-RA
OG0000069	ACEP_ACEP_00002716-RA	PBAR_PB14763-RA, PBAR_PB26458-RA, PBAR_PB10534-RA
OG0000070	ACEP_ACEP_00010201-RA, ACEP_ACEP_00017759-RA, ACEP_ACEP_00017758-RA, ACEP_ACEP_00017760-RA, ACEP_ACEP_00017763-RA, ACEP_ACEP_00010198-RA, ACEP_ACEP_00010190-RB, ACEP_ACEP_00010190-RA, ACEP_ACEP_00010191-RA, ACEP_ACEP_00010193-RA, ACEP_ACEP_00010195-RA, ACEP_ACEP_00010196-RA, ACEP_ACEP_00010197-RA, ACEP_ACEP_00010194-RA, ACEP_ACEP_00010192-RA, ACEP_ACEP_00017762-RA	PBAR_PB10440-RA
OG0000071	ACEP_ACEP_00010659-RA	PBAR_PB17433-RA, PBAR_PB26648-RA, PBAR_PB14273-RA, PBAR_PB17396-RA, PBAR_PB18999-RA, PBAR_PB23377-RA, PBAR_PB17389-RA, PBAR_PB14274-RA, PBAR_PB26812-RA, PBAR_PB20343-RA, PBAR_PB11900-RA, PBAR_PB10527-RA, PBAR_PB10618-RA, PBAR_PB17432-RA, PBAR_PB17431-RA
OG0000075	ACEP_ACEP_00015550-RA	PBAR_PB21504-RA
OG0000075	ACEP_ACEP_00016287-RA	PBAR_PB21279-RA
OG0000075	ACEP_ACEP_00002851-RA	PBAR_PB20950-RA
OG0000075	ACEP_ACEP_00012797-RA	PBAR_PB26849-RA
OG0000076	ACEP_ACEP_00005232-RA	PBAR_PB18623-RA, PBAR_PB18618-RA
OG0000076	ACEP_ACEP_00008516-RA	PBAR_PB11506-RA
OG0000076	ACEP_ACEP_00012612-RA	PBAR_PB16421-RA
OG0000076	ACEP_ACEP_00013948-RA	PBAR_PB11385-RA
OG0000076	ACEP_ACEP_00008517-RA	PBAR_PB11509-RA
OG0000077	ACEP_ACEP_00011040-RA, ACEP_ACEP_00013709-RA, ACEP_ACEP_00009188-RA, ACEP_ACEP_00005846-RA, ACEP_ACEP_00001691-RA, ACEP_ACEP_00013710-RA, ACEP_ACEP_00016295-RA, ACEP_ACEP_00005021-RA, ACEP_ACEP_00015567-RA, ACEP_ACEP_00003596-RA, ACEP_ACEP_00011576-RA, ACEP_ACEP_00013370-RA, ACEP_ACEP_00018032-RA, ACEP_ACEP_00013360-RA, ACEP_ACEP_00009167-RA	PBAR_PB14823-RA
OG0000079	ACEP_ACEP_00006947-RA, ACEP_ACEP_00006945-RA	PBAR_PB16077-RA
OG0000079	ACEP_ACEP_00002291-RA	PBAR_PB19414-RA
OG0000079	ACEP_ACEP_00017989-RA	PBAR_PB26548-RA
OG0000079	ACEP_ACEP_00014126-RA, ACEP_ACEP_00006921-RA	PBAR_PB21864-RA
OG0000081	ACEP_ACEP_00014091-RA	PBAR_pbar_Ddc-1
OG0000081	ACEP_ACEP_00014076-RA	PBAR_PB15942-RA
OG0000081	ACEP_ACEP_00013118-RA	PBAR_PB17456-RA
OG0000081	ACEP_ACEP_00018112-RA, ACEP_ACEP_00007446-RA, ACEP_ACEP_00007447-RA	PBAR_PB24364-RA
OG0000082	ACEP_ACEP_00003731-RA, ACEP_ACEP_00003729-RA	PBAR_PB18139-RA
OG0000082	ACEP_ACEP_00006941-RA, ACEP_ACEP_00012742-RA	PBAR_PB16064-RA
OG0000082	ACEP_ACEP_00006784-RA	PBAR_PB21863-RA, PBAR_PB15655-RA
OG0000083	ACEP_ACEP_00014640-RA	PBAR_PB21553-RA
OG0000084	ACEP_ACEP_00004210-RA	PBAR_CG_02544486, PBAR_pbar_for-1, PBAR_CG_02544470, PBAR_CG_02544464, PBAR_CG_02544396
OG0000084	ACEP_ACEP_00007488-RA	PBAR_PB17896-RA
OG0000084	ACEP_ACEP_00009190-RA	PBAR_PB15161-RA
OG0000085	ACEP_ACEP_00017895-RA	PBAR_PB13931-RA
OG0000085	ACEP_ACEP_00013631-RA	PBAR_PB13932-RA
OG0000085	ACEP_ACEP_00016389-RA	PBAR_PB17256-RA
OG0000085	ACEP_ACEP_00013632-RA	PBAR_PB26439-RA, PBAR_PB13933-RA
OG0000086	ACEP_ACEP_00004263-RA	PBAR_PB26142-RA
OG0000086	ACEP_ACEP_00004272-RA, ACEP_ACEP_00002832-RA, ACEP_ACEP_00016355-RA, ACEP_ACEP_00004262-RA	PBAR_PB22242-RA
OG0000087	ACEP_ACEP_00009639-RA	PBAR_PB12811-RA, PBAR_PB14377-RA
OG0000088	ACEP_ACEP_00003818-RA	PBAR_PB18870-RA, PBAR_PB25338-RA, PBAR_PB22809-RA, PBAR_PB25326-RA, PBAR_PB19931-RA, PBAR_PB10324-RA, PBAR_PB19005-RA, PBAR_PB22078-RA, PBAR_PB10323-RA, PBAR_PB19138-RA, PBAR_PB25329-RA, PBAR_PB22808-RA, PBAR_PB19929-RA, PBAR_PB21072-RA, PBAR_PB25327-RA
OG0000089	ACEP_ACEP_00010073-RA	PBAR_PB25223-RA
OG0000093	ACEP_ACEP_00001857-RA	PBAR_PB14779-RA
OG0000093	ACEP_ACEP_00005885-RA, ACEP_ACEP_00005637-RA, ACEP_ACEP_00002341-RA, ACEP_ACEP_00012213-RA, ACEP_ACEP_00010345-RA, ACEP_ACEP_00003744-RA, ACEP_ACEP_00004956-RA, ACEP_ACEP_00013390-RA, ACEP_ACEP_00001045-RA, ACEP_ACEP_00012822-RA, ACEP_ACEP_00012239-RA, ACEP_ACEP_00005883-RA	PBAR_PB17802-RA
OG0000094	ACEP_ACEP_00008314-RA	PBAR_PB20815-RA
OG0000094	ACEP_ACEP_00004174-RA	PBAR_PB19694-RA
OG0000094	ACEP_ACEP_00013609-RA	PBAR_PB21383-RA
OG0000094	ACEP_ACEP_00006332-RA	PBAR_pbar_WBSCR17_like-1
OG0000094	ACEP_ACEP_00002453-RA	PBAR_PB19069-RA
OG0000095	ACEP_ACEP_00005727-RA	PBAR_Pbar_nAChRa1-RB
OG0000095	ACEP_ACEP_00004814-RA	PBAR_PB14640-RA
OG0000095	ACEP_ACEP_00004888-RA	PBAR_PB18715-RA
OG0000095	ACEP_ACEP_00003629-RA	PBAR_PB23152-RA
OG0000095	ACEP_ACEP_00005734-RA	PBAR_PB24191-RA
OG0000096	ACEP_ACEP_00016703-RA	PBAR_PB21044-RA
OG0000096	ACEP_ACEP_00011187-RA	PBAR_PB21047-RA
OG0000096	ACEP_ACEP_00016483-RA, ACEP_ACEP_00011185-RA	PBAR_PB21049-RA, PBAR_PB21048-RA, PBAR_PB26857-RA, PBAR_PB26856-RA, PBAR_PB21051-RA, PBAR_PB21050-RA
OG0000097	ACEP_ACEP_00012330-RA	PBAR_PB23751-RA
OG0000101	ACEP_ACEP_00011522-RA	PBAR_PB22326-RA
OG0000102	ACEP_ACEP_00002247-RA, ACEP_ACEP_00008060-RA	PBAR_PB15501-RA, PBAR_PB11181-RA, PBAR_PB13915-RA, PBAR_PB19173-RA, PBAR_PB15334-RA
OG0000103	ACEP_ACEP_00005015-RA, ACEP_ACEP_00002216-RA	PBAR_PB15154-RA
OG0000103	ACEP_ACEP_00012371-RA	PBAR_PB13132-RA, PBAR_PB10046-RA
OG0000103	ACEP_ACEP_00010481-RA, ACEP_ACEP_00010557-RA, ACEP_ACEP_00000837-RA	PBAR_PB13284-RA
OG0000104	ACEP_ACEP_00008101-RA	PBAR_PB20082-RA
OG0000104	ACEP_ACEP_00002975-RA	PBAR_PB11787-RA
OG0000104	ACEP_ACEP_00003088-RA	PBAR_PB14034-RA
OG0000105	ACEP_ACEP_00012741-RA, ACEP_ACEP_00006948-RA	PBAR_PB15670-RA
OG0000105	ACEP_ACEP_00006782-RA, ACEP_ACEP_00014043-RA	PBAR_PB12154-RA
OG0000105	ACEP_ACEP_00017988-RA	PBAR_PB26549-RA
OG0000106	ACEP_ACEP_00001818-RA	PBAR_PB25517-RA
OG0000106	ACEP_ACEP_00003230-RA	PBAR_PB21230-RA
OG0000106	ACEP_ACEP_00016285-RA	PBAR_PB21278-RA
OG0000106	ACEP_ACEP_00000218-RA	PBAR_PB11759-RA
OG0000107	ACEP_ACEP_00009409-RA	PBAR_PB23684-RA
OG0000107	ACEP_ACEP_00017804-RA	PBAR_PB20696-RA, PBAR_PB13582-RA, PBAR_PB26838-RA, PBAR_PB26837-RA, PBAR_PB26836-RA, PBAR_PB23685-RA, PBAR_PB23683-RA, PBAR_PB26835-RA
OG0000109	ACEP_ACEP_00002714-RA	PBAR_PB26472-RA, PBAR_PB26461-RA, PBAR_PB26465-RA, PBAR_PB26473-RA, PBAR_PB26474-RA, PBAR_PB26475-RA, PBAR_PB26466-RA, PBAR_PB26469-RA, PBAR_PB26462-RA, PBAR_PB26470-RA
OG0000110	ACEP_ACEP_00012361-RA	PBAR_PB20727-RA, PBAR_PB11180-RA, PBAR_PB21745-RA, PBAR_PB21744-RA, PBAR_PB12806-RA, PBAR_PB11653-RA, PBAR_PB21618-RA, PBAR_PB12239-RA, PBAR_PB11259-RA, PBAR_PB21715-RA, PBAR_PB12239-RB, PBAR_PB12802-RA, PBAR_PB20726-RA
OG0000115	ACEP_ACEP_00006290-RA	PBAR_PB17671-RA
OG0000115	ACEP_ACEP_00000360-RA	PBAR_PB22442-RA
OG0000115	ACEP_ACEP_00014928-RA	PBAR_PB23136-RA
