Orthogroup	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins
OG0000017	ACEP_ACEP_00010789-RA, ACEP_ACEP_00007768-RA, ACEP_ACEP_00012481-RA, ACEP_ACEP_00007753-RA, ACEP_ACEP_00003080-RB, ACEP_ACEP_00007774-RA, ACEP_ACEP_00010760-RA, ACEP_ACEP_00003080-RA, ACEP_ACEP_00001102-RA, ACEP_ACEP_00008120-RA, ACEP_ACEP_00007754-RA, ACEP_ACEP_00010761-RA, ACEP_ACEP_00010763-RA, ACEP_ACEP_00007755-RA, ACEP_ACEP_00003079-RA, ACEP_ACEP_00007769-RA, ACEP_ACEP_00004499-RA, ACEP_ACEP_00017276-RA, ACEP_ACEP_00004448-RA, ACEP_ACEP_00017271-RA, ACEP_ACEP_00004449-RA, ACEP_ACEP_00004450-RA, ACEP_ACEP_00007857-RA, ACEP_ACEP_00010762-RA	LHUM_LH15216-RA
OG0000019	ACEP_ACEP_00010748-RA, ACEP_ACEP_00002730-RA, ACEP_ACEP_00018129-RA, ACEP_ACEP_00014796-RA	LHUM_LH23241-RA
OG0000021	ACEP_ACEP_00001864-RA, ACEP_ACEP_00002022-RA	LHUM_LH15683-RA, LHUM_LH15684-RA, LHUM_LH13481-RA, LHUM_LH21433-RA
OG0000021	ACEP_ACEP_00002493-RA	LHUM_LH17459-RA
OG0000021	ACEP_ACEP_00001863-RA	LHUM_LH14899-RA, LHUM_LH13483-RA, LHUM_LH13484-RA, LHUM_LH24991-RA, LHUM_LH14900-RA
OG0000021	ACEP_ACEP_00002023-RA	LHUM_LH19960-RA, LHUM_LH15387-RA, LHUM_LH15385-RA, LHUM_LH17269-RA, LHUM_LH17270-RA
OG0000022	ACEP_ACEP_00010322-RA	LHUM_LH20614-RA, LHUM_LH20612-RA
OG0000022	ACEP_ACEP_00018172-RA	LHUM_LH25883-RA
OG0000022	ACEP_ACEP_00017875-RA	LHUM_LH25885-RA
OG0000022	ACEP_ACEP_00015834-RA, ACEP_ACEP_00015835-RA	LHUM_LH18177-RA
OG0000022	ACEP_ACEP_00002259-RA	LHUM_LH23507-RA
OG0000022	ACEP_ACEP_00004135-RA	LHUM_LH10827-RA
OG0000023	ACEP_ACEP_00003721-RA	LHUM_LH10560-RA, LHUM_LH25475-RA, LHUM_LH13383-RA, LHUM_LH26016-RA, LHUM_LH25299-RA, LHUM_LH10080-RA, LHUM_LH10559-RA, LHUM_LH10830-RA, LHUM_LH13874-RA, LHUM_LH10114-RA, LHUM_LH25441-RA, LHUM_LH12473-RA, LHUM_LH22538-RA, LHUM_LH10345-RA, LHUM_LH10511-RA, LHUM_LH14403-RA, LHUM_LH25265-RA, LHUM_LH14679-RA, LHUM_LH23888-RA, LHUM_LH14404-RA, LHUM_LH10512-RA, LHUM_LH10443-RA, LHUM_LH22764-RA, LHUM_LH15619-RA
OG0000024	ACEP_ACEP_00002550-RA	LHUM_LH25577-RA
OG0000024	ACEP_ACEP_00017286-RA	LHUM_LH22820-RA, LHUM_LH22816-RA
OG0000024	ACEP_ACEP_00002382-RA, ACEP_ACEP_00002381-RA	LHUM_LH14564-RA
OG0000024	ACEP_ACEP_00000478-RA	LHUM_LH17303-RA
OG0000024	ACEP_ACEP_00004336-RA	LHUM_LH22822-RA
OG0000024	ACEP_ACEP_00004339-RA, ACEP_ACEP_00004340-RA	LHUM_LH22823-RA
OG0000024	ACEP_ACEP_00004333-RA	LHUM_LH22817-RA
OG0000024	ACEP_ACEP_00004337-RA	LHUM_LH22821-RA
OG0000024	ACEP_ACEP_00014771-RA	LHUM_LH25997-RA
OG0000025	ACEP_ACEP_00001487-RA	LHUM_LH19303-RA, LHUM_LH15781-RA, LHUM_LH10501-RA, LHUM_LH15782-RA, LHUM_LH10491-RA, LHUM_LH15663-RA, LHUM_LH10599-RA, LHUM_LH15181-RA
OG0000025	ACEP_ACEP_00009611-RA, ACEP_ACEP_00004839-RA	LHUM_LH14938-RA, LHUM_LH19095-RA
OG0000025	ACEP_ACEP_00009610-RA	LHUM_LH17652-RA, LHUM_LH25219-RA, LHUM_LH18358-RA, LHUM_LH19302-RA, LHUM_LH18359-RA
OG0000028	ACEP_ACEP_00009725-RA	LHUM_LH25256-RA
OG0000028	ACEP_ACEP_00005915-RA	LHUM_LH14430-RA, LHUM_LH25190-RA, LHUM_LH13235-RA, LHUM_LH20985-RA, LHUM_LH23742-RA, LHUM_LH15605-RA
OG0000028	ACEP_ACEP_00008106-RA	LHUM_LH15604-RA
OG0000029	ACEP_ACEP_00015407-RA	LHUM_LH10639-RA
OG0000029	ACEP_ACEP_00015406-RA	LHUM_LH10374-RA, LHUM_LH10373-RA, LHUM_LH12262-RA, LHUM_LH10368-RA, LHUM_LH25438-RA, LHUM_LH10007-RA, LHUM_LH10860-RA, LHUM_LH13179-RA, LHUM_LH13310-RA, LHUM_LH10275-RA, LHUM_LH10375-RA, LHUM_LH10861-RA, LHUM_LH10862-RA, LHUM_LH25440-RA, LHUM_LH10072-RA, LHUM_LH10640-RA, LHUM_LH25439-RA, LHUM_LH13311-RA
OG0000030	ACEP_ACEP_00011589-RA	LHUM_LH10457-RA
OG0000030	ACEP_ACEP_00014567-RA, ACEP_ACEP_00011819-RA	LHUM_LH11893-RA
OG0000031	ACEP_ACEP_00014980-RA	LHUM_LH15985-RA
OG0000031	ACEP_ACEP_00014038-RA	LHUM_LH22979-RA
OG0000031	ACEP_ACEP_00014977-RA	LHUM_LH22512-RA
OG0000031	ACEP_ACEP_00001158-RA, ACEP_ACEP_00001157-RA	LHUM_LH24672-RA
OG0000031	ACEP_ACEP_00008394-RA	LHUM_LH14542-RA
OG0000031	ACEP_ACEP_00007362-RA	LHUM_LH24723-RA
OG0000032	ACEP_ACEP_00013149-RA, ACEP_ACEP_00013148-RA, ACEP_ACEP_00013147-RA, ACEP_ACEP_00015207-RA	LHUM_LH10529-RA, LHUM_LH16692-RA
OG0000032	ACEP_ACEP_00017955-RA	LHUM_LH15681-RA
OG0000032	ACEP_ACEP_00015194-RA	LHUM_LH24088-RA
OG0000033	ACEP_ACEP_00011572-RA	LHUM_LH10063-RA
OG0000033	ACEP_ACEP_00014894-RA	LHUM_LH12281-RA, LHUM_LH11509-RA, LHUM_LH11578-RA, LHUM_LH12279-RA, LHUM_LH12283-RA, LHUM_LH15893-RA, LHUM_LH13233-RA
OG0000035	ACEP_ACEP_00017794-RA	LHUM_LH18464-RA
OG0000035	ACEP_ACEP_00017795-RA, ACEP_ACEP_00016515-RA, ACEP_ACEP_00017792-RA, ACEP_ACEP_00012573-RA	LHUM_LH25728-RA
OG0000035	ACEP_ACEP_00012571-RA	LHUM_LH18458-RA
OG0000035	ACEP_ACEP_00012578-RA, ACEP_ACEP_00012576-RA	LHUM_LH25730-RA
OG0000037	ACEP_ACEP_00013966-RA	LHUM_LH11288-RA
OG0000037	ACEP_ACEP_00009266-RA, ACEP_ACEP_00009267-RA, ACEP_ACEP_00009275-RA, ACEP_ACEP_00004597-RA, ACEP_ACEP_00009354-RA, ACEP_ACEP_00013962-RA, ACEP_ACEP_00013968-RA, ACEP_ACEP_00013969-RA, ACEP_ACEP_00013970-RA	LHUM_LH10353-RA
OG0000038	ACEP_ACEP_00009900-RA, ACEP_ACEP_00001993-RA, ACEP_ACEP_00015496-RA, ACEP_ACEP_00015498-RA, ACEP_ACEP_00011218-RA, ACEP_ACEP_00015494-RA, ACEP_ACEP_00015493-RA, ACEP_ACEP_00015495-RA, ACEP_ACEP_00000642-RA, ACEP_ACEP_00016857-RA, ACEP_ACEP_00016856-RA, ACEP_ACEP_00013958-RA, ACEP_ACEP_00005123-RA, ACEP_ACEP_00005122-RA, ACEP_ACEP_00016855-RA, ACEP_ACEP_00018011-RA, ACEP_ACEP_00016538-RA, ACEP_ACEP_00005121-RA, ACEP_ACEP_00015492-RA	LHUM_LH23078-RA
OG0000039	ACEP_ACEP_00010237-RA	LHUM_LH24045-RA
OG0000039	ACEP_ACEP_00010236-RA	LHUM_LH26075-RA
OG0000039	ACEP_ACEP_00015338-RA, ACEP_ACEP_00015337-RA, ACEP_ACEP_00008124-RA, ACEP_ACEP_00015336-RA	LHUM_LH20394-RA
OG0000039	ACEP_ACEP_00002484-RA, ACEP_ACEP_00002461-RA	LHUM_LH15650-RA
OG0000039	ACEP_ACEP_00010233-RA	LHUM_LH24044-RA
OG0000040	ACEP_ACEP_00010442-RA	LHUM_LH11199-RA, LHUM_LH11590-RA, LHUM_LH10641-RA, LHUM_LH11589-RA, LHUM_LH22486-RA, LHUM_LH14800-RA, LHUM_LH12797-RA
OG0000040	ACEP_ACEP_00000900-RA, ACEP_ACEP_00011861-RA	LHUM_LH25482-RA, LHUM_LH14792-RA
OG0000040	ACEP_ACEP_00004980-RA	LHUM_LH15666-RA, LHUM_LH14672-RB, LHUM_LH11582-RA, LHUM_LH14672-RA, LHUM_LH15166-RA, LHUM_LH10123-RA, LHUM_LH24293-RA
OG0000041	ACEP_ACEP_00012909-RA	LHUM_LH10454-RA
OG0000041	ACEP_ACEP_00000919-RA, ACEP_ACEP_00000899-RA, ACEP_ACEP_00005895-RA, ACEP_ACEP_00001156-RA, ACEP_ACEP_00015619-RA, ACEP_ACEP_00008490-RA, ACEP_ACEP_00010438-RA, ACEP_ACEP_00012190-RA, ACEP_ACEP_00014737-RA, ACEP_ACEP_00012229-RA, ACEP_ACEP_00014610-RA, ACEP_ACEP_00014268-RA	LHUM_LH14522-RA, LHUM_LH10336-RA, LHUM_LH15403-RA
OG0000043	ACEP_ACEP_00012175-RA	LHUM_LH23669-RA, LHUM_LH19914-RA, LHUM_LH10236-RA, LHUM_LH10533-RA, LHUM_LH10088-RA, LHUM_LH14451-RA, LHUM_LH10441-RA, LHUM_LH14453-RA, LHUM_LH23238-RA, LHUM_LH15104-RA, LHUM_LH14819-RA, LHUM_LH20696-RA, LHUM_LH12395-RA, LHUM_LH16625-RA, LHUM_LH11864-RA, LHUM_LH23878-RA, LHUM_LH20431-RA, LHUM_LH15107-RA, LHUM_LH15103-RA, LHUM_LH23197-RA
OG0000044	ACEP_ACEP_00011839-RA	LHUM_LH12469-RA, LHUM_LH11594-RA, LHUM_LH11141-RA, LHUM_LH10282-RA, LHUM_LH11595-RA, LHUM_LH10515-RA, LHUM_LH10087-RA
OG0000044	ACEP_ACEP_00011929-RA	LHUM_LH12807-RA
OG0000044	ACEP_ACEP_00006037-RA	LHUM_LH11143-RA, LHUM_LH21774-RA, LHUM_LH20539-RA, LHUM_LH10853-RA, LHUM_LH22243-RA
OG0000045	ACEP_ACEP_00011526-RA	LHUM_LH22566-RA, LHUM_LH11180-RA
OG0000045	ACEP_ACEP_00003507-RA	LHUM_LH10622-RA, LHUM_LH19273-RA, LHUM_LH13964-RA, LHUM_LH11488-RA, LHUM_LH20306-RA, LHUM_LH11176-RA, LHUM_LH10168-RA, LHUM_LH11179-RA, LHUM_LH10625-RA, LHUM_LH11356-RA, LHUM_LH12306-RA, LHUM_LH23189-RA, LHUM_LH23990-RA, LHUM_LH15668-RA
OG0000046	ACEP_ACEP_00010407-RA	LHUM_LH12517-RA
OG0000046	ACEP_ACEP_00011725-RA	LHUM_LH11735-RA, LHUM_LH10434-RA, LHUM_LH14322-RA, LHUM_LH11546-RA, LHUM_LH11784-RA, LHUM_LH14426-RA, LHUM_LH12518-RA, LHUM_LH15687-RA, LHUM_LH11547-RA, LHUM_LH12519-RA, LHUM_LH11736-RA, LHUM_LH11548-RA, LHUM_LH12520-RA, LHUM_LH25229-RA, LHUM_LH11785-RA, LHUM_LH10437-RA, LHUM_LH14323-RA
OG0000047	ACEP_ACEP_00015568-RA	LHUM_LH14011-RA, LHUM_LH14010-RA, LHUM_LH25533-RA, LHUM_LH24049-RA, LHUM_LH25532-RA, LHUM_LH15063-RA, LHUM_LH25539-RA, LHUM_LH25538-RA, LHUM_LH19459-RA, LHUM_LH13852-RA, LHUM_LH13844-RA, LHUM_LH18149-RA, LHUM_LH25535-RA, LHUM_LH19196-RA, LHUM_LH20668-RA, LHUM_LH25536-RA
OG0000047	ACEP_ACEP_00015573-RA	LHUM_LH12051-RA
OG0000048	ACEP_ACEP_00013355-RA	LHUM_LH12558-RA
OG0000051	ACEP_ACEP_00011133-RA	LHUM_LH10134-RA
OG0000051	ACEP_ACEP_00001306-RA, ACEP_ACEP_00011142-RA, ACEP_ACEP_00011138-RA, ACEP_ACEP_00011141-RA, ACEP_ACEP_00001310-RA, ACEP_ACEP_00011139-RA, ACEP_ACEP_00011140-RA, ACEP_ACEP_00001315-RA, ACEP_ACEP_00001316-RA, ACEP_ACEP_00001314-RA, ACEP_ACEP_00011508-RA, ACEP_ACEP_00011136-RA, ACEP_ACEP_00001307-RA, ACEP_ACEP_00001309-RA, ACEP_ACEP_00001311-RA	LHUM_LH10136-RA
OG0000052	ACEP_ACEP_00004420-RA	LHUM_LH17100-RA
OG0000052	ACEP_ACEP_00002294-RA	LHUM_LH17822-RA
OG0000052	ACEP_ACEP_00003359-RA	LHUM_LH21131-RA
OG0000052	ACEP_ACEP_00002295-RA	LHUM_LH17808-RA
OG0000052	ACEP_ACEP_00002297-RA	LHUM_LH17810-RA, LHUM_LH17809-RA
OG0000053	ACEP_ACEP_00017832-RA	LHUM_LH25360-RA
OG0000053	ACEP_ACEP_00014151-RA, ACEP_ACEP_00014152-RA	LHUM_LH22632-RA
OG0000053	ACEP_ACEP_00011979-RA	LHUM_LH18023-RA
OG0000053	ACEP_ACEP_00017833-RA	LHUM_LH26018-RA, LHUM_LH19794-RA
OG0000054	ACEP_ACEP_00011265-RA	LHUM_LH13585-RA
OG0000054	ACEP_ACEP_00014842-RA	LHUM_LH16335-RA
OG0000055	ACEP_ACEP_00017915-RA	LHUM_LH19162-RA
OG0000055	ACEP_ACEP_00011962-RA	LHUM_LH16175-RA
OG0000055	ACEP_ACEP_00003796-RA	LHUM_LH24003-RA, LHUM_LH19163-RA, LHUM_LH24002-RA
OG0000055	ACEP_ACEP_00000666-RA	LHUM_LH18070-RA
OG0000056	ACEP_ACEP_00015465-RA	LHUM_LH25262-RA, LHUM_LH10517-RA
OG0000056	ACEP_ACEP_00014563-RA	LHUM_LH15774-RA, LHUM_LH12271-RA, LHUM_LH10358-RA, LHUM_LH10858-RA, LHUM_LH25269-RA, LHUM_LH25280-RA, LHUM_LH26017-RA, LHUM_LH15778-RA, LHUM_LH13360-RA, LHUM_LH13326-RA, LHUM_LH13435-RA, LHUM_LH13456-RA, LHUM_LH10163-RA, LHUM_LH24288-RA, LHUM_LH24291-RA
OG0000057	ACEP_ACEP_00009255-RA	LHUM_LH16824-RA, LHUM_LH16822-RA
OG0000058	ACEP_ACEP_00012285-RA	LHUM_LH12853-RA
OG0000062	ACEP_ACEP_00013246-RA	LHUM_LH11343-RA
OG0000062	ACEP_ACEP_00004092-RA	LHUM_LH12354-RA
OG0000062	ACEP_ACEP_00000449-RA	LHUM_LH22708-RA
OG0000062	ACEP_ACEP_00004082-RA	LHUM_LH23404-RA
OG0000062	ACEP_ACEP_00003321-RA	LHUM_LH11342-RA
OG0000064	ACEP_ACEP_00008692-RA	LHUM_LH12899-RA
OG0000064	ACEP_ACEP_00003561-RA	LHUM_LH11173-RA
OG0000064	ACEP_ACEP_00013110-RA	LHUM_LH13102-RA
OG0000064	ACEP_ACEP_00007791-RA	LHUM_LH24213-RA
OG0000064	ACEP_ACEP_00013513-RA	LHUM_LH23378-RA
OG0000064	ACEP_ACEP_00010593-RA	LHUM_LH16392-RA
OG0000065	ACEP_ACEP_00001049-RA	LHUM_LH24938-RA
OG0000065	ACEP_ACEP_00001051-RA	LHUM_LH26112-RA
OG0000065	ACEP_ACEP_00001059-RA, ACEP_ACEP_00001056-RA	LHUM_LH26113-RA
OG0000066	ACEP_ACEP_00001000-RA, ACEP_ACEP_00010463-RA, ACEP_ACEP_00005956-RA, ACEP_ACEP_00009402-RA	LHUM_LH23901-RA
OG0000067	ACEP_ACEP_00001292-RA	LHUM_LH21670-RA
OG0000068	ACEP_ACEP_00011792-RA, ACEP_ACEP_00011756-RA, ACEP_ACEP_00001038-RA, ACEP_ACEP_00000934-RA, ACEP_ACEP_00009197-RA, ACEP_ACEP_00011812-RA, ACEP_ACEP_00014590-RA, ACEP_ACEP_00000935-RA, ACEP_ACEP_00005792-RA, ACEP_ACEP_00015351-RA, ACEP_ACEP_00011802-RA, ACEP_ACEP_00011813-RA, ACEP_ACEP_00009174-RA, ACEP_ACEP_00011791-RA, ACEP_ACEP_00011805-RA, ACEP_ACEP_00011771-RA	LHUM_LH19579-RA
OG0000069	ACEP_ACEP_00017186-RA	LHUM_LH25609-RA
