Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	lhum_annotation	n11	1.0	Terminal	lhum_annotation_LHUM_10486-RA	lhum_annotation_LHUM_21825-RA
OG0000000	lhum_annotation	n12	1.0	Terminal	lhum_annotation_LHUM_14914-RA	lhum_annotation_LHUM_14703-RA, lhum_annotation_LHUM_12805-RA
OG0000000	lhum_annotation	n13	1.0	Terminal	lhum_annotation_LHUM_14703-RA	lhum_annotation_LHUM_12805-RA
OG0000000	lhum_annotation	n14	1.0	Terminal	lhum_annotation_LHUM_12442-RA	lhum_annotation_LHUM_10238-RA
OG0000000	N0	n15	0.3333333333333333	Non-Terminal	lhum_annotation_LHUM_14437-RA, lhum_annotation_LHUM_15099-RA, lhum_annotation_LHUM_13319-RA, lhum_annotation_LHUM_14407-RA	lhum_annotation_LHUM_10658-RA, lhum_annotation_LHUM_18424-RA, lhum_annotation_LHUM_13318-RA, acep_annotation_ACEP_00005936-RA, lhum_annotation_LHUM_14408-RA, lhum_annotation_LHUM_25203-RA, acep_annotation_ACEP_00013267-RA, acep_annotation_ACEP_00014461-RA, pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA, pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA, lhum_annotation_LHUM_10006-RA, lhum_annotation_LHUM_15172-RA, lhum_annotation_LHUM_11515-RA, lhum_annotation_LHUM_15082-RA, lhum_annotation_LHUM_15098-RA, lhum_annotation_LHUM_13209-RA, lhum_annotation_LHUM_14421-RA, lhum_annotation_LHUM_15620-RA, lhum_annotation_LHUM_24890-RA, lhum_annotation_LHUM_14481-RA, lhum_annotation_LHUM_15051-RA, lhum_annotation_LHUM_23017-RA, lhum_annotation_LHUM_14791-RA
OG0000000	lhum_annotation	n16	1.0	Terminal	lhum_annotation_LHUM_14437-RA, lhum_annotation_LHUM_15099-RA, lhum_annotation_LHUM_13319-RA	lhum_annotation_LHUM_14407-RA
OG0000000	lhum_annotation	n17	1.0	Terminal	lhum_annotation_LHUM_14437-RA, lhum_annotation_LHUM_15099-RA	lhum_annotation_LHUM_13319-RA
OG0000000	lhum_annotation	n18	1.0	Terminal	lhum_annotation_LHUM_14437-RA	lhum_annotation_LHUM_15099-RA
OG0000000	N0	n19	0.3333333333333333	Non-Terminal	lhum_annotation_LHUM_10658-RA	lhum_annotation_LHUM_18424-RA, lhum_annotation_LHUM_13318-RA, acep_annotation_ACEP_00005936-RA, lhum_annotation_LHUM_14408-RA, lhum_annotation_LHUM_25203-RA, acep_annotation_ACEP_00013267-RA, acep_annotation_ACEP_00014461-RA, pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA, pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA, lhum_annotation_LHUM_10006-RA, lhum_annotation_LHUM_15172-RA, lhum_annotation_LHUM_11515-RA, lhum_annotation_LHUM_15082-RA, lhum_annotation_LHUM_15098-RA, lhum_annotation_LHUM_13209-RA, lhum_annotation_LHUM_14421-RA, lhum_annotation_LHUM_15620-RA, lhum_annotation_LHUM_24890-RA, lhum_annotation_LHUM_14481-RA, lhum_annotation_LHUM_15051-RA, lhum_annotation_LHUM_23017-RA, lhum_annotation_LHUM_14791-RA
OG0000000	N0	n20	0.6666666666666666	Non-Terminal	lhum_annotation_LHUM_18424-RA, lhum_annotation_LHUM_13318-RA, acep_annotation_ACEP_00005936-RA	lhum_annotation_LHUM_14408-RA, lhum_annotation_LHUM_25203-RA, acep_annotation_ACEP_00013267-RA, acep_annotation_ACEP_00014461-RA, pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA, pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA, lhum_annotation_LHUM_10006-RA, lhum_annotation_LHUM_15172-RA, lhum_annotation_LHUM_11515-RA, lhum_annotation_LHUM_15082-RA, lhum_annotation_LHUM_15098-RA, lhum_annotation_LHUM_13209-RA, lhum_annotation_LHUM_14421-RA, lhum_annotation_LHUM_15620-RA, lhum_annotation_LHUM_24890-RA, lhum_annotation_LHUM_14481-RA, lhum_annotation_LHUM_15051-RA, lhum_annotation_LHUM_23017-RA, lhum_annotation_LHUM_14791-RA
OG0000000	lhum_annotation	n22	1.0	Terminal	lhum_annotation_LHUM_18424-RA	lhum_annotation_LHUM_13318-RA
OG0000000	N0	n23	0.6666666666666666	Non-Terminal	lhum_annotation_LHUM_14408-RA, lhum_annotation_LHUM_25203-RA, acep_annotation_ACEP_00013267-RA	acep_annotation_ACEP_00014461-RA, pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA, pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA, lhum_annotation_LHUM_10006-RA, lhum_annotation_LHUM_15172-RA, lhum_annotation_LHUM_11515-RA, lhum_annotation_LHUM_15082-RA, lhum_annotation_LHUM_15098-RA, lhum_annotation_LHUM_13209-RA, lhum_annotation_LHUM_14421-RA, lhum_annotation_LHUM_15620-RA, lhum_annotation_LHUM_24890-RA, lhum_annotation_LHUM_14481-RA, lhum_annotation_LHUM_15051-RA, lhum_annotation_LHUM_23017-RA, lhum_annotation_LHUM_14791-RA
OG0000000	lhum_annotation	n25	1.0	Terminal	lhum_annotation_LHUM_14408-RA	lhum_annotation_LHUM_25203-RA
OG0000000	N0	n27	0.3333333333333333	Non-Terminal	pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA, pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA	lhum_annotation_LHUM_10006-RA, lhum_annotation_LHUM_15172-RA, lhum_annotation_LHUM_11515-RA, lhum_annotation_LHUM_15082-RA, lhum_annotation_LHUM_15098-RA, lhum_annotation_LHUM_13209-RA, lhum_annotation_LHUM_14421-RA, lhum_annotation_LHUM_15620-RA, lhum_annotation_LHUM_24890-RA, lhum_annotation_LHUM_14481-RA, lhum_annotation_LHUM_15051-RA, lhum_annotation_LHUM_23017-RA, lhum_annotation_LHUM_14791-RA
OG0000000	N0	n28	0.6666666666666666	Non-Terminal	pbar_annotation_PBAR_17840-RA, lhum_annotation_LHUM_10605-RA, lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA	pbar_annotation_PBAR_14709-RA, lhum_annotation_LHUM_19134-RA, lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA
OG0000000	lhum_annotation	n30	1.0	Terminal	lhum_annotation_LHUM_10605-RA	lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA, lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA
OG0000000	lhum_annotation	n31	1.0	Terminal	lhum_annotation_LHUM_18453-RA, lhum_annotation_LHUM_10338-RA	lhum_annotation_LHUM_10439-RA, lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA
OG0000000	lhum_annotation	n32	1.0	Terminal	lhum_annotation_LHUM_18453-RA	lhum_annotation_LHUM_10338-RA
OG0000000	lhum_annotation	n33	1.0	Terminal	lhum_annotation_LHUM_10439-RA	lhum_annotation_LHUM_10474-RA, lhum_annotation_LHUM_25204-RA
OG0000000	lhum_annotation	n34	1.0	Terminal	lhum_annotation_LHUM_10474-RA	lhum_annotation_LHUM_25204-RA
OG0000000	lhum_annotation	n36	1.0	Terminal	lhum_annotation_LHUM_19134-RA	lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA, lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA
OG0000000	lhum_annotation	n37	1.0	Terminal	lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA, lhum_annotation_LHUM_15895-RA	lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA, lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA
OG0000000	lhum_annotation	n38	1.0	Terminal	lhum_annotation_LHUM_10289-RA, lhum_annotation_LHUM_12441-RA	lhum_annotation_LHUM_15895-RA
OG0000000	lhum_annotation	n39	1.0	Terminal	lhum_annotation_LHUM_10289-RA	lhum_annotation_LHUM_12441-RA
OG0000000	lhum_annotation	n40	1.0	Terminal	lhum_annotation_LHUM_11597-RA, lhum_annotation_LHUM_12748-RA	lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA, lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA
OG0000000	lhum_annotation	n41	1.0	Terminal	lhum_annotation_LHUM_11597-RA	lhum_annotation_LHUM_12748-RA
OG0000000	lhum_annotation	n42	1.0	Terminal	lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA, lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA	lhum_annotation_LHUM_17699-RA, lhum_annotation_LHUM_19127-RA, lhum_annotation_LHUM_16339-RA, lhum_annotation_LHUM_10004-RA, lhum_annotation_LHUM_10224-RA
OG0000000	lhum_annotation	n43	1.0	Terminal	lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA, lhum_annotation_LHUM_11630-RA	lhum_annotation_LHUM_11239-RA, lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA
OG0000000	lhum_annotation	n44	1.0	Terminal	lhum_annotation_LHUM_12566-RA, lhum_annotation_LHUM_12949-RA	lhum_annotation_LHUM_11630-RA
OG0000000	lhum_annotation	n45	1.0	Terminal	lhum_annotation_LHUM_12566-RA	lhum_annotation_LHUM_12949-RA
OG0000000	lhum_annotation	n46	1.0	Terminal	lhum_annotation_LHUM_11239-RA	lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA, lhum_annotation_LHUM_13234-RA
OG0000000	lhum_annotation	n47	1.0	Terminal	lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA, lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA	lhum_annotation_LHUM_13234-RA
OG0000000	lhum_annotation	n48	1.0	Terminal	lhum_annotation_LHUM_11842-RA, lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA	lhum_annotation_LHUM_22550-RA, lhum_annotation_LHUM_12474-RA
OG0000000	lhum_annotation	n49	1.0	Terminal	lhum_annotation_LHUM_11842-RA	lhum_annotation_LHUM_15678-RA, lhum_annotation_LHUM_19942-RA
