Orthogroup	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0000024	LHUM_LH25577-RA	PBAR_PB18065-RA
OG0000024	LHUM_LH14564-RA	PBAR_PB19339-RA
OG0000025	LHUM_LH19303-RA, LHUM_LH15781-RA, LHUM_LH10501-RA, LHUM_LH15782-RA, LHUM_LH10491-RA, LHUM_LH15663-RA, LHUM_LH10599-RA, LHUM_LH15181-RA	PBAR_PB16491-RA
OG0000025	LHUM_LH18358-RA	PBAR_PB11210-RA, PBAR_PB16489-RA
OG0000025	LHUM_LH19302-RA	PBAR_PB16490-RA
OG0000025	LHUM_LH18359-RA	PBAR_PB16089-RA
OG0000027	LHUM_LH17512-RA	PBAR_PB12530-RA
OG0000027	LHUM_LH13656-RA	PBAR_PB12531-RA, PBAR_PB26572-RA, PBAR_PB10151-RA, PBAR_PB10164-RA, PBAR_PB10232-RA, PBAR_PB26202-RA, PBAR_PB10121-RA, PBAR_PB10096-RA, PBAR_PB11391-RA, PBAR_PB10268-RA, PBAR_PB10165-RA, PBAR_PB11392-RA, PBAR_PB10233-RA, PBAR_PB10210-RA, PBAR_PB11389-RA, PBAR_PB11390-RA, PBAR_PB26573-RA, PBAR_PB16912-RA, PBAR_PB26615-RA, PBAR_PB26616-RA, PBAR_PB26617-RA
OG0000028	LHUM_LH25256-RA	PBAR_PB11430-RA, PBAR_PB15495-RA
OG0000028	LHUM_LH14430-RA, LHUM_LH25190-RA, LHUM_LH13235-RA, LHUM_LH20985-RA, LHUM_LH23742-RA, LHUM_LH15605-RA	PBAR_PB20453-RA
OG0000028	LHUM_LH15604-RA	PBAR_PB20452-RA
OG0000029	LHUM_LH10374-RA, LHUM_LH10373-RA, LHUM_LH12262-RA, LHUM_LH10368-RA, LHUM_LH25438-RA, LHUM_LH10007-RA, LHUM_LH10860-RA, LHUM_LH13179-RA, LHUM_LH13310-RA, LHUM_LH10275-RA, LHUM_LH10375-RA, LHUM_LH10861-RA, LHUM_LH10862-RA, LHUM_LH25440-RA, LHUM_LH10072-RA, LHUM_LH10640-RA, LHUM_LH25439-RA, LHUM_LH13311-RA	PBAR_PB25650-RB, PBAR_PB25650-RA
OG0000030	LHUM_LH10457-RA	PBAR_PB17838-RA, PBAR_PB10611-RA, PBAR_PB10001-RA, PBAR_PB10456-RA, PBAR_PB10418-RA, PBAR_PB17190-RA, PBAR_PB10419-RA, PBAR_PB15812-RA, PBAR_PB10556-RA, PBAR_PB17839-RA
OG0000030	LHUM_LH11893-RA	PBAR_PB13847-RA, PBAR_PB15813-RA, PBAR_PB10395-RA, PBAR_PB15814-RA, PBAR_PB27091-RA, PBAR_PB17194-RA, PBAR_PB13849-RA, PBAR_PB17845-RA
OG0000031	LHUM_LH15985-RA	PBAR_augustus-pbar_scf7180000350332-abinit-gene-2.90-mRNA-1
OG0000031	LHUM_LH22979-RA	PBAR_PB16444-RA
OG0000031	LHUM_LH22512-RA, LHUM_LH24672-RA	PBAR_PB23489-RA, PBAR_PB21981-RA, PBAR_PB23488-RA
OG0000031	LHUM_LH14542-RA	PBAR_PB22688-RA
OG0000031	LHUM_LH24723-RA	PBAR_PB24448-RA
OG0000032	LHUM_LH10529-RA, LHUM_LH16692-RA	PBAR_PB14735-RA
OG0000032	LHUM_LH16691-RA	PBAR_PB12750-RA
OG0000032	LHUM_LH15681-RA	PBAR_PB20791-RA
OG0000032	LHUM_LH24088-RA	PBAR_PB22578-RA
OG0000033	LHUM_LH10063-RA	PBAR_PB17796-RB
OG0000033	LHUM_LH12280-RA, LHUM_LH15086-RA, LHUM_LH15085-RA, LHUM_LH10143-RA, LHUM_LH10653-RA, LHUM_LH10536-RA, LHUM_LH24584-RA, LHUM_LH23650-RA, LHUM_LH10537-RA	PBAR_PB17801-RA
OG0000035	LHUM_LH18464-RA	PBAR_PB16372-RA
OG0000035	LHUM_LH25728-RA	PBAR_PB26592-RA, PBAR_PB16374-RA
OG0000035	LHUM_LH18458-RA	PBAR_PB16376-RA, PBAR_PB16375-RA
OG0000036	LHUM_LH14925-RA, LHUM_Lhum_CG9747_k-RA, LHUM_LH24885-RA, LHUM_Lhum_CG9747_n-RA, LHUM_Lhum_CG9747_o-RB, LHUM_LH13466-RA, LHUM_LH14562-RA, LHUM_LH13323-RA, LHUM_LH24884-RA, LHUM_Lhum_CG9747_i-RA, LHUM_Lhum_CG9747_j-RA, LHUM_LH19802-RA, LHUM_LH10841-RA, LHUM_Lhum_CG9747_m-RA, LHUM_LH11816-RA, LHUM_LH11825-RA, LHUM_LH13289-RA, LHUM_Lhum_desat_frag6-RA, LHUM_LH10840-RA, LHUM_LH13474-RA, LHUM_LH13473-RA	PBAR_Pbar_desat_frag1-1
OG0000037	LHUM_LH11288-RA	PBAR_PB10825-RA
OG0000037	LHUM_LH10353-RA	PBAR_PB24933-RA, PBAR_pbar_CG8306-RA, PBAR_PB17473-RA, PBAR_PB12884-RA, PBAR_PB10830-RA, PBAR_PB10826-RA, PBAR_PB10831-RA, PBAR_PB10328-RA
OG0000038	LHUM_LH23078-RA	PBAR_PB26388-RA
OG0000039	LHUM_LH24045-RA	PBAR_PB25136-RA
OG0000039	LHUM_LH20394-RA	PBAR_PB15785-RA
OG0000039	LHUM_LH15650-RA	PBAR_PB19088-RA, PBAR_PB19078-RA
OG0000039	LHUM_LH24044-RA	PBAR_PB25135-RA, PBAR_PB25133-RA
OG0000040	LHUM_LH11199-RA, LHUM_LH11590-RA, LHUM_LH10641-RA, LHUM_LH11589-RA, LHUM_LH22486-RA, LHUM_LH14800-RA, LHUM_LH12797-RA, LHUM_LH25482-RA, LHUM_LH14792-RA, LHUM_LH15666-RA, LHUM_LH14672-RB, LHUM_LH11582-RA, LHUM_LH14672-RA, LHUM_LH15166-RA, LHUM_LH10123-RA, LHUM_LH24293-RA	PBAR_PB10883-RA
OG0000041	LHUM_LH10454-RA	PBAR_PB22268-RA
OG0000041	LHUM_LH14522-RA, LHUM_LH10336-RA, LHUM_LH15403-RA	PBAR_PB17690-RA
OG0000044	LHUM_LH12469-RA, LHUM_LH11594-RA, LHUM_LH11141-RA, LHUM_LH10282-RA, LHUM_LH11595-RA, LHUM_LH10515-RA, LHUM_LH10087-RA	PBAR_PB26199-RA
OG0000044	LHUM_LH11143-RA, LHUM_LH21774-RA, LHUM_LH20539-RA, LHUM_LH10853-RA, LHUM_LH22243-RA	PBAR_PB22802-RA
OG0000044	LHUM_LH25123-RA	PBAR_PB18611-RA
OG0000045	LHUM_LH10622-RA, LHUM_LH19273-RA	PBAR_PB11603-RA
OG0000045	LHUM_LH13964-RA, LHUM_LH11488-RA, LHUM_LH20306-RA, LHUM_LH11176-RA, LHUM_LH10168-RA, LHUM_LH11179-RA	PBAR_PB11603-RB
OG0000047	LHUM_LH14011-RA, LHUM_LH14010-RA, LHUM_LH25533-RA, LHUM_LH24049-RA, LHUM_LH25532-RA, LHUM_LH15063-RA, LHUM_LH25539-RA, LHUM_LH25538-RA, LHUM_LH19459-RA, LHUM_LH13852-RA, LHUM_LH13844-RA, LHUM_LH18149-RA, LHUM_LH25535-RA, LHUM_LH19196-RA, LHUM_LH20668-RA, LHUM_LH25536-RA	PBAR_PB12857-RA
OG0000048	LHUM_LH12558-RA	PBAR_PB22325-RA, PBAR_PB14509-RA, PBAR_PB11034-RA, PBAR_PB11401-RA, PBAR_PB11724-RA, PBAR_PB11402-RA, PBAR_PB11403-RA, PBAR_PB10500-RA, PBAR_PB10523-RA, PBAR_PB11358-RA
OG0000048	LHUM_LH12556-RA, LHUM_LH11593-RA	PBAR_PB14506-RA, PBAR_PB11723-RA, PBAR_PB22317-RA, PBAR_PB11033-RA, PBAR_PB14758-RA, PBAR_PB11400-RA
OG0000051	LHUM_LH10136-RA	PBAR_PB14420-RA
OG0000052	LHUM_LH17100-RA	PBAR_PB17210-RA
OG0000052	LHUM_LH17822-RA	PBAR_PB19407-RA
OG0000052	LHUM_LH21131-RA	PBAR_PB25917-RA
OG0000052	LHUM_LH21152-RA	PBAR_PB25930-RA
OG0000052	LHUM_LH17808-RA	PBAR_PB19406-RA
OG0000052	LHUM_LH17810-RA	PBAR_PB19410-RA
OG0000052	LHUM_LH17809-RA	PBAR_PB19409-RA
OG0000053	LHUM_LH22632-RA	PBAR_PB18249-RA
OG0000054	LHUM_LH13585-RA	PBAR_PB25191-RA
OG0000054	LHUM_LH16335-RA	PBAR_PB17557-RA
OG0000054	LHUM_LH22562-RA	PBAR_PB18192-RA, PBAR_PB18190-RA, PBAR_PB18191-RA
OG0000054	LHUM_LH12079-RA	PBAR_PB12060-RA, PBAR_PB18193-RA, PBAR_PB12057-RA
OG0000054	LHUM_LH25760-RA, LHUM_LH25761-RA	PBAR_PB11368-RA
OG0000054	LHUM_LH22565-RA	PBAR_PB18184-RA
OG0000055	LHUM_LH19162-RA	PBAR_PB24189-RA
OG0000055	LHUM_LH24003-RA, LHUM_LH19163-RA	PBAR_PB12187-RA
OG0000055	LHUM_LH24002-RA	PBAR_PB18852-RA
OG0000055	LHUM_LH18070-RA	PBAR_PB25255-RA
OG0000057	LHUM_LH17363-RA	PBAR_PB19813-RA
OG0000057	LHUM_LH16824-RA, LHUM_LH16822-RA	PBAR_PB24929-RA
OG0000057	LHUM_LH22548-RA, LHUM_LH10768-RA, LHUM_LH14471-RA, LHUM_LH10859-RA, LHUM_LH20452-RA, LHUM_LH15114-RA, LHUM_LH11566-RA, LHUM_LH10281-RA, LHUM_LH20453-RA, LHUM_LH10910-RA	PBAR_PB20045-RA
OG0000058	LHUM_LH12853-RA	PBAR_PB14263-RA, PBAR_PB21705-RA, PBAR_PB21704-RA, PBAR_PB14264-RA, PBAR_PB14260-RA, PBAR_PB23802-RA, PBAR_PB10029-RA, PBAR_PB14261-RA, PBAR_PB10422-RA, PBAR_PB10213-RA, PBAR_PB10612-RA, PBAR_PB26222-RA, PBAR_PB10021-RA, PBAR_PB13571-RA, PBAR_PB10028-RA, PBAR_PB14262-RA, PBAR_pbar_CG32104-like-1
OG0000062	LHUM_LH11343-RA	PBAR_PB13330-RA
OG0000062	LHUM_LH12354-RA	PBAR_pbar_HSP70-1
OG0000062	LHUM_LH22708-RA	PBAR_PB16617-RA
OG0000062	LHUM_LH23404-RA	PBAR_PB15578-RA
OG0000064	LHUM_LH12899-RA	PBAR_PB13264-RA
OG0000064	LHUM_LH11173-RA	PBAR_PB14550-RA
OG0000064	LHUM_LH13102-RA	PBAR_pbar_SerT-1
OG0000064	LHUM_LH24213-RA	PBAR_PB11835-RA
OG0000064	LHUM_LH23378-RA	PBAR_PB11906-RA
OG0000064	LHUM_LH16392-RA	PBAR_PB14684-RA
OG0000065	LHUM_LH24938-RA	PBAR_PB26929-RA, PBAR_PB26927-RA
OG0000065	LHUM_LH26112-RA	PBAR_PB26926-RA
OG0000065	LHUM_LH26113-RA	PBAR_PB26928-RA
OG0000066	LHUM_LH23901-RA	PBAR_PB24637-RA, PBAR_PB13512-RA, PBAR_PB10480-RA, PBAR_PB11314-RA, PBAR_PB11306-RA, PBAR_PB19223-RA, PBAR_PB15126-RA, PBAR_PB17086-RA, PBAR_PB18371-RA, PBAR_PB18205-RA, PBAR_PB14236-RA, PBAR_PB13709-RA
OG0000067	LHUM_LH21670-RA	PBAR_PB21569-RA, PBAR_PB10242-RA
OG0000067	LHUM_LH21669-RA	PBAR_PB21568-RA
OG0000067	LHUM_LH21671-RA, LHUM_LH25956-RA, LHUM_LH25955-RA	PBAR_PB21573-RA
OG0000067	LHUM_LH21668-RA, LHUM_LH10129-RA	PBAR_PB21572-RA, PBAR_PB10374-RA, PBAR_PB21574-RA, PBAR_PB21571-RA
OG0000069	LHUM_LH25609-RA	PBAR_PB14300-RA
OG0000069	LHUM_LH25611-RA	PBAR_PB14763-RA
OG0000069	LHUM_LH25596-RA, LHUM_LH25597-RA	PBAR_PB26458-RA, PBAR_PB10534-RA
OG0000071	LHUM_LH13167-RA	PBAR_PB17433-RA, PBAR_PB26648-RA, PBAR_PB14273-RA, PBAR_PB17396-RA, PBAR_PB18999-RA, PBAR_PB23377-RA, PBAR_PB17389-RA, PBAR_PB14274-RA, PBAR_PB26812-RA, PBAR_PB20343-RA, PBAR_PB11900-RA, PBAR_PB10527-RA, PBAR_PB10618-RA, PBAR_PB17432-RA, PBAR_PB17431-RA
OG0000075	LHUM_LH19129-RA	PBAR_PB21504-RA
OG0000075	LHUM_LH20267-RA	PBAR_PB21279-RA
OG0000075	LHUM_LH25498-RA	PBAR_PB20950-RA
OG0000075	LHUM_LH14190-RA	PBAR_PB26849-RA
OG0000075	LHUM_LH19101-RA, LHUM_LH11616-RA	PBAR_PB13081-RA
OG0000076	LHUM_LH26004-RA, LHUM_LH26005-RA	PBAR_PB18623-RA, PBAR_PB18618-RA
OG0000076	LHUM_LH11974-RA	PBAR_PB16421-RA
OG0000076	LHUM_LH11300-RA	PBAR_PB11385-RA
OG0000076	LHUM_LH25149-RA	PBAR_PB11509-RA
OG0000079	LHUM_LH21966-RA	PBAR_PB16077-RA
OG0000079	LHUM_LH11257-RA, LHUM_LH17824-RA	PBAR_PB19414-RA
OG0000079	LHUM_LH25927-RA, LHUM_LH25915-RA	PBAR_PB26548-RA
OG0000081	LHUM_LH20345-RA	PBAR_pbar_Ddc-1
OG0000081	LHUM_LH20333-RA	PBAR_PB15942-RA
OG0000081	LHUM_LH24989-RA	PBAR_PB17456-RA
OG0000081	LHUM_LH19594-RA, LHUM_LH19591-RA, LHUM_LH19592-RA	PBAR_PB24364-RA
OG0000082	LHUM_LH24891-RA	PBAR_PB18139-RA
OG0000082	LHUM_LH20877-RA	PBAR_PB16064-RA
OG0000082	LHUM_LH21967-RA	PBAR_PB21863-RA, PBAR_PB15655-RA
OG0000082	LHUM_LH21289-RA	PBAR_PB15222-RA
