Orthogroup	acep_annotation	lhum_annotation	pbar_annotation
OG0012042	ACEP_00013954-RA		
OG0012043	ACEP_00013951-RA		
OG0012044	ACEP_00013947-RA		
OG0012045	ACEP_00013945-RA		
OG0012046	ACEP_00013944-RA		
OG0012047	ACEP_00013943-RA		
OG0012048	ACEP_00017894-RA		
OG0012049	ACEP_00016638-RA		
OG0012050	ACEP_00016305-RA		
OG0012051	ACEP_00016773-RA		
OG0012052	ACEP_00016636-RA		
OG0012053	ACEP_00016477-RA		
OG0012054	ACEP_00016651-RA		
OG0012055	ACEP_00016344-RA		
OG0012056	ACEP_00011539-RA		
OG0012057	ACEP_00011531-RA		
OG0012058	ACEP_00011530-RA		
OG0012059	ACEP_00011535-RA		
OG0012060	ACEP_00011540-RA		
OG0012061	ACEP_00017843-RA		
OG0012062	ACEP_00011534-RA		
OG0012063	ACEP_00011538-RA		
OG0012064	ACEP_00017844-RA		
OG0012065	ACEP_00011528-RA		
OG0012066	ACEP_00017845-RA		
OG0012067	ACEP_00011525-RA		
OG0012068	ACEP_00011523-RA		
OG0012069	ACEP_00011514-RA		
OG0012070	ACEP_00011511-RA		
OG0012071	ACEP_00011517-RA		
OG0012072	ACEP_00011506-RA		
OG0012073	ACEP_00011501-RA		
OG0012074	ACEP_00011494-RA		
OG0012075	ACEP_00017848-RA		
OG0012076	ACEP_00017849-RA		
OG0012077	ACEP_00017851-RA		
OG0012078	ACEP_00011475-RA		
OG0012079	ACEP_00011472-RA		
OG0012080	ACEP_00011479-RA		
OG0012081	ACEP_00011464-RA		
OG0012082	ACEP_00017852-RA		
OG0012083	ACEP_00011460-RA		
OG0012084	ACEP_00011459-RA		
OG0012085	ACEP_00011452-RA		
OG0012086	ACEP_00011444-RA		
OG0012087	ACEP_00017856-RA		
OG0012088	ACEP_00011436-RA		
OG0012089	ACEP_00017857-RA		
OG0012090	ACEP_00011429-RA		
OG0012091	ACEP_00011427-RA		
OG0012092	ACEP_00011428-RA		
OG0012093	ACEP_00011422-RA		
OG0012094	ACEP_00011425-RA		
OG0012095	ACEP_00011426-RA		
OG0012096	ACEP_00011421-RA		
OG0012097	ACEP_00017858-RA		
OG0012098	ACEP_00011419-RA		
OG0012099	ACEP_00017859-RA		
OG0012100	ACEP_00002708-RA		
OG0012101	ACEP_00002692-RA		
OG0012102	ACEP_00002688-RA		
OG0012103	ACEP_00002689-RA		
OG0012104	ACEP_00002698-RA		
OG0012105	ACEP_00002682-RA		
OG0012106	ACEP_00002662-RA		
OG0012107	ACEP_00002664-RA		
OG0012108	ACEP_00002668-RA		
OG0012109	ACEP_00002659-RA		
OG0012110	ACEP_00002661-RA		
OG0012111	ACEP_00002657-RA		
OG0012112	ACEP_00002654-RA		
OG0012113	ACEP_00002647-RA		
OG0012114	ACEP_00002641-RA		
OG0012115	ACEP_00002649-RA		
OG0012116	ACEP_00002651-RA		
OG0012117	ACEP_00002636-RA		
OG0012118	ACEP_00002627-RA		
OG0012119	ACEP_00002628-RA		
OG0012120	ACEP_00017079-RA		
OG0012121	ACEP_00002625-RA		
OG0012122	ACEP_00002624-RA		
OG0012123	ACEP_00002626-RA		
OG0012124	ACEP_00002619-RA		
OG0012125	ACEP_00002622-RA		
OG0012126	ACEP_00002607-RA		
OG0012127	ACEP_00002605-RA		
OG0012128	ACEP_00002606-RA		
OG0012129	ACEP_00002599-RA		
OG0012130	ACEP_00002594-RA		
OG0012131	ACEP_00002589-RA		
OG0012132	ACEP_00017081-RA		
OG0012133	ACEP_00002574-RA		
OG0012134	ACEP_00002573-RA		
OG0012135	ACEP_00017082-RA		
OG0012136	ACEP_00002566-RA		
OG0012137	ACEP_00002559-RA		
OG0012138	ACEP_00017084-RA		
OG0012139	ACEP_00002565-RA		
OG0012140	ACEP_00017085-RA		
OG0012141	ACEP_00002553-RA		
OG0012142	ACEP_00002548-RA		
OG0012143	ACEP_00002545-RA		
OG0012144	ACEP_00002547-RA		
OG0012145	ACEP_00002544-RA		
OG0012146	ACEP_00002541-RA		
OG0012147	ACEP_00002527-RA		
OG0012148	ACEP_00017088-RA		
OG0012149	ACEP_00002529-RA		
OG0012150	ACEP_00002524-RA		
OG0012151	ACEP_00002525-RA		
OG0012152	ACEP_00002516-RA		
OG0012153	ACEP_00002513-RA		
OG0012154	ACEP_00002510-RA		
OG0012155	ACEP_00017093-RA		
OG0012156	ACEP_00017094-RA		
OG0012157	ACEP_00002503-RA		
OG0012158	ACEP_00002495-RA		
OG0012159	ACEP_00002500-RA		
OG0012160	ACEP_00002502-RA		
OG0012161	ACEP_00002501-RA		
OG0012162	ACEP_00002497-RA		
OG0012163	ACEP_00017097-RA		
OG0012164	ACEP_00017098-RA		
OG0012165	ACEP_00002485-RA		
OG0012166	ACEP_00002483-RA		
OG0012167	ACEP_00017099-RA		
OG0012168	ACEP_00002486-RA		
OG0012169	ACEP_00002478-RA		
OG0012170	ACEP_00002468-RA		
OG0012171	ACEP_00002473-RA		
OG0012172	ACEP_00002474-RA		
OG0012173	ACEP_00002470-RA		
OG0012174	ACEP_00017100-RA		
OG0012175	ACEP_00002471-RA		
OG0012176	ACEP_00002469-RA		
OG0012177	ACEP_00002472-RA		
OG0012178	ACEP_00017101-RA		
OG0012179	ACEP_00017102-RA		
OG0012180	ACEP_00002460-RA		
OG0012181	ACEP_00002457-RA		
OG0012182	ACEP_00017104-RA		
OG0012183	ACEP_00017105-RA		
OG0012184	ACEP_00002449-RA		
OG0012185	ACEP_00002450-RA		
OG0012186	ACEP_00017106-RA		
OG0012187	ACEP_00002446-RA		
OG0012188	ACEP_00017107-RA		
OG0012189	ACEP_00002441-RA		
OG0012190	ACEP_00002443-RA		
OG0012191	ACEP_00002432-RA		
OG0012192	ACEP_00017112-RA		
OG0012193	ACEP_00002415-RA		
OG0012194	ACEP_00002420-RA		
OG0012195	ACEP_00002417-RA		
OG0012196	ACEP_00002419-RA		
OG0012197	ACEP_00017111-RA		
OG0012198	ACEP_00017114-RA		
OG0012199	ACEP_00017113-RA		
OG0012200	ACEP_00002411-RA		
OG0012201	ACEP_00002393-RA		
OG0012202	ACEP_00002397-RA		
OG0012203	ACEP_00017115-RA		
OG0012204	ACEP_00002387-RA		
OG0012205	ACEP_00002389-RA		
OG0012206	ACEP_00002384-RA		
OG0012207	ACEP_00002368-RA		
OG0012208	ACEP_00002356-RA		
OG0012209	ACEP_00002364-RA		
OG0012210	ACEP_00002352-RA		
OG0012211	ACEP_00002349-RA		
OG0012212	ACEP_00002350-RA		
OG0012213	ACEP_00002334-RA		
OG0012214	ACEP_00002336-RA		
OG0012215	ACEP_00002329-RA		
OG0012216	ACEP_00002332-RA		
OG0012217	ACEP_00002327-RA		
OG0012218	ACEP_00017122-RA		
OG0012219	ACEP_00002325-RA		
OG0012220	ACEP_00002321-RA		
OG0012221	ACEP_00002320-RA		
OG0012222	ACEP_00017123-RA		
OG0012223	ACEP_00002316-RA		
OG0012224	ACEP_00002308-RA		
OG0012225	ACEP_00017126-RA		
OG0012226	ACEP_00002306-RA		
OG0012227	ACEP_00017125-RA		
OG0012228	ACEP_00002307-RA		
OG0012229	ACEP_00017124-RA		
OG0012230	ACEP_00002305-RA		
OG0012231	ACEP_00002301-RA		
OG0012232	ACEP_00002304-RA		
OG0012233	ACEP_00017127-RA		
OG0012234	ACEP_00002268-RA		
OG0012235	ACEP_00002267-RA		
OG0012236	ACEP_00017133-RA		
OG0012237	ACEP_00002249-RA		
OG0012238	ACEP_00002248-RA		
OG0012239	ACEP_00002245-RA		
OG0012240	ACEP_00002235-RA		
OG0012241	ACEP_00002232-RA		
OG0012242	ACEP_00002230-RA		
OG0012243	ACEP_00002225-RA		
OG0012244	ACEP_00002221-RA		
OG0012245	ACEP_00002219-RA		
OG0012246	ACEP_00002217-RA		
OG0012247	ACEP_00002218-RA		
OG0012248	ACEP_00002210-RA		
OG0012249	ACEP_00002209-RA		
OG0012250	ACEP_00002213-RA		
OG0012251	ACEP_00002212-RA		
OG0012252	ACEP_00017137-RA		
OG0012253	ACEP_00002205-RA		
OG0012254	ACEP_00002202-RA		
OG0012255	ACEP_00002201-RA		
OG0012256	ACEP_00002191-RA		
OG0012257	ACEP_00002198-RA		
OG0012258	ACEP_00002196-RA		
OG0012259	ACEP_00016425-RA		
OG0012260	ACEP_00010572-RA		
OG0012261	ACEP_00010569-RA		
OG0012262	ACEP_00010565-RA		
OG0012263	ACEP_00010561-RA		
OG0012264	ACEP_00010563-RA		
OG0012265	ACEP_00010562-RA		
OG0012266	ACEP_00010568-RA		
OG0012267	ACEP_00010560-RA		
OG0012268	ACEP_00010554-RA		
OG0012269	ACEP_00010555-RA		
OG0012270	ACEP_00010556-RA		
OG0012271	ACEP_00010558-RA		
OG0012272	ACEP_00010553-RA		
OG0012273	ACEP_00010547-RA		
OG0012274	ACEP_00010548-RA		
OG0012275	ACEP_00010538-RA		
OG0012276	ACEP_00010545-RA		
OG0012277	ACEP_00010537-RA		
OG0012278	ACEP_00010530-RA		
OG0012279	ACEP_00017923-RA		
OG0012280	ACEP_00010519-RA		
OG0012281	ACEP_00010512-RA		
OG0012282	ACEP_00010510-RA		
OG0012283	ACEP_00010509-RA		
OG0012284	ACEP_00010508-RA		
OG0012285	ACEP_00010505-RA		
OG0012286	ACEP_00010502-RA		
OG0012287	ACEP_00010497-RA		
OG0012288	ACEP_00010493-RA		
OG0012289	ACEP_00010489-RA		
OG0012290	ACEP_00010490-RA		
OG0012291	ACEP_00010486-RA		
OG0012292	ACEP_00010484-RA		
OG0012293	ACEP_00010488-RA		
OG0012294	ACEP_00010487-RA		
OG0012295	ACEP_00010482-RA		
OG0012296	ACEP_00010469-RA		
OG0012297	ACEP_00010475-RA		
OG0012298	ACEP_00010472-RA		
OG0012299	ACEP_00010473-RA		
OG0012300	ACEP_00010471-RA		
OG0012301	ACEP_00010468-RA		
OG0012302	ACEP_00010467-RA		
OG0012303	ACEP_00010462-RA		
OG0012304	ACEP_00010460-RA		
OG0012305	ACEP_00010455-RA		
OG0012306	ACEP_00010457-RA		
OG0012307	ACEP_00010453-RA		
OG0012308	ACEP_00010454-RA		
OG0012309	ACEP_00010449-RA		
OG0012310	ACEP_00010450-RA		
OG0012311	ACEP_00010446-RA		
OG0012312	ACEP_00010445-RA		
OG0012313	ACEP_00010448-RA		
OG0012314	ACEP_00010444-RA		
OG0012315	ACEP_00010435-RA		
OG0012316	ACEP_00010436-RA		
OG0012317	ACEP_00010429-RA		
OG0012318	ACEP_00010424-RA		
OG0012319	ACEP_00010425-RA		
OG0012320	ACEP_00010418-RA		
OG0012321	ACEP_00010416-RA		
OG0012322	ACEP_00017930-RA		
OG0012323	ACEP_00010411-RA		
OG0012324	ACEP_00010412-RA		
OG0012325	ACEP_00010410-RA		
OG0012326	ACEP_00010413-RA		
OG0012327	ACEP_00016472-RA		
OG0012328	ACEP_00016430-RA		
OG0012329	ACEP_00016415-RA		
OG0012330	ACEP_00008248-RA		
OG0012331	ACEP_00008247-RA		
OG0012332	ACEP_00008249-RA		
OG0012333	ACEP_00008250-RA		
OG0012334	ACEP_00008229-RA		
OG0012335	ACEP_00008232-RA		
OG0012336	ACEP_00008234-RA		
OG0012337	ACEP_00008238-RA		
OG0012338	ACEP_00017731-RA		
OG0012339	ACEP_00008219-RA		
OG0012340	ACEP_00008217-RA		
OG0012341	ACEP_00017732-RA		
OG0012342	ACEP_00008207-RA		
OG0012343	ACEP_00008210-RA		
OG0012344	ACEP_00008202-RA		
OG0012345	ACEP_00008194-RA		
OG0012346	ACEP_00008191-RA		
OG0012347	ACEP_00008187-RA		
OG0012348	ACEP_00008185-RA		
OG0012349	ACEP_00008184-RA		
OG0012350	ACEP_00017733-RA		
OG0012351	ACEP_00008180-RA		
OG0012352	ACEP_00008182-RA		
OG0012353	ACEP_00008179-RA		
OG0012354	ACEP_00008178-RA		
OG0012355	ACEP_00008173-RA		
OG0012356	ACEP_00008176-RA		
OG0012357	ACEP_00017734-RA		
OG0012358	ACEP_00017735-RA		
OG0012359	ACEP_00008162-RA		
OG0012360	ACEP_00017736-RA		
OG0012361	ACEP_00008158-RA		
OG0012362	ACEP_00008154-RA		
OG0012363	ACEP_00008145-RA		
OG0012364	ACEP_00008147-RA		
OG0012365	ACEP_00008140-RA		
OG0012366	ACEP_00008153-RA		
OG0012367	ACEP_00008136-RA		
OG0012368	ACEP_00008138-RA		
OG0012369	ACEP_00008137-RA		
OG0012370	ACEP_00008131-RA		
OG0012371	ACEP_00008132-RA		
OG0012372	ACEP_00008133-RA		
OG0012373	ACEP_00008130-RA		
OG0012374	ACEP_00008135-RA		
OG0012375	ACEP_00008129-RA		
OG0012376	ACEP_00008121-RA		
OG0012377	ACEP_00008126-RA		
OG0012378	ACEP_00008127-RA		
OG0012379	ACEP_00017737-RA		
OG0012380	ACEP_00017738-RA		
OG0012381	ACEP_00008099-RA		
OG0012382	ACEP_00008096-RA		
OG0012383	ACEP_00008094-RA		
OG0012384	ACEP_00008095-RA		
OG0012385	ACEP_00008087-RA		
OG0012386	ACEP_00008084-RA		
OG0012387	ACEP_00008085-RA		
OG0012388	ACEP_00008082-RA		
OG0012389	ACEP_00008076-RA		
OG0012390	ACEP_00008077-RA		
OG0012391	ACEP_00008075-RA		
OG0012392	ACEP_00008078-RA		
OG0012393	ACEP_00008072-RA		
OG0012394	ACEP_00008074-RA		
OG0012395	ACEP_00008068-RA		
OG0012396	ACEP_00008066-RA		
OG0012397	ACEP_00017739-RA		
OG0012398	ACEP_00008063-RA		
OG0012399	ACEP_00008064-RA		
OG0012400	ACEP_00008058-RA		
OG0012401	ACEP_00008061-RA		
OG0012402	ACEP_00008056-RA		
OG0012403	ACEP_00018219-RA		
OG0012404	ACEP_00016290-RA		
OG0012405	ACEP_00016207-RA		
OG0012406	ACEP_00016208-RA		
OG0012407	ACEP_00016186-RA		
OG0012408	ACEP_00016185-RA		
OG0012409	ACEP_00016190-RA		
OG0012410	ACEP_00016517-RA		
OG0012411	ACEP_00016042-RA		
OG0012412	ACEP_00016039-RA		
OG0012413	ACEP_00016041-RA		
OG0012414	ACEP_00016037-RA		
OG0012415	ACEP_00016038-RA		
OG0012416	ACEP_00016030-RA		
OG0012417	ACEP_00016409-RA		
OG0012418	ACEP_00015587-RA		
OG0012419	ACEP_00015584-RA		
OG0012420	ACEP_00015579-RA		
OG0012421	ACEP_00015578-RA		
OG0012422	ACEP_00015575-RA		
OG0012423	ACEP_00015574-RA		
OG0012424	ACEP_00015569-RA		
OG0012425	ACEP_00015571-RA		
OG0012426	ACEP_00015572-RA		
OG0012427	ACEP_00018204-RA		
OG0012428	ACEP_00016877-RA		
OG0012429	ACEP_00018215-RA		
OG0012430	ACEP_00016838-RA		
OG0012431	ACEP_00018201-RA		
OG0012432	ACEP_00015950-RA		
OG0012433	ACEP_00015947-RA		
OG0012434	ACEP_00015954-RA		
OG0012435	ACEP_00015938-RA		
OG0012436	ACEP_00016454-RA		
OG0012437	ACEP_00014099-RA		
OG0012438	ACEP_00014098-RA		
OG0012439	ACEP_00014097-RA		
OG0012440	ACEP_00014093-RA		
OG0012441	ACEP_00018111-RA		
OG0012442	ACEP_00014087-RA		
OG0012443	ACEP_00014088-RA		
OG0012444	ACEP_00014083-RA		
OG0012445	ACEP_00014079-RA		
OG0012446	ACEP_00014078-RA		
OG0012447	ACEP_00014077-RA		
OG0012448	ACEP_00014067-RA		
OG0012449	ACEP_00014065-RA		
OG0012450	ACEP_00018114-RA		
OG0012451	ACEP_00014049-RA		
OG0012452	ACEP_00014047-RA		
OG0012453	ACEP_00014048-RA		
OG0012454	ACEP_00018115-RA		
OG0012455	ACEP_00018116-RA		
OG0012456	ACEP_00014039-RA		
OG0012457	ACEP_00015266-RA		
OG0012458	ACEP_00015252-RA		
OG0012459	ACEP_00015253-RA		
OG0012460	ACEP_00015256-RA		
OG0012461	ACEP_00018039-RA		
OG0012462	ACEP_00018040-RA		
OG0012463	ACEP_00015247-RA		
OG0012464	ACEP_00015241-RA		
OG0012465	ACEP_00015226-RA		
OG0012466	ACEP_00018041-RA		
OG0012467	ACEP_00015222-RA		
OG0012468	ACEP_00015215-RA		
OG0012469	ACEP_00015220-RA		
OG0012470	ACEP_00015200-RA		
OG0012471	ACEP_00015197-RA		
OG0012472	ACEP_00015209-RA		
OG0012473	ACEP_00015198-RA		
OG0012474	ACEP_00015196-RA		
OG0012475	ACEP_00015190-RA		
OG0012476	ACEP_00018042-RA		
OG0012477	ACEP_00015187-RA		
OG0012478	ACEP_00015184-RA		
OG0012479	ACEP_00016525-RA		
OG0012480	ACEP_00016449-RA		
OG0012481	ACEP_00016669-RA		
OG0012482	ACEP_00016508-RA		
OG0012483	ACEP_00009149-RA		
OG0012484	ACEP_00009152-RA		
OG0012485	ACEP_00009154-RA		
OG0012486	ACEP_00017346-RA		
OG0012487	ACEP_00009135-RA		
OG0012488	ACEP_00009130-RA		
OG0012489	ACEP_00009128-RA		
OG0012490	ACEP_00009145-RA		
OG0012491	ACEP_00009129-RA		
OG0012492	ACEP_00009125-RA		
OG0012493	ACEP_00017348-RA		
OG0012494	ACEP_00009106-RA		
OG0012495	ACEP_00009094-RA		
OG0012496	ACEP_00009101-RA		
OG0012497	ACEP_00009087-RA		
OG0012498	ACEP_00009086-RA		
OG0012499	ACEP_00009088-RA		
OG0012500	ACEP_00017350-RA		
OG0012501	ACEP_00009080-RA		
OG0012502	ACEP_00009077-RA		
OG0012503	ACEP_00009081-RA		
OG0012504	ACEP_00009084-RA		
OG0012505	ACEP_00009067-RA		
OG0012506	ACEP_00017351-RA		
OG0012507	ACEP_00009063-RA		
OG0012508	ACEP_00009062-RA		
OG0012509	ACEP_00009044-RA		
OG0012510	ACEP_00009050-RA		
OG0012511	ACEP_00009058-RA		
OG0012512	ACEP_00009059-RA		
OG0012513	ACEP_00017354-RA		
OG0012514	ACEP_00009042-RA		
OG0012515	ACEP_00017353-RA		
OG0012516	ACEP_00009036-RA		
OG0012517	ACEP_00009028-RA		
OG0012518	ACEP_00009027-RA		
OG0012519	ACEP_00009030-RA		
OG0012520	ACEP_00009021-RA		
OG0012521	ACEP_00009024-RA		
OG0012522	ACEP_00009023-RA		
OG0012523	ACEP_00017357-RA		
OG0012524	ACEP_00017359-RA		
OG0012525	ACEP_00017358-RA		
OG0012526	ACEP_00009010-RA		
OG0012527	ACEP_00009011-RA		
OG0012528	ACEP_00009013-RA		
OG0012529	ACEP_00009008-RA		
OG0012530	ACEP_00009006-RA		
OG0012531	ACEP_00009000-RA		
OG0012532	ACEP_00009012-RA		
OG0012533	ACEP_00009009-RA		
OG0012534	ACEP_00008999-RA		
OG0012535	ACEP_00008996-RA		
OG0012536	ACEP_00017361-RA		
OG0012537	ACEP_00017360-RA		
OG0012538	ACEP_00008979-RA		
OG0012539	ACEP_00008986-RA		
OG0012540	ACEP_00008977-RA		
OG0012541	ACEP_00008988-RA		
OG0012542	ACEP_00008975-RA		
OG0012543	ACEP_00008974-RA		
OG0012544	ACEP_00008971-RA		
OG0012545	ACEP_00008969-RA		
OG0012546	ACEP_00008972-RA		
OG0012547	ACEP_00008952-RA		
OG0012548	ACEP_00008953-RA		
OG0012549	ACEP_00008961-RA		
OG0012550	ACEP_00008943-RA		
OG0012551	ACEP_00008949-RA		
OG0012552	ACEP_00008948-RA		
OG0012553	ACEP_00017362-RA		
OG0012554	ACEP_00017363-RA		
OG0012555	ACEP_00008933-RA		
OG0012556	ACEP_00008908-RA		
OG0012557	ACEP_00008901-RA		
OG0012558	ACEP_00008904-RA		
OG0012559	ACEP_00008906-RA		
OG0012560	ACEP_00008895-RA		
OG0012561	ACEP_00008896-RA		
OG0012562	ACEP_00017365-RA		
OG0012563	ACEP_00008889-RA		
OG0012564	ACEP_00008890-RA		
OG0012565	ACEP_00008875-RA		
OG0012566	ACEP_00017366-RA		
OG0012567	ACEP_00008860-RA		
OG0012568	ACEP_00008850-RA		
OG0012569	ACEP_00017368-RA		
OG0012570	ACEP_00008854-RA		
OG0012571	ACEP_00008846-RA		
OG0012572	ACEP_00008848-RA		
OG0012573	ACEP_00008844-RA		
OG0012574	ACEP_00008845-RA		
OG0012575	ACEP_00008849-RA		
OG0012576	ACEP_00008847-RA		
OG0012577	ACEP_00008841-RA		
OG0012578	ACEP_00008843-RA		
OG0012579	ACEP_00017376-RA		
OG0012580	ACEP_00008831-RA		
OG0012581	ACEP_00008832-RA		
OG0012582	ACEP_00008827-RA		
OG0012583	ACEP_00008821-RA		
OG0012584	ACEP_00008806-RA		
OG0012585	ACEP_00008804-RA		
OG0012586	ACEP_00008810-RA		
OG0012587	ACEP_00008802-RA		
OG0012588	ACEP_00017378-RA		
OG0012589	ACEP_00016578-RA		
OG0012590	ACEP_00014216-RA		
OG0012591	ACEP_00014217-RA		
OG0012592	ACEP_00014213-RA		
OG0012593	ACEP_00014208-RA		
OG0012594	ACEP_00014193-RA		
OG0012595	ACEP_00014188-RA		
OG0012596	ACEP_00014183-RA		
OG0012597	ACEP_00014181-RA		
OG0012598	ACEP_00018141-RA		
OG0012599	ACEP_00014173-RA		
OG0012600	ACEP_00014168-RA		
OG0012601	ACEP_00014169-RA		
OG0012602	ACEP_00014165-RA		
OG0012603	ACEP_00014162-RA		
OG0012604	ACEP_00016846-RA		
OG0012605	ACEP_00010404-RA		
OG0012606	ACEP_00010400-RA		
OG0012607	ACEP_00010399-RA		
OG0012608	ACEP_00010397-RA		
OG0012609	ACEP_00010395-RA		
OG0012610	ACEP_00010388-RA		
OG0012611	ACEP_00010377-RA		
OG0012612	ACEP_00010374-RA		
OG0012613	ACEP_00017873-RA		
OG0012614	ACEP_00010372-RA		
OG0012615	ACEP_00010364-RA		
