Orthogroup	acep_annotation	lhum_annotation	pbar_annotation
OG0000013	ACEP_00003519-RA, ACEP_00005028-RA, ACEP_00005882-RA, ACEP_00005884-RA, ACEP_00013392-RA	LHUM_10721-RA	PBAR_10118-RA, PBAR_10615-RA, PBAR_10939-RA, PBAR_11038-RA, PBAR_11298-RA, PBAR_11307-RA, PBAR_11363-RA, PBAR_11365-RA, PBAR_11591-RA, PBAR_11602-RA, PBAR_14343-RA, PBAR_14568-RA, PBAR_14813-RA, PBAR_14814-RA, PBAR_14822-RA, PBAR_14950-RA, PBAR_15153-RA, PBAR_17804-RA, PBAR_18202-RA, PBAR_18204-RA, PBAR_18652-RA, PBAR_21986-RA, PBAR_25124-RA
OG0000014	ACEP_00004293-RA, ACEP_00004297-RA, ACEP_00016463-RA, ACEP_00017295-RA, ACEP_00017904-RA, ACEP_00018178-RA		PBAR_10063-RA, PBAR_10491-RA, PBAR_10493-RA, PBAR_10536-RA, PBAR_10540-RA, PBAR_10596-RA, PBAR_11585-RA, PBAR_13105-RA, PBAR_14201-RA, PBAR_14385-RA, PBAR_14386-RA, PBAR_16261-RA, PBAR_18062-RA, PBAR_18063-RA, PBAR_18066-RA, PBAR_19479-RA, PBAR_19481-RA, PBAR_20107-RA, PBAR_20378-RA, PBAR_20379-RA, PBAR_22464-RA, PBAR_23391-RA
OG0000015	ACEP_00000585-RA, ACEP_00000592-RA, ACEP_00003337-RA, ACEP_00004355-RA, ACEP_00004912-RA, ACEP_00005351-RA, ACEP_00006043-RA, ACEP_00007913-RA, ACEP_00007915-RA, ACEP_00011212-RA, ACEP_00011420-RA, ACEP_00013383-RA	LHUM_11436-RA, LHUM_15377-RA, LHUM_16527-RA, LHUM_17201-RA, LHUM_18089-RA, LHUM_18098-RA, LHUM_21322-RA, LHUM_21811-RA, LHUM_22588-RA, LHUM_22827-RA, LHUM_22967-RA, LHUM_22970-RA, LHUM_22971-RA, LHUM_22972-RA, LHUM_22973-RA, LHUM_24864-RA	
OG0000016	ACEP_00005480-RA, ACEP_00011442-RA, ACEP_00011445-RA, ACEP_00011449-RA, ACEP_00011453-RA, ACEP_00011455-RA, ACEP_00011456-RA, ACEP_00011728-RA, ACEP_00011733-RA, ACEP_00011734-RA, ACEP_00011755-RA, ACEP_00011793-RA, ACEP_00011794-RA, ACEP_00011799-RA, ACEP_00011800-RA, ACEP_00011801-RA, ACEP_00011810-RA, ACEP_00011811-RA, ACEP_00011814-RA, ACEP_00012013-RA, ACEP_00014133-RA, ACEP_00014134-RA, ACEP_00014137-RA, ACEP_00014138-RA, ACEP_00014139-RA, ACEP_00014140-RA, ACEP_00016377-RA, ACEP_00017855-RA		
OG0000017	ACEP_00001102-RA, ACEP_00003079-RA, ACEP_00003080-RA, ACEP_00003080-RB, ACEP_00004448-RA, ACEP_00004449-RA, ACEP_00004450-RA, ACEP_00004499-RA, ACEP_00007753-RA, ACEP_00007754-RA, ACEP_00007755-RA, ACEP_00007768-RA, ACEP_00007769-RA, ACEP_00007774-RA, ACEP_00007857-RA, ACEP_00008120-RA, ACEP_00010760-RA, ACEP_00010761-RA, ACEP_00010762-RA, ACEP_00010763-RA, ACEP_00010789-RA, ACEP_00012481-RA, ACEP_00017271-RA, ACEP_00017276-RA	LHUM_15216-RA	PBAR_10080-RA, PBAR_10081-RA, PBAR_10600-RA
OG0000018		LHUM_10169-RA, LHUM_11733-RA, LHUM_23654-RA	PBAR_10426-RA, PBAR_10458-RA, PBAR_10541-RA, PBAR_11301-RA, PBAR_11302-RA, PBAR_11364-RA, PBAR_11486-RA, PBAR_12034-RA, PBAR_14570-RA, PBAR_14723-RA, PBAR_15055-RA, PBAR_15057-RA, PBAR_15151-RA, PBAR_18791-RA, PBAR_19920-RA, PBAR_19921-RA, PBAR_22031-RA, PBAR_22352-RA, PBAR_22777-RA, PBAR_23055-RA, PBAR_23629-RA, PBAR_23630-RA, PBAR_23634-RA, PBAR_24729-RA, PBAR_24928-RA
OG0000019	ACEP_00002730-RA, ACEP_00010748-RA, ACEP_00014796-RA, ACEP_00018129-RA	LHUM_23241-RA	PBAR_10150-RA, PBAR_10547-RA, PBAR_11160-RA, PBAR_13410-RA, PBAR_13411-RA, PBAR_13412-RA, PBAR_13413-RA, PBAR_13414-RA, PBAR_15365-RA, PBAR_15368-RA, PBAR_15369-RA, PBAR_15371-RA, PBAR_15372-RA, PBAR_15373-RA, PBAR_18574-RA, PBAR_18595-RA, PBAR_20487-RA, PBAR_23061-RA, PBAR_23595-RA, PBAR_23596-RA, PBAR_26417-RA, PBAR_26535-RA
OG0000020			PBAR_10538-RA, PBAR_12546-RA, PBAR_13091-RA, PBAR_13092-RA, PBAR_13158-RA, PBAR_13169-RA, PBAR_14548-RA, PBAR_15086-RA, PBAR_21059-RA, PBAR_23109-RA, PBAR_23111-RA, PBAR_23113-RA, PBAR_23115-RA, PBAR_23122-RA, PBAR_23123-RA, PBAR_24643-RA, PBAR_25106-RA, PBAR_25684-RA, PBAR_26088-RA, PBAR_26089-RA, PBAR_27000-RA, PBAR_27001-RA, PBAR_27002-RA, PBAR_27003-RA, PBAR_27004-RA, PBAR_27005-RA, PBAR_27006-RA
OG0000021	ACEP_00001863-RA, ACEP_00001864-RA, ACEP_00002022-RA, ACEP_00002023-RA, ACEP_00002493-RA	LHUM_13481-RA, LHUM_13483-RA, LHUM_13484-RA, LHUM_14899-RA, LHUM_14900-RA, LHUM_15385-RA, LHUM_15387-RA, LHUM_15683-RA, LHUM_15684-RA, LHUM_17269-RA, LHUM_17270-RA, LHUM_17459-RA, LHUM_19960-RA, LHUM_21433-RA, LHUM_24684-RA, LHUM_24991-RA	PBAR_14321-RA, PBAR_16983-RA, PBAR_17995-RA, PBAR_25918-RA, PBAR_25919-RA
OG0000022	ACEP_00002259-RA, ACEP_00004135-RA, ACEP_00010320-RA, ACEP_00010322-RA, ACEP_00015834-RA, ACEP_00015835-RA, ACEP_00017875-RA, ACEP_00018172-RA	LHUM_10827-RA, LHUM_18177-RA, LHUM_20597-RA, LHUM_20606-RA, LHUM_20607-RA, LHUM_20612-RA, LHUM_20614-RA, LHUM_23507-RA, LHUM_25883-RA, LHUM_25885-RA	PBAR_10304-RA, PBAR_19745-RA, PBAR_21816-RA, PBAR_21817-RA, PBAR_21834-RA, PBAR_26159-RA, PBAR_26160-RA, PBAR_26161-RA
OG0000023	ACEP_00003721-RA	LHUM_10080-RA, LHUM_10114-RA, LHUM_10345-RA, LHUM_10443-RA, LHUM_10511-RA, LHUM_10512-RA, LHUM_10559-RA, LHUM_10560-RA, LHUM_10830-RA, LHUM_12473-RA, LHUM_13383-RA, LHUM_13874-RA, LHUM_14403-RA, LHUM_14404-RA, LHUM_14679-RA, LHUM_15619-RA, LHUM_22538-RA, LHUM_22764-RA, LHUM_23888-RA, LHUM_25265-RA, LHUM_25299-RA, LHUM_25441-RA, LHUM_25475-RA, LHUM_26016-RA	PBAR_18719-RA
OG0000024	ACEP_00000478-RA, ACEP_00002381-RA, ACEP_00002382-RA, ACEP_00002550-RA, ACEP_00004333-RA, ACEP_00004336-RA, ACEP_00004337-RA, ACEP_00004339-RA, ACEP_00004340-RA, ACEP_00014771-RA, ACEP_00017286-RA	LHUM_14564-RA, LHUM_17303-RA, LHUM_17304-RA, LHUM_22816-RA, LHUM_22817-RA, LHUM_22820-RA, LHUM_22821-RA, LHUM_22822-RA, LHUM_22823-RA, LHUM_25577-RA, LHUM_25997-RA	PBAR_18065-RA, PBAR_19339-RA
OG0000025	ACEP_00001487-RA, ACEP_00004839-RA, ACEP_00009610-RA, ACEP_00009611-RA	LHUM_10491-RA, LHUM_10501-RA, LHUM_10599-RA, LHUM_14938-RA, LHUM_15181-RA, LHUM_15663-RA, LHUM_15781-RA, LHUM_15782-RA, LHUM_17652-RA, LHUM_18358-RA, LHUM_18359-RA, LHUM_19095-RA, LHUM_19302-RA, LHUM_19303-RA, LHUM_25219-RA	PBAR_11210-RA, PBAR_16089-RA, PBAR_16489-RA, PBAR_16490-RA, PBAR_16491-RA
OG0000026	ACEP_00002711-RA, ACEP_00002713-RA, ACEP_00002715-RA, ACEP_00002717-RA, ACEP_00015654-RA, ACEP_00015655-RA, ACEP_00015656-RA, ACEP_00015657-RA, ACEP_00015658-RA, ACEP_00015659-RA, ACEP_00015660-RA, ACEP_00015661-RA, ACEP_00015662-RA, ACEP_00015663-RA, ACEP_00015664-RA, ACEP_00015665-RA, ACEP_00015666-RA, ACEP_00015667-RA, ACEP_00015668-RA, ACEP_00017188-RA, ACEP_00017189-RA, ACEP_00017190-RA		PBAR_14299-RA, PBAR_14301-RA
OG0000027		LHUM_13656-RA, LHUM_17512-RA	PBAR_10096-RA, PBAR_10121-RA, PBAR_10151-RA, PBAR_10164-RA, PBAR_10165-RA, PBAR_10210-RA, PBAR_10232-RA, PBAR_10233-RA, PBAR_10268-RA, PBAR_11389-RA, PBAR_11390-RA, PBAR_11391-RA, PBAR_11392-RA, PBAR_12530-RA, PBAR_12531-RA, PBAR_16912-RA, PBAR_26202-RA, PBAR_26572-RA, PBAR_26573-RA, PBAR_26615-RA, PBAR_26616-RA, PBAR_26617-RA
OG0000028	ACEP_00005915-RA, ACEP_00008106-RA, ACEP_00009725-RA	LHUM_10040-RA, LHUM_10741-RA, LHUM_13235-RA, LHUM_13320-RA, LHUM_14430-RA, LHUM_15095-RA, LHUM_15602-RA, LHUM_15604-RA, LHUM_15605-RA, LHUM_20985-RA, LHUM_22974-RA, LHUM_22976-RA, LHUM_23188-RA, LHUM_23742-RA, LHUM_25190-RA, LHUM_25256-RA	PBAR_11430-RA, PBAR_15495-RA, PBAR_20452-RA, PBAR_20453-RA
OG0000029	ACEP_00015406-RA, ACEP_00015407-RA	LHUM_10007-RA, LHUM_10072-RA, LHUM_10275-RA, LHUM_10368-RA, LHUM_10373-RA, LHUM_10374-RA, LHUM_10375-RA, LHUM_10639-RA, LHUM_10640-RA, LHUM_10860-RA, LHUM_10861-RA, LHUM_10862-RA, LHUM_12262-RA, LHUM_13179-RA, LHUM_13310-RA, LHUM_13311-RA, LHUM_25438-RA, LHUM_25439-RA, LHUM_25440-RA	PBAR_25650-RA, PBAR_25650-RB
OG0000030	ACEP_00011589-RA, ACEP_00011819-RA, ACEP_00014567-RA	LHUM_10457-RA, LHUM_11893-RA	PBAR_10001-RA, PBAR_10395-RA, PBAR_10418-RA, PBAR_10419-RA, PBAR_10456-RA, PBAR_10556-RA, PBAR_10611-RA, PBAR_13847-RA, PBAR_13849-RA, PBAR_15812-RA, PBAR_15813-RA, PBAR_15814-RA, PBAR_17190-RA, PBAR_17194-RA, PBAR_17838-RA, PBAR_17839-RA, PBAR_17845-RA, PBAR_27091-RA
OG0000031	ACEP_00001157-RA, ACEP_00001158-RA, ACEP_00007362-RA, ACEP_00008393-RA, ACEP_00008394-RA, ACEP_00014038-RA, ACEP_00014977-RA, ACEP_00014980-RA	LHUM_14542-RA, LHUM_15985-RA, LHUM_22512-RA, LHUM_22979-RA, LHUM_24672-RA, LHUM_24723-RA	PBAR_16444-RA, PBAR_21981-RA, PBAR_22676-RA, PBAR_22688-RA, PBAR_23488-RA, PBAR_23489-RA, PBAR_24448-RA, augustus-pbar_scf7180000350332-abinit-gene-2.90-mRNA-1
OG0000032	ACEP_00000363-RA, ACEP_00013147-RA, ACEP_00013148-RA, ACEP_00013149-RA, ACEP_00015194-RA, ACEP_00015207-RA, ACEP_00016988-RA, ACEP_00016989-RA, ACEP_00017955-RA	LHUM_10529-RA, LHUM_10903-RA, LHUM_15412-RA, LHUM_15414-RA, LHUM_15681-RA, LHUM_16691-RA, LHUM_16692-RA, LHUM_24088-RA	PBAR_12750-RA, PBAR_14735-RA, PBAR_20791-RA, PBAR_22438-RA, PBAR_22578-RA
OG0000033	ACEP_00011572-RA, ACEP_00014894-RA	LHUM_10063-RA, LHUM_10143-RA, LHUM_10536-RA, LHUM_10537-RA, LHUM_10653-RA, LHUM_11509-RA, LHUM_11578-RA, LHUM_12279-RA, LHUM_12280-RA, LHUM_12281-RA, LHUM_12283-RA, LHUM_13233-RA, LHUM_14431-RA, LHUM_15085-RA, LHUM_15086-RA, LHUM_15893-RA, LHUM_23650-RA, LHUM_24584-RA	PBAR_17796-RB, PBAR_17801-RA
OG0000034	ACEP_00013554-RA, ACEP_00016786-RA		PBAR_10084-RA, PBAR_10116-RA, PBAR_10301-RA, PBAR_10313-RA, PBAR_10416-RA, PBAR_10432-RA, PBAR_10439-RA, PBAR_10555-RA, PBAR_10558-RA, PBAR_10582-RA, PBAR_10623-RA, PBAR_10719-RA, PBAR_11174-RA, PBAR_13570-RA, PBAR_15093-RA, PBAR_15197-RA, PBAR_17133-RA, PBAR_17935-RA, PBAR_21972-RA, PBAR_ar_CG32645-like-1
OG0000035	ACEP_00012571-RA, ACEP_00012573-RA, ACEP_00012575-RA, ACEP_00012576-RA, ACEP_00012577-RA, ACEP_00012578-RA, ACEP_00016515-RA, ACEP_00017792-RA, ACEP_00017793-RA, ACEP_00017794-RA, ACEP_00017795-RA	LHUM_18458-RA, LHUM_18459-RA, LHUM_18464-RA, LHUM_25728-RA, LHUM_25730-RA	PBAR_16372-RA, PBAR_16373-RA, PBAR_16374-RA, PBAR_16375-RA, PBAR_16376-RA, PBAR_26592-RA
OG0000036		LHUM_10840-RA, LHUM_10841-RA, LHUM_11816-RA, LHUM_11825-RA, LHUM_13289-RA, LHUM_13323-RA, LHUM_13466-RA, LHUM_13473-RA, LHUM_13474-RA, LHUM_14562-RA, LHUM_14925-RA, LHUM_19802-RA, LHUM_24884-RA, LHUM_24885-RA, LHUM_um_CG9747_i-RA, LHUM_um_CG9747_j-RA, LHUM_um_CG9747_k-RA, LHUM_um_CG9747_m-RA, LHUM_um_CG9747_n-RA, LHUM_um_CG9747_o-RB, LHUM_um_desat_frag6-RA	PBAR_ar_desat_frag1-1
OG0000037	ACEP_00004597-RA, ACEP_00009266-RA, ACEP_00009267-RA, ACEP_00009275-RA, ACEP_00009354-RA, ACEP_00013962-RA, ACEP_00013966-RA, ACEP_00013968-RA, ACEP_00013969-RA, ACEP_00013970-RA	LHUM_10353-RA, LHUM_11288-RA	PBAR_10328-RA, PBAR_10825-RA, PBAR_10826-RA, PBAR_10830-RA, PBAR_10831-RA, PBAR_12884-RA, PBAR_17473-RA, PBAR_24933-RA, PBAR_ar_CG8306-RA
OG0000038	ACEP_00000642-RA, ACEP_00001993-RA, ACEP_00005121-RA, ACEP_00005122-RA, ACEP_00005123-RA, ACEP_00009900-RA, ACEP_00011218-RA, ACEP_00013958-RA, ACEP_00015492-RA, ACEP_00015493-RA, ACEP_00015494-RA, ACEP_00015495-RA, ACEP_00015496-RA, ACEP_00015498-RA, ACEP_00016538-RA, ACEP_00016855-RA, ACEP_00016856-RA, ACEP_00016857-RA, ACEP_00018011-RA	LHUM_23078-RA	PBAR_26388-RA
