Orthogroup	pbar_annotation	acep_annotation
OG0000014	PBAR_10063-RA	ACEP_00017904-RA, ACEP_00018178-RA
OG0000014	PBAR_22464-RA, PBAR_20379-RA, PBAR_16261-RA, PBAR_20107-RA, PBAR_18066-RA, PBAR_10536-RA, PBAR_10596-RA, PBAR_10540-RA, PBAR_18062-RA, PBAR_20378-RA, PBAR_14201-RA	ACEP_00017295-RA
OG0000014	PBAR_13105-RA	ACEP_00004293-RA
OG0000014	PBAR_18063-RA	ACEP_00004297-RA
OG0000017	PBAR_10081-RA	ACEP_00007768-RA
OG0000017	PBAR_10600-RA	ACEP_00012481-RA, ACEP_00003080-RB, ACEP_00007753-RA, ACEP_00007774-RA, ACEP_00003080-RA, ACEP_00010760-RA, ACEP_00010763-RA, ACEP_00010761-RA, ACEP_00007754-RA, ACEP_00001102-RA, ACEP_00008120-RA, ACEP_00007755-RA, ACEP_00003079-RA, ACEP_00007769-RA
OG0000017	PBAR_10080-RA	ACEP_00004448-RA, ACEP_00017271-RA, ACEP_00004449-RA, ACEP_00004499-RA, ACEP_00017276-RA, ACEP_00004450-RA, ACEP_00007857-RA, ACEP_00010762-RA
OG0000019	PBAR_11160-RA	ACEP_00002730-RA
OG0000019	PBAR_15368-RA, PBAR_15372-RA, PBAR_26535-RA, PBAR_18595-RA, PBAR_15371-RA, PBAR_15365-RA, PBAR_23061-RA, PBAR_15369-RA, PBAR_18574-RA, PBAR_13414-RA, PBAR_13412-RA	ACEP_00018129-RA
OG0000019	PBAR_23596-RA, PBAR_23595-RA, PBAR_26417-RA, PBAR_13413-RA, PBAR_13411-RA, PBAR_13410-RA	ACEP_00014796-RA
OG0000021	PBAR_25919-RA	ACEP_00001863-RA
OG0000021	PBAR_25918-RA	ACEP_00002023-RA
OG0000021	PBAR_16983-RA	ACEP_00002493-RA
OG0000021	PBAR_14321-RA	ACEP_00002022-RA, ACEP_00001864-RA
OG0000022	PBAR_19745-RA	ACEP_00004135-RA
OG0000022	PBAR_21816-RA, PBAR_21834-RA	ACEP_00010320-RA
OG0000022	PBAR_26159-RA, PBAR_10304-RA, PBAR_26160-RA	ACEP_00018172-RA, ACEP_00017875-RA
OG0000022	PBAR_26161-RA	ACEP_00015834-RA, ACEP_00015835-RA
OG0000022	PBAR_21817-RA	ACEP_00010322-RA
OG0000023	PBAR_18719-RA	ACEP_00003721-RA
OG0000024	PBAR_18065-RA	ACEP_00002550-RA
OG0000024	PBAR_19339-RA	ACEP_00002381-RA, ACEP_00002382-RA
OG0000025	PBAR_16491-RA	ACEP_00001487-RA
OG0000025	PBAR_16489-RA, PBAR_11210-RA, PBAR_16490-RA, PBAR_16089-RA	ACEP_00009610-RA
OG0000026	PBAR_14299-RA	ACEP_00002717-RA
OG0000026	PBAR_14301-RA	ACEP_00017189-RA, ACEP_00017190-RA, ACEP_00002713-RA, ACEP_00015668-RA, ACEP_00015654-RA, ACEP_00015666-RA, ACEP_00015665-RA, ACEP_00015655-RA, ACEP_00002711-RA, ACEP_00015662-RA, ACEP_00015664-RA, ACEP_00015667-RA, ACEP_00015663-RA, ACEP_00015661-RA, ACEP_00015660-RA, ACEP_00015659-RA, ACEP_00015658-RA, ACEP_00015656-RA, ACEP_00015657-RA, ACEP_00017188-RA, ACEP_00002715-RA
OG0000028	PBAR_20453-RA	ACEP_00005915-RA
OG0000028	PBAR_11430-RA, PBAR_15495-RA	ACEP_00009725-RA
OG0000028	PBAR_20452-RA	ACEP_00008106-RA
OG0000029	PBAR_25650-RB, PBAR_25650-RA	ACEP_00015406-RA
OG0000030	PBAR_17845-RA, PBAR_13849-RA, PBAR_17194-RA	ACEP_00014567-RA
OG0000030	PBAR_10395-RA, PBAR_13847-RA, PBAR_15813-RA, PBAR_17838-RA, PBAR_10611-RA, PBAR_10001-RA, PBAR_10456-RA, PBAR_10418-RA, PBAR_17190-RA, PBAR_15812-RA, PBAR_10419-RA, PBAR_17839-RA, PBAR_10556-RA	ACEP_00011589-RA
OG0000030	PBAR_15814-RA, PBAR_27091-RA	ACEP_00011819-RA
OG0000031	PBAR_22688-RA	ACEP_00008394-RA
OG0000031	PBAR_24448-RA	ACEP_00007362-RA
OG0000031	augustus-pbar_scf7180000350332-abinit-gene-2.90-mRNA-1	ACEP_00014980-RA
OG0000031	PBAR_16444-RA	ACEP_00014038-RA
OG0000031	PBAR_22676-RA	ACEP_00008393-RA
OG0000031	PBAR_23489-RA, PBAR_23488-RA, PBAR_21981-RA	ACEP_00014977-RA, ACEP_00001158-RA, ACEP_00001157-RA
OG0000032	PBAR_14735-RA	ACEP_00013148-RA, ACEP_00013149-RA, ACEP_00013147-RA, ACEP_00015207-RA
OG0000032	PBAR_22438-RA	ACEP_00016988-RA, ACEP_00016989-RA, ACEP_00000363-RA
OG0000032	PBAR_20791-RA	ACEP_00017955-RA
OG0000032	PBAR_22578-RA	ACEP_00015194-RA
OG0000033	PBAR_17796-RB	ACEP_00011572-RA
OG0000034	PBAR_13570-RA, PBAR_21972-RA, PBAR_10084-RA, PBAR_10313-RA, PBAR_15197-RA, PBAR_10416-RA, PBAR_10558-RA, PBAR_11174-RA	ACEP_00013554-RA
OG0000034	PBAR_17935-RA, PBAR_10623-RA, PBAR_ar_CG32645-like-1, PBAR_10582-RA, PBAR_10116-RA, PBAR_17133-RA, PBAR_10301-RA, PBAR_10432-RA, PBAR_10719-RA, PBAR_10439-RA, PBAR_10555-RA, PBAR_15093-RA	ACEP_00016786-RA
OG0000035	PBAR_16373-RA	ACEP_00012575-RA, ACEP_00012577-RA, ACEP_00017793-RA
OG0000035	PBAR_16372-RA	ACEP_00017794-RA
OG0000035	PBAR_16376-RA, PBAR_16375-RA	ACEP_00012571-RA
OG0000035	PBAR_26592-RA	ACEP_00017795-RA, ACEP_00016515-RA
OG0000035	PBAR_16374-RA	ACEP_00017792-RA
OG0000037	PBAR_10825-RA	ACEP_00013966-RA
OG0000037	PBAR_24933-RA	ACEP_00009266-RA
OG0000037	PBAR_ar_CG8306-RA	ACEP_00009267-RA
OG0000037	PBAR_17473-RA	ACEP_00009275-RA
OG0000037	PBAR_12884-RA	ACEP_00004597-RA, ACEP_00009354-RA
OG0000037	PBAR_10830-RA	ACEP_00013962-RA, ACEP_00013968-RA
OG0000037	PBAR_10826-RA, PBAR_10831-RA	ACEP_00013969-RA
OG0000037	PBAR_10328-RA	ACEP_00013970-RA
OG0000038	PBAR_26388-RA	ACEP_00009900-RA, ACEP_00001993-RA, ACEP_00015496-RA, ACEP_00011218-RA, ACEP_00015498-RA, ACEP_00015493-RA, ACEP_00015494-RA, ACEP_00015495-RA, ACEP_00000642-RA, ACEP_00016538-RA, ACEP_00005121-RA, ACEP_00016855-RA, ACEP_00018011-RA, ACEP_00016857-RA, ACEP_00016856-RA, ACEP_00005122-RA, ACEP_00005123-RA, ACEP_00013958-RA, ACEP_00015492-RA
OG0000039	PBAR_15785-RA	ACEP_00015337-RA, ACEP_00008124-RA, ACEP_00015336-RA
OG0000039	PBAR_25135-RA, PBAR_25133-RA	ACEP_00010233-RA
OG0000039	PBAR_25136-RA	ACEP_00010236-RA, ACEP_00010237-RA
OG0000039	PBAR_19088-RA	ACEP_00002484-RA
OG0000039	PBAR_19078-RA	ACEP_00002461-RA
OG0000040	PBAR_10883-RA	ACEP_00004980-RA, ACEP_00010442-RA, ACEP_00000900-RA, ACEP_00011861-RA
OG0000041	PBAR_22268-RA	ACEP_00012909-RA
OG0000041	PBAR_17690-RA	ACEP_00000919-RA, ACEP_00000899-RA, ACEP_00005895-RA, ACEP_00015619-RA, ACEP_00008490-RA, ACEP_00001156-RA, ACEP_00010438-RA, ACEP_00012190-RA, ACEP_00014737-RA, ACEP_00012229-RA, ACEP_00014610-RA, ACEP_00014268-RA
OG0000041	PBAR_10446-RA	ACEP_00011558-RA
OG0000044	PBAR_26199-RA	ACEP_00011839-RA
OG0000044	PBAR_22802-RA	ACEP_00006037-RA
OG0000045	PBAR_11603-RA, PBAR_11603-RB	ACEP_00003507-RA
OG0000047	PBAR_12857-RA	ACEP_00015568-RA
OG0000048	PBAR_11403-RA, PBAR_10523-RA, PBAR_11358-RA, PBAR_10500-RA, PBAR_11402-RA, PBAR_11724-RA, PBAR_11034-RA, PBAR_11401-RA, PBAR_14509-RA, PBAR_22325-RA	ACEP_00013355-RA
OG0000051	PBAR_14420-RA	ACEP_00011508-RA, ACEP_00011136-RA, ACEP_00001316-RA, ACEP_00001315-RA, ACEP_00001314-RA, ACEP_00011142-RA, ACEP_00001306-RA, ACEP_00011140-RA, ACEP_00011139-RA, ACEP_00001310-RA, ACEP_00011138-RA, ACEP_00011141-RA, ACEP_00001307-RA, ACEP_00001311-RA, ACEP_00001309-RA
OG0000052	PBAR_17210-RA	ACEP_00004420-RA
OG0000052	PBAR_19407-RA	ACEP_00002294-RA
OG0000052	PBAR_25917-RA	ACEP_00003359-RA
OG0000052	PBAR_19406-RA	ACEP_00002295-RA
OG0000052	PBAR_19410-RA, PBAR_19409-RA	ACEP_00002297-RA
OG0000053	PBAR_18249-RA	ACEP_00014151-RA, ACEP_00014152-RA
OG0000054	PBAR_25191-RA	ACEP_00011265-RA
OG0000054	PBAR_17557-RA	ACEP_00014842-RA
OG0000055	PBAR_18852-RA	ACEP_00003796-RA
OG0000055	PBAR_25255-RA	ACEP_00000666-RA
OG0000055	PBAR_12189-RA	ACEP_00009787-RA
OG0000055	PBAR_24189-RA	ACEP_00017915-RA
OG0000057	PBAR_24929-RA, PBAR_11807-RA, PBAR_19813-RA, PBAR_20045-RA	ACEP_00009255-RA
OG0000058	PBAR_ar_CG32104-like-1, PBAR_14262-RA, PBAR_10028-RA, PBAR_10021-RA, PBAR_13571-RA, PBAR_10422-RA, PBAR_10213-RA, PBAR_14261-RA, PBAR_26222-RA, PBAR_10612-RA, PBAR_14263-RA, PBAR_21705-RA, PBAR_10029-RA, PBAR_23802-RA, PBAR_21704-RA, PBAR_14264-RA, PBAR_14260-RA	ACEP_00012285-RA
OG0000061	PBAR_15338-RA	ACEP_00011632-RA, ACEP_00009600-RA, ACEP_00014747-RA, ACEP_00012224-RA, ACEP_00005787-RA, ACEP_00011633-RA, ACEP_00009602-RA, ACEP_00014888-RA, ACEP_00004974-RA, ACEP_00001090-RA, ACEP_00004868-RA, ACEP_00004869-RA, ACEP_00014745-RA, ACEP_00012223-RA, ACEP_00009601-RA, ACEP_00008108-RA, ACEP_00003671-RA
OG0000062	PBAR_13330-RA	ACEP_00013246-RA
OG0000062	PBAR_16617-RA	ACEP_00000449-RA
OG0000062	PBAR_15578-RA	ACEP_00004082-RA
OG0000062	PBAR_ar_HSP70-1	ACEP_00004092-RA
OG0000062	PBAR_26410-RA	ACEP_00008944-RA
OG0000063	PBAR_14228-RA, PBAR_14229-RA, PBAR_24733-RA, PBAR_14225-RA, PBAR_24057-RA, PBAR_12674-RA, PBAR_11482-RA, PBAR_15328-RA, PBAR_14818-RA, PBAR_18665-RA, PBAR_11313-RA, PBAR_19150-RA, PBAR_12673-RA, PBAR_11315-RA, PBAR_14227-RA, PBAR_13883-RA, PBAR_10479-RA	ACEP_00001025-RA
OG0000064	PBAR_11835-RA	ACEP_00007791-RA
OG0000064	PBAR_ar_SerT-1	ACEP_00013110-RA
OG0000064	PBAR_13264-RA	ACEP_00008692-RA
OG0000064	PBAR_14550-RA	ACEP_00003561-RA
OG0000064	PBAR_11906-RA	ACEP_00013513-RA
OG0000064	PBAR_14684-RA	ACEP_00010593-RA
OG0000065	PBAR_26928-RA	ACEP_00001056-RA, ACEP_00001059-RA
OG0000065	PBAR_26929-RA, PBAR_26927-RA	ACEP_00001049-RA
OG0000065	PBAR_26926-RA	ACEP_00001051-RA
OG0000066	PBAR_13709-RA	ACEP_00009402-RA
OG0000066	PBAR_11314-RA, PBAR_10480-RA, PBAR_11306-RA, PBAR_19223-RA	ACEP_00010463-RA
OG0000066	PBAR_14236-RA, PBAR_18205-RA, PBAR_18371-RA, PBAR_17086-RA, PBAR_15126-RA	ACEP_00005956-RA
OG0000067	PBAR_21569-RA, PBAR_10242-RA	ACEP_00001292-RA
OG0000069	PBAR_14300-RA	ACEP_00017186-RA
OG0000069	PBAR_14763-RA, PBAR_26458-RA, PBAR_10534-RA	ACEP_00002716-RA
OG0000070	PBAR_10440-RA	ACEP_00010201-RA, ACEP_00017759-RA, ACEP_00017758-RA, ACEP_00017760-RA, ACEP_00017763-RA, ACEP_00010198-RA, ACEP_00010190-RB, ACEP_00010190-RA, ACEP_00010191-RA, ACEP_00010193-RA, ACEP_00010195-RA, ACEP_00010197-RA, ACEP_00010196-RA, ACEP_00017762-RA, ACEP_00010192-RA, ACEP_00010194-RA
OG0000071	PBAR_26648-RA, PBAR_17433-RA, PBAR_14273-RA, PBAR_17396-RA, PBAR_18999-RA, PBAR_17389-RA, PBAR_23377-RA, PBAR_14274-RA, PBAR_26812-RA, PBAR_20343-RA, PBAR_11900-RA, PBAR_10527-RA, PBAR_10618-RA, PBAR_17431-RA, PBAR_17432-RA	ACEP_00010659-RA
OG0000075	PBAR_20950-RA	ACEP_00002851-RA
OG0000075	PBAR_26849-RA	ACEP_00012797-RA
OG0000075	PBAR_21279-RA	ACEP_00016287-RA
OG0000075	PBAR_21504-RA	ACEP_00015550-RA
OG0000076	PBAR_18618-RA, PBAR_18623-RA	ACEP_00005232-RA
OG0000076	PBAR_11509-RA	ACEP_00008517-RA
OG0000076	PBAR_11385-RA	ACEP_00013948-RA
OG0000076	PBAR_11506-RA	ACEP_00008516-RA
OG0000076	PBAR_16421-RA	ACEP_00012612-RA
OG0000077	PBAR_14823-RA	ACEP_00011040-RA, ACEP_00009167-RA, ACEP_00013360-RA, ACEP_00011576-RA, ACEP_00013370-RA, ACEP_00018032-RA, ACEP_00013709-RA, ACEP_00009188-RA, ACEP_00013710-RA, ACEP_00016295-RA, ACEP_00001691-RA, ACEP_00005846-RA, ACEP_00005021-RA, ACEP_00015567-RA, ACEP_00003596-RA
OG0000079	PBAR_19414-RA	ACEP_00002291-RA
OG0000079	PBAR_16077-RA	ACEP_00006947-RA, ACEP_00006945-RA
OG0000079	PBAR_21864-RA	ACEP_00014126-RA, ACEP_00006921-RA
OG0000079	PBAR_26548-RA	ACEP_00017989-RA
OG0000081	PBAR_ar_Ddc-1	ACEP_00014091-RA
OG0000081	PBAR_15942-RA	ACEP_00014076-RA
OG0000081	PBAR_17456-RA	ACEP_00013118-RA
OG0000081	PBAR_24364-RA	ACEP_00018112-RA, ACEP_00007446-RA, ACEP_00007447-RA
OG0000082	PBAR_18139-RA	ACEP_00003731-RA, ACEP_00003729-RA
OG0000082	PBAR_16064-RA, PBAR_21863-RA	ACEP_00012742-RA
OG0000082	PBAR_15655-RA	ACEP_00006941-RA
OG0000082	PBAR_15222-RA	ACEP_00006784-RA
OG0000083	PBAR_21553-RA	ACEP_00014640-RA
OG0000084	PBAR_17896-RA	ACEP_00007488-RA
OG0000084	PBAR_15161-RA	ACEP_00009190-RA
OG0000084	CG_02544486, PBAR_ar_for-1, CG_02544470, CG_02544464, CG_02544396	ACEP_00004210-RA
OG0000085	PBAR_13931-RA	ACEP_00017895-RA
OG0000085	PBAR_17256-RA	ACEP_00016389-RA
OG0000085	PBAR_26439-RA, PBAR_13933-RA	ACEP_00013632-RA
OG0000085	PBAR_13932-RA	ACEP_00013631-RA
OG0000086	PBAR_26142-RA	ACEP_00004263-RA
OG0000086	PBAR_22242-RA	ACEP_00004272-RA, ACEP_00002832-RA, ACEP_00016355-RA, ACEP_00004262-RA
OG0000087	PBAR_14377-RA, PBAR_12811-RA	ACEP_00009639-RA
OG0000088	PBAR_18870-RA, PBAR_25338-RA, PBAR_22809-RA, PBAR_25326-RA, PBAR_10324-RA, PBAR_19931-RA, PBAR_10323-RA, PBAR_22078-RA, PBAR_19005-RA, PBAR_19138-RA, PBAR_22808-RA, PBAR_19929-RA, PBAR_25329-RA, PBAR_21072-RA, PBAR_25327-RA	ACEP_00003818-RA
OG0000089	PBAR_25223-RA	ACEP_00010073-RA
OG0000093	PBAR_17802-RA	ACEP_00012239-RA, ACEP_00005883-RA
OG0000093	PBAR_14779-RA	ACEP_00012822-RA, ACEP_00001045-RA, ACEP_00012213-RA, ACEP_00010345-RA, ACEP_00003744-RA, ACEP_00004956-RA, ACEP_00013390-RA, ACEP_00002341-RA, ACEP_00005637-RA, ACEP_00005885-RA, ACEP_00001857-RA
OG0000094	PBAR_19069-RA	ACEP_00002453-RA
OG0000094	PBAR_20815-RA	ACEP_00008314-RA
OG0000094	PBAR_ar_WBSCR17_like-1	ACEP_00006332-RA
OG0000094	PBAR_19694-RA	ACEP_00004174-RA
OG0000094	PBAR_21383-RA	ACEP_00013609-RA
OG0000095	PBAR_24191-RA	ACEP_00005734-RA
OG0000095	PBAR_14640-RA	ACEP_00004814-RA
OG0000095	PBAR_18715-RA	ACEP_00004888-RA
OG0000095	PBAR_23152-RA	ACEP_00003629-RA
OG0000095	PBAR_ar_nAChRa1-RB	ACEP_00005727-RA
OG0000096	PBAR_21044-RA	ACEP_00016703-RA
OG0000096	PBAR_21047-RA	ACEP_00011187-RA
OG0000096	PBAR_21049-RA, PBAR_21048-RA, PBAR_26857-RA, PBAR_26856-RA, PBAR_21051-RA, PBAR_21050-RA	ACEP_00016483-RA, ACEP_00011185-RA
OG0000097	PBAR_23751-RA	ACEP_00012330-RA
OG0000101	PBAR_22326-RA	ACEP_00011522-RA
OG0000102	PBAR_15501-RA, PBAR_11181-RA, PBAR_13915-RA, PBAR_19173-RA, PBAR_15334-RA	ACEP_00002247-RA, ACEP_00008060-RA
OG0000103	PBAR_15154-RA	ACEP_00005015-RA, ACEP_00002216-RA
OG0000103	PBAR_10046-RA, PBAR_13132-RA	ACEP_00012371-RA
OG0000103	PBAR_13284-RA	ACEP_00010481-RA, ACEP_00010557-RA, ACEP_00000837-RA
OG0000104	PBAR_20082-RA	ACEP_00008101-RA
OG0000104	PBAR_14034-RA	ACEP_00003088-RA
OG0000104	PBAR_11787-RA	ACEP_00002975-RA
OG0000105	PBAR_16074-RA	ACEP_00006946-RA, ACEP_00006948-RA
OG0000105	PBAR_12154-RA	ACEP_00006782-RA, ACEP_00014043-RA
OG0000105	PBAR_26549-RA	ACEP_00017988-RA
OG0000106	PBAR_25517-RA	ACEP_00001818-RA
OG0000106	PBAR_11759-RA	ACEP_00000218-RA
OG0000106	PBAR_21230-RA	ACEP_00003230-RA
OG0000106	PBAR_21278-RA	ACEP_00016285-RA
OG0000107	PBAR_23684-RA	ACEP_00009409-RA
OG0000107	PBAR_26838-RA, PBAR_20696-RA, PBAR_13582-RA, PBAR_26836-RA, PBAR_26837-RA, PBAR_23685-RA, PBAR_23683-RA, PBAR_26835-RA	ACEP_00017804-RA
OG0000109	PBAR_26475-RA, PBAR_26473-RA, PBAR_26465-RA, PBAR_26461-RA, PBAR_26474-RA, PBAR_26472-RA, PBAR_26466-RA, PBAR_26462-RA, PBAR_26469-RA, PBAR_26470-RA	ACEP_00002714-RA
OG0000110	PBAR_20727-RA, PBAR_21745-RA, PBAR_11180-RA, PBAR_21744-RA, PBAR_20726-RA, PBAR_12802-RA, PBAR_12239-RA, PBAR_11259-RA, PBAR_21618-RA, PBAR_12806-RA, PBAR_11653-RA, PBAR_21715-RA, PBAR_12239-RB	ACEP_00012361-RA
OG0000115	PBAR_23136-RA	ACEP_00014928-RA
OG0000115	PBAR_22442-RA	ACEP_00000360-RA
OG0000115	PBAR_17671-RA	ACEP_00006290-RA
OG0000115	PBAR_26244-RA	ACEP_00004271-RA, ACEP_00006840-RA
OG0000116	PBAR_26351-RA	ACEP_00006236-RA
OG0000116	PBAR_26352-RA	ACEP_00009750-RA
OG0000116	PBAR_10288-RA	ACEP_00006237-RA
OG0000117	PBAR_13515-RA	ACEP_00008065-RA, ACEP_00010079-RA, ACEP_00016929-RA
OG0000117	PBAR_16593-RA	ACEP_00014242-RA, ACEP_00011666-RA, ACEP_00009717-RA, ACEP_00014566-RA
OG0000119	PBAR_10708-RA, PBAR_19177-RA, PBAR_13144-RA, PBAR_17310-RA, PBAR_16488-RA, PBAR_17309-RA, PBAR_13143-RA, PBAR_19175-RA, PBAR_19176-RA, PBAR_16487-RA, PBAR_13822-RA	ACEP_00011516-RA
OG0000121	PBAR_23717-RA	ACEP_00009443-RA, ACEP_00008927-RA
OG0000121	PBAR_23716-RA	ACEP_00016446-RA, ACEP_00009444-RA
OG0000121	PBAR_24909-RA	ACEP_00009221-RA
OG0000122	PBAR_19017-RA	ACEP_00001174-RA
OG0000122	PBAR_19002-RA	ACEP_00001172-RA
OG0000122	PBAR_19009-RA	ACEP_00001176-RA
OG0000122	PBAR_19010-RA	ACEP_00001175-RA
OG0000123	PBAR_12918-RA	ACEP_00000255-RA, ACEP_00000254-RA, ACEP_00017709-RA, ACEP_00016998-RA, ACEP_00000250-RA, ACEP_00017005-RA, ACEP_00000252-RA, ACEP_00000251-RA, ACEP_00000253-RA, ACEP_00003655-RA, ACEP_00002079-RA
OG0000125	PBAR_12949-RA	ACEP_00000811-RA
OG0000125	PBAR_16887-RA	ACEP_00011298-RA
OG0000125	PBAR_25690-RA	ACEP_00008032-RA
OG0000125	PBAR_21377-RA	ACEP_00013613-RA
OG0000126	PBAR_ar_hop-1	ACEP_00005867-RA, ACEP_03381456-RA, ACEP_00005858-RA, ACEP_00005860-RA, ACEP_03384377-RA, ACEP_00016865-RA, ACEP_00005870-RA, ACEP_00005862-RA, ACEP_00005861-RA, ACEP_00005869-RA, ACEP_00016866-RA
OG0000127	PBAR_ar_major_royal_jelly_protein-like_1-RA	ACEP_00005592-RA
OG0000127	PBAR_ar_major_royal_jelly_protein-like_4-RC	ACEP_04568891-RA
OG0000127	PBAR_ar_major_royal_jelly_protein-like_2-1	ACEP_04568876-RA, ACEP_00011165-RA, ACEP_04568912-RA
OG0000127	PBAR_ar_major_royal_jelly_protein-like_3-1	ACEP_00003010-RA, ACEP_00003011-RA
OG0000128	PBAR_20422-RA, PBAR_20239-RA	ACEP_00013519-RA
OG0000129	PBAR_25939-RA	ACEP_00007237-RA
OG0000129	PBAR_16847-RA	ACEP_00004750-RA, ACEP_00004749-RA
OG0000130	PBAR_18648-RA	ACEP_00009775-RA
OG0000133	PBAR_13178-RA, PBAR_13178-RB	ACEP_00013793-RA
OG0000133	PBAR_24514-RA	ACEP_00012836-RA
OG0000133	PBAR_26052-RA	ACEP_00007084-RA
OG0000134	PBAR_12495-RA	ACEP_00007562-RA
OG0000134	PBAR_20574-RA	ACEP_00006182-RA
OG0000135	PBAR_26760-RA, PBAR_26262-RA, PBAR_13702-RA, PBAR_26425-RA	ACEP_00017128-RA
OG0000135	PBAR_26759-RA	ACEP_00002260-RA, ACEP_00017129-RA, ACEP_00017130-RA
OG0000138	PBAR_20757-RA	ACEP_00004812-RA
OG0000138	PBAR_10885-RA, PBAR_14710-RA	ACEP_00001019-RA
OG0000138	PBAR_15345-RA	ACEP_00010415-RA
OG0000139	PBAR_23756-RA	ACEP_00012322-RA
OG0000139	PBAR_23755-RA	ACEP_00012321-RA
OG0000139	PBAR_23757-RA	ACEP_00012326-RA
OG0000139	PBAR_23594-RA	ACEP_00014212-RA
OG0000140	PBAR_22807-RA	ACEP_00009375-RA, ACEP_00016817-RA, ACEP_00008268-RA, ACEP_00014752-RA, ACEP_00016671-RA, ACEP_00016313-RA, ACEP_00016598-RA, ACEP_00004781-RA, ACEP_00014900-RA, ACEP_00016610-RA, ACEP_00014905-RA
OG0000142	PBAR_23180-RA	ACEP_00003607-RA
OG0000142	PBAR_23181-RA	ACEP_00003606-RA
OG0000142	PBAR_11229-RA	ACEP_00011689-RA
OG0000142	PBAR_20257-RA	ACEP_00010865-RA
OG0000144	PBAR_ar_OctB3R-RA	ACEP_00002840-RA
OG0000144	P_barOctB3R1-RA	ACEP_00002842-RA
OG0000144	PBAR_ar_OctB2R-1	ACEP_00009385-RA
OG0000144	PBAR_ar_OctB1R-RA	ACEP_00002839-RA
OG0000145	PBAR_23155-RA	ACEP_00003624-RA
OG0000145	PBAR_17479-RA	ACEP_00007890-RA
OG0000145	PBAR_ar_amon-RA	ACEP_00009935-RA
OG0000145	PBAR_13220-RA	ACEP_00006574-RA
OG0000146	PBAR_ar_CDC42-1	ACEP_00009826-RA
OG0000146	PBAR_11057-RA	ACEP_00015158-RA
OG0000146	PBAR_13486-RA	ACEP_00004692-RA
OG0000146	PBAR_ar_Rac1-1	ACEP_00014503-RA
OG0000147	PBAR_10603-RA, PBAR_15502-RA	ACEP_00012222-RA
OG0000148	PBAR_10758-RA, PBAR_16596-RA, PBAR_10102-RA	ACEP_00005906-RA
OG0000149	PBAR_13464-RA	ACEP_00010112-RA
OG0000149	PBAR_14033-RA	ACEP_00003093-RA
OG0000149	PBAR_11784-RA	ACEP_00002974-RA
OG0000149	PBAR_27128-RA	ACEP_00011258-RA
OG0000150	PBAR_11548-RA, PBAR_11553-RA, PBAR_11545-RA, PBAR_11549-RA	ACEP_00003038-RA
OG0000151	PBAR_19110-RA	ACEP_00017557-RA
