Orthogroup	lhum_annotation	pbar_annotation
OG0000010	LHUM_13202-RA, LHUM_11518-RA, LHUM_10028-RA, LHUM_23740-RA, LHUM_12833-RA, LHUM_15673-RA, LHUM_15168-RA, LHUM_15074-RA, LHUM_19319-RA, LHUM_25195-RA, LHUM_10062-RA	PBAR_18386-RA
OG0000011	LHUM_19899-RA	PBAR_11305-RA
OG0000011	LHUM_11850-RA, LHUM_17571-RA, LHUM_16721-RA, LHUM_19727-RA, LHUM_23847-RA, LHUM_11317-RA, LHUM_22545-RA, LHUM_15100-RA, LHUM_15699-RA	PBAR_17807-RA
OG0000011	LHUM_14376-RA, LHUM_11884-RA, LHUM_19997-RA, LHUM_11335-RA, LHUM_19723-RA, LHUM_12750-RA, LHUM_10125-RA, LHUM_10021-RA, LHUM_20494-RA, LHUM_14439-RA, LHUM_11174-RA	PBAR_21450-RA
OG0000013	LHUM_10721-RA	PBAR_14568-RA, PBAR_10939-RA, PBAR_11363-RA, PBAR_21986-RA, PBAR_14813-RA, PBAR_18652-RA, PBAR_11298-RA, PBAR_10615-RA, PBAR_11307-RA, PBAR_17804-RA, PBAR_15153-RA, PBAR_10118-RA, PBAR_14814-RA, PBAR_11038-RA, PBAR_11591-RA, PBAR_14950-RA, PBAR_18202-RA, PBAR_11602-RA, PBAR_25124-RA, PBAR_14343-RA, PBAR_11365-RA, PBAR_18204-RA, PBAR_14822-RA
OG0000017	LHUM_15216-RA	PBAR_10081-RA, PBAR_10600-RA, PBAR_10080-RA
OG0000018	LHUM_11733-RA	PBAR_22777-RA
OG0000018	LHUM_10169-RA	PBAR_15055-RA, PBAR_14570-RA
OG0000018	LHUM_23654-RA	PBAR_23634-RA, PBAR_19920-RA, PBAR_24729-RA, PBAR_10426-RA, PBAR_18791-RA
OG0000019	LHUM_23241-RA	PBAR_20487-RA, PBAR_11160-RA, PBAR_10150-RA, PBAR_15373-RA, PBAR_10547-RA, PBAR_15368-RA, PBAR_15372-RA, PBAR_26535-RA, PBAR_18595-RA, PBAR_15371-RA, PBAR_15365-RA, PBAR_23061-RA, PBAR_15369-RA, PBAR_18574-RA, PBAR_13414-RA, PBAR_13412-RA, PBAR_23596-RA, PBAR_23595-RA, PBAR_26417-RA, PBAR_13413-RA, PBAR_13411-RA, PBAR_13410-RA
OG0000021	LHUM_14900-RA, LHUM_24991-RA, LHUM_13484-RA, LHUM_13483-RA, LHUM_14899-RA	PBAR_25919-RA
OG0000021	LHUM_19960-RA, LHUM_15387-RA, LHUM_15385-RA, LHUM_17270-RA, LHUM_17269-RA	PBAR_25918-RA
OG0000021	LHUM_24684-RA	PBAR_17995-RA
OG0000021	LHUM_17459-RA	PBAR_16983-RA
OG0000021	LHUM_13481-RA, LHUM_21433-RA, LHUM_15684-RA, LHUM_15683-RA	PBAR_14321-RA
OG0000022	LHUM_10827-RA	PBAR_19745-RA
OG0000022	LHUM_25883-RA, LHUM_25885-RA	PBAR_26159-RA, PBAR_10304-RA, PBAR_26160-RA
OG0000022	LHUM_18177-RA	PBAR_26161-RA
OG0000022	LHUM_20614-RA, LHUM_20612-RA	PBAR_21817-RA
OG0000023	LHUM_10560-RA, LHUM_25299-RA, LHUM_26016-RA, LHUM_13383-RA, LHUM_25475-RA, LHUM_10559-RA, LHUM_10080-RA, LHUM_13874-RA, LHUM_10830-RA, LHUM_12473-RA, LHUM_25441-RA, LHUM_10114-RA, LHUM_22538-RA, LHUM_10345-RA, LHUM_10511-RA, LHUM_25265-RA, LHUM_14403-RA, LHUM_14679-RA, LHUM_23888-RA, LHUM_10512-RA, LHUM_14404-RA, LHUM_22764-RA, LHUM_10443-RA, LHUM_15619-RA	PBAR_18719-RA
OG0000024	LHUM_25577-RA	PBAR_18065-RA
OG0000024	LHUM_14564-RA	PBAR_19339-RA
OG0000025	LHUM_19303-RA, LHUM_10501-RA, LHUM_15781-RA, LHUM_15782-RA, LHUM_15663-RA, LHUM_10491-RA, LHUM_10599-RA, LHUM_15181-RA	PBAR_16491-RA
OG0000025	LHUM_18358-RA	PBAR_16489-RA, PBAR_11210-RA
OG0000025	LHUM_19302-RA	PBAR_16490-RA
OG0000025	LHUM_18359-RA	PBAR_16089-RA
OG0000027	LHUM_17512-RA	PBAR_12530-RA
OG0000027	LHUM_13656-RA	PBAR_12531-RA, PBAR_11390-RA, PBAR_11389-RA, PBAR_10210-RA, PBAR_10268-RA, PBAR_11392-RA, PBAR_10165-RA, PBAR_10233-RA, PBAR_10164-RA, PBAR_10151-RA, PBAR_26202-RA, PBAR_10232-RA, PBAR_10121-RA, PBAR_10096-RA, PBAR_11391-RA, PBAR_26572-RA, PBAR_26573-RA, PBAR_26617-RA, PBAR_16912-RA, PBAR_26615-RA, PBAR_26616-RA
OG0000028	LHUM_20985-RA, LHUM_13235-RA, LHUM_25190-RA, LHUM_14430-RA, LHUM_15605-RA, LHUM_23742-RA	PBAR_20453-RA
OG0000028	LHUM_22976-RA, LHUM_13320-RA, LHUM_22974-RA, LHUM_15095-RA, LHUM_15602-RA, LHUM_10040-RA, LHUM_10741-RA, LHUM_23188-RA, LHUM_25256-RA	PBAR_11430-RA, PBAR_15495-RA
OG0000028	LHUM_15604-RA	PBAR_20452-RA
OG0000029	LHUM_10374-RA, LHUM_10373-RA, LHUM_12262-RA, LHUM_25438-RA, LHUM_10007-RA, LHUM_10861-RA, LHUM_10375-RA, LHUM_10275-RA, LHUM_10860-RA, LHUM_13179-RA, LHUM_13310-RA, LHUM_10368-RA, LHUM_25440-RA, LHUM_10862-RA, LHUM_10072-RA, LHUM_10640-RA, LHUM_13311-RA, LHUM_25439-RA	PBAR_25650-RB, PBAR_25650-RA
OG0000030	LHUM_11893-RA	PBAR_17845-RA, PBAR_13849-RA, PBAR_17194-RA
OG0000030	LHUM_10457-RA	PBAR_10395-RA, PBAR_13847-RA, PBAR_15813-RA, PBAR_17838-RA, PBAR_10611-RA, PBAR_10001-RA, PBAR_10456-RA, PBAR_10418-RA, PBAR_17190-RA, PBAR_15812-RA, PBAR_10419-RA, PBAR_17839-RA, PBAR_10556-RA
OG0000031	LHUM_14542-RA	PBAR_22688-RA
OG0000031	LHUM_24723-RA	PBAR_24448-RA
OG0000031	LHUM_15985-RA	augustus-pbar_scf7180000350332-abinit-gene-2.90-mRNA-1
OG0000031	LHUM_22979-RA	PBAR_16444-RA
OG0000031	LHUM_22512-RA, LHUM_24672-RA	PBAR_23489-RA, PBAR_23488-RA, PBAR_21981-RA
OG0000032	LHUM_10529-RA, LHUM_16692-RA	PBAR_14735-RA
OG0000032	LHUM_16691-RA	PBAR_12750-RA
OG0000032	LHUM_15681-RA	PBAR_20791-RA
OG0000032	LHUM_24088-RA	PBAR_22578-RA
OG0000033	LHUM_10063-RA	PBAR_17796-RB
OG0000033	LHUM_24584-RA, LHUM_10536-RA, LHUM_10653-RA, LHUM_10143-RA, LHUM_15085-RA, LHUM_15086-RA, LHUM_12280-RA, LHUM_23650-RA, LHUM_10537-RA	PBAR_17801-RA
OG0000035	LHUM_18464-RA	PBAR_16372-RA
OG0000035	LHUM_18458-RA	PBAR_16376-RA, PBAR_16375-RA
OG0000035	LHUM_25728-RA	PBAR_26592-RA, PBAR_16374-RA
OG0000036	LHUM_14925-RA, LHUM_um_CG9747_k-RA, LHUM_24885-RA, LHUM_um_CG9747_n-RA, LHUM_um_desat_frag6-RA, LHUM_13474-RA, LHUM_13473-RA, LHUM_10840-RA, LHUM_19802-RA, LHUM_um_CG9747_i-RA, LHUM_um_CG9747_j-RA, LHUM_13323-RA, LHUM_14562-RA, LHUM_24884-RA, LHUM_13466-RA, LHUM_um_CG9747_o-RB, LHUM_13289-RA, LHUM_11825-RA, LHUM_11816-RA, LHUM_um_CG9747_m-RA, LHUM_10841-RA	PBAR_ar_desat_frag1-1
OG0000037	LHUM_11288-RA	PBAR_10825-RA
OG0000037	LHUM_10353-RA	PBAR_24933-RA, PBAR_ar_CG8306-RA, PBAR_17473-RA, PBAR_12884-RA, PBAR_10830-RA, PBAR_10826-RA, PBAR_10831-RA, PBAR_10328-RA
OG0000038	LHUM_23078-RA	PBAR_26388-RA
OG0000039	LHUM_20394-RA	PBAR_15785-RA
OG0000039	LHUM_24044-RA	PBAR_25135-RA, PBAR_25133-RA
OG0000039	LHUM_26075-RA, LHUM_24045-RA	PBAR_25136-RA
OG0000039	LHUM_15650-RA	PBAR_19088-RA, PBAR_19078-RA
OG0000040	LHUM_14672-RA, LHUM_15166-RA, LHUM_10123-RA, LHUM_24293-RA, LHUM_14672-RB, LHUM_11582-RA, LHUM_15666-RA, LHUM_12797-RA, LHUM_11199-RA, LHUM_10641-RA, LHUM_11590-RA, LHUM_11589-RA, LHUM_22486-RA, LHUM_14800-RA, LHUM_14792-RA, LHUM_25482-RA	PBAR_10883-RA
OG0000041	LHUM_10454-RA	PBAR_22268-RA
OG0000041	LHUM_10336-RA, LHUM_14522-RA, LHUM_15403-RA	PBAR_17690-RA
OG0000044	LHUM_12469-RA, LHUM_11594-RA, LHUM_11141-RA, LHUM_10087-RA, LHUM_10515-RA, LHUM_10282-RA, LHUM_11595-RA	PBAR_26199-RA
OG0000044	LHUM_11143-RA, LHUM_21774-RA, LHUM_10853-RA, LHUM_20539-RA, LHUM_22243-RA	PBAR_22802-RA
OG0000044	LHUM_25123-RA	PBAR_18611-RA
OG0000045	LHUM_10622-RA, LHUM_19273-RA	PBAR_11603-RA
OG0000045	LHUM_11488-RA, LHUM_20306-RA, LHUM_11176-RA, LHUM_10168-RA, LHUM_11179-RA, LHUM_13964-RA	PBAR_11603-RB
OG0000047	LHUM_14011-RA, LHUM_14010-RA, LHUM_25533-RA, LHUM_25532-RA, LHUM_24049-RA, LHUM_15063-RA, LHUM_25539-RA, LHUM_25538-RA, LHUM_13852-RA, LHUM_19459-RA, LHUM_13844-RA, LHUM_25535-RA, LHUM_18149-RA, LHUM_19196-RA, LHUM_20668-RA, LHUM_25536-RA	PBAR_12857-RA
OG0000048	LHUM_12558-RA	PBAR_11403-RA, PBAR_10523-RA, PBAR_11358-RA, PBAR_10500-RA, PBAR_11402-RA, PBAR_11724-RA, PBAR_11034-RA, PBAR_11401-RA, PBAR_14509-RA, PBAR_22325-RA
OG0000048	LHUM_11593-RA, LHUM_12556-RA	PBAR_14506-RA, PBAR_11033-RA, PBAR_14758-RA, PBAR_11400-RA, PBAR_22317-RA, PBAR_11723-RA
OG0000051	LHUM_10136-RA	PBAR_14420-RA
OG0000052	LHUM_17100-RA	PBAR_17210-RA
OG0000052	LHUM_17822-RA	PBAR_19407-RA
OG0000052	LHUM_21131-RA	PBAR_25917-RA
OG0000052	LHUM_21152-RA	PBAR_25930-RA
OG0000052	LHUM_17808-RA	PBAR_19406-RA
OG0000052	LHUM_17810-RA	PBAR_19410-RA
OG0000052	LHUM_17809-RA	PBAR_19409-RA
OG0000053	LHUM_22632-RA	PBAR_18249-RA
OG0000054	LHUM_13585-RA	PBAR_25191-RA
OG0000054	LHUM_25761-RA, LHUM_25760-RA	PBAR_11368-RA
OG0000054	LHUM_22565-RA	PBAR_18184-RA
OG0000054	LHUM_22562-RA	PBAR_18192-RA, PBAR_18190-RA, PBAR_18191-RA
OG0000054	LHUM_12079-RA	PBAR_12060-RA, PBAR_18193-RA, PBAR_12057-RA
OG0000054	LHUM_16335-RA	PBAR_17557-RA
OG0000055	LHUM_24002-RA	PBAR_18852-RA
OG0000055	LHUM_18070-RA	PBAR_25255-RA
OG0000055	LHUM_19162-RA	PBAR_24189-RA
OG0000055	LHUM_24003-RA, LHUM_19163-RA	PBAR_12187-RA
OG0000057	LHUM_16822-RA	PBAR_24929-RA
OG0000057	LHUM_17363-RA	PBAR_11807-RA, PBAR_19813-RA
OG0000057	LHUM_14471-RA, LHUM_10768-RA, LHUM_22548-RA, LHUM_10859-RA, LHUM_20452-RA, LHUM_15114-RA, LHUM_11566-RA, LHUM_10281-RA, LHUM_20453-RA, LHUM_10910-RA	PBAR_20045-RA
OG0000058	LHUM_12853-RA	PBAR_ar_CG32104-like-1, PBAR_14262-RA, PBAR_10028-RA, PBAR_10021-RA, PBAR_13571-RA, PBAR_10422-RA, PBAR_10213-RA, PBAR_14261-RA, PBAR_26222-RA, PBAR_10612-RA, PBAR_14263-RA, PBAR_21705-RA, PBAR_10029-RA, PBAR_23802-RA, PBAR_21704-RA, PBAR_14264-RA, PBAR_14260-RA
OG0000062	LHUM_11343-RA	PBAR_13330-RA
OG0000062	LHUM_22708-RA	PBAR_16617-RA
OG0000062	LHUM_23404-RA	PBAR_15578-RA
OG0000062	LHUM_12354-RA	PBAR_ar_HSP70-1
OG0000064	LHUM_24213-RA	PBAR_11835-RA
OG0000064	LHUM_13102-RA	PBAR_ar_SerT-1
OG0000064	LHUM_12899-RA	PBAR_13264-RA
OG0000064	LHUM_11173-RA	PBAR_14550-RA
OG0000064	LHUM_23378-RA	PBAR_11906-RA
OG0000064	LHUM_16392-RA	PBAR_14684-RA
OG0000065	LHUM_26113-RA	PBAR_26928-RA
OG0000065	LHUM_24938-RA	PBAR_26929-RA, PBAR_26927-RA
OG0000065	LHUM_26112-RA	PBAR_26926-RA
OG0000066	LHUM_23901-RA	PBAR_13512-RA, PBAR_24637-RA, PBAR_13709-RA, PBAR_11314-RA, PBAR_10480-RA, PBAR_11306-RA, PBAR_19223-RA, PBAR_14236-RA, PBAR_18205-RA, PBAR_18371-RA, PBAR_17086-RA, PBAR_15126-RA
OG0000067	LHUM_10129-RA	PBAR_10374-RA, PBAR_21574-RA, PBAR_21571-RA, PBAR_21572-RA
OG0000067	LHUM_21670-RA	PBAR_21569-RA, PBAR_10242-RA
OG0000067	LHUM_21669-RA	PBAR_21568-RA
OG0000067	LHUM_21671-RA, LHUM_25955-RA, LHUM_25956-RA	PBAR_21573-RA
OG0000069	LHUM_25609-RA	PBAR_14300-RA
OG0000069	LHUM_25611-RA	PBAR_14763-RA
OG0000069	LHUM_25596-RA, LHUM_25597-RA	PBAR_26458-RA, PBAR_10534-RA
OG0000071	LHUM_13167-RA	PBAR_26648-RA, PBAR_17433-RA, PBAR_14273-RA, PBAR_17396-RA, PBAR_18999-RA, PBAR_17389-RA, PBAR_23377-RA, PBAR_14274-RA, PBAR_26812-RA, PBAR_20343-RA, PBAR_11900-RA, PBAR_10527-RA, PBAR_10618-RA, PBAR_17431-RA, PBAR_17432-RA
OG0000075	LHUM_25498-RA	PBAR_20950-RA
OG0000075	LHUM_14190-RA	PBAR_26849-RA
OG0000075	LHUM_20267-RA	PBAR_21279-RA
OG0000075	LHUM_19129-RA	PBAR_21504-RA
OG0000075	LHUM_19101-RA, LHUM_11616-RA	PBAR_13081-RA
OG0000076	LHUM_26004-RA, LHUM_26005-RA	PBAR_18618-RA, PBAR_18623-RA
OG0000076	LHUM_25149-RA	PBAR_11509-RA
OG0000076	LHUM_11300-RA	PBAR_11385-RA
OG0000076	LHUM_11974-RA	PBAR_16421-RA
OG0000079	LHUM_17824-RA	PBAR_19414-RA
OG0000079	LHUM_21966-RA	PBAR_16077-RA
OG0000079	LHUM_25915-RA, LHUM_25927-RA	PBAR_26548-RA
OG0000081	LHUM_20345-RA	PBAR_ar_Ddc-1
OG0000081	LHUM_20333-RA	PBAR_15942-RA
OG0000081	LHUM_24989-RA	PBAR_17456-RA
OG0000081	LHUM_19594-RA, LHUM_19591-RA, LHUM_19592-RA	PBAR_24364-RA
OG0000082	LHUM_24891-RA	PBAR_18139-RA
OG0000082	LHUM_21289-RA	PBAR_16064-RA, PBAR_21863-RA
OG0000082	LHUM_20877-RA, LHUM_21967-RA	PBAR_15222-RA
OG0000083	LHUM_25281-RA, LHUM_11891-RA, LHUM_25442-RA, LHUM_11890-RA, LHUM_11999-RA, LHUM_10514-RA, LHUM_15621-RA, LHUM_13396-RA, LHUM_11891-RB, LHUM_22496-RA	PBAR_21553-RA
OG0000084	LHUM_19568-RA	PBAR_17896-RA
OG0000084	LHUM_19570-RA	PBAR_17897-RA
OG0000084	LHUM_10075-RA, LHUM_23928-RA	PBAR_15161-RA
OG0000084	LHUM_um_for-1	CG_02544486, PBAR_ar_for-1, CG_02544470, CG_02544464, CG_02544396
OG0000085	LHUM_25389-RA	PBAR_13931-RA
OG0000085	LHUM_11871-RB, LHUM_11871-RA	PBAR_17256-RA
OG0000085	LHUM_12493-RA	PBAR_26439-RA
OG0000085	LHUM_21657-RA	PBAR_13933-RA
OG0000085	LHUM_21658-RA	PBAR_13932-RA
OG0000086	LHUM_20664-RA	PBAR_26142-RA
OG0000086	LHUM_11140-RA, LHUM_15676-RA, LHUM_13301-RA, LHUM_24309-RA, LHUM_24303-RA, LHUM_13302-RA, LHUM_11410-RA, LHUM_15675-RA	PBAR_22242-RA
OG0000087	LHUM_16203-RA, LHUM_15662-RA, LHUM_10357-RA, LHUM_12810-RA, LHUM_10274-RA, LHUM_10465-RA, LHUM_23231-RA, LHUM_10635-RA, LHUM_11742-RA, LHUM_20014-RA, LHUM_10521-RA, LHUM_25261-RA, LHUM_19915-RA	PBAR_14377-RA, PBAR_12811-RA
OG0000089	LHUM_15599-RA, LHUM_14704-RA, LHUM_13390-RA, LHUM_10146-RA, LHUM_22763-RA, LHUM_11879-RA, LHUM_25283-RA, LHUM_25524-RA, LHUM_26021-RA, LHUM_15598-RA, LHUM_10842-RA, LHUM_10151-RA, LHUM_25300-RA, LHUM_11492-RA	PBAR_25223-RA
OG0000090	LHUM_12443-RA, LHUM_10873-RA, LHUM_10556-RA, LHUM_10036-RA, LHUM_10085-RA, LHUM_10865-RA, LHUM_18318-RA, LHUM_10869-RA, LHUM_15272-RA, LHUM_14566-RA, LHUM_14983-RA, LHUM_22677-RA, LHUM_14982-RA, LHUM_10124-RA, LHUM_22678-RA	PBAR_20795-RA
OG0000094	LHUM_15639-RA	PBAR_19069-RA
OG0000094	LHUM_16303-RA	PBAR_20815-RA
OG0000094	LHUM_14631-RA	PBAR_ar_WBSCR17_like-1
OG0000094	LHUM_12628-RA	PBAR_19694-RA
OG0000094	LHUM_12506-RA	PBAR_21383-RA
OG0000095	LHUM_23821-RA	PBAR_24191-RA
OG0000095	LHUM_23332-RA	PBAR_14640-RA
OG0000095	LHUM_12385-RA	PBAR_18715-RA
OG0000095	LHUM_24960-RA	PBAR_23152-RA
OG0000095	LHUM_um_nAChRa1-RA	PBAR_ar_nAChRa1-RB
OG0000096	LHUM_17224-RA	PBAR_21044-RA, PBAR_21042-RA, PBAR_21047-RA, PBAR_21049-RA, PBAR_21048-RA, PBAR_26857-RA, PBAR_26856-RA, PBAR_21051-RA, PBAR_21050-RA
OG0000097	LHUM_12623-RA, LHUM_25211-RA, LHUM_18381-RA, LHUM_12622-RA, LHUM_10542-RA, LHUM_17397-RA, LHUM_12522-RA, LHUM_10273-RA, LHUM_25207-RA, LHUM_18710-RA	PBAR_23751-RA
OG0000101	LHUM_13426-RA, LHUM_14700-RA, LHUM_23246-RA, LHUM_23245-RA, LHUM_13429-RA, LHUM_10367-RA, LHUM_14702-RA, LHUM_13433-RA, LHUM_13431-RA, LHUM_14406-RA, LHUM_13432-RA, LHUM_13434-RA	PBAR_22326-RA
OG0000102	LHUM_16742-RA, LHUM_20685-RA	PBAR_15501-RA, PBAR_11181-RA, PBAR_13915-RA, PBAR_19173-RA, PBAR_15334-RA
OG0000102	LHUM_18425-RA	PBAR_10132-RA, PBAR_19178-RA, PBAR_15496-RA, PBAR_23547-RA
OG0000103	LHUM_13188-RA	PBAR_13287-RA, PBAR_15154-RA, PBAR_10046-RA, PBAR_13132-RA, PBAR_13284-RA
OG0000104	LHUM_24163-RA	PBAR_20082-RA
OG0000104	LHUM_14993-RA	PBAR_14034-RA
OG0000104	LHUM_12316-RA	PBAR_25199-RA, PBAR_13469-RA
OG0000104	LHUM_11235-RA	PBAR_11787-RA
OG0000105	LHUM_21983-RA, LHUM_25916-RA	PBAR_16074-RA
OG0000105	LHUM_20876-RA	PBAR_15223-RA, PBAR_15670-RA, PBAR_12154-RA, PBAR_26549-RA
OG0000106	LHUM_15490-RA	PBAR_25517-RA
OG0000106	LHUM_12609-RA	PBAR_11759-RA
OG0000106	LHUM_15712-RA	PBAR_21230-RA
OG0000106	LHUM_20262-RA	PBAR_21278-RA
OG0000107	LHUM_18727-RA	PBAR_23684-RA
OG0000107	LHUM_21199-RA	PBAR_26838-RA, PBAR_20696-RA, PBAR_13582-RA, PBAR_26836-RA, PBAR_26837-RA
OG0000107	LHUM_18732-RA	PBAR_23685-RA, PBAR_23683-RA, PBAR_26835-RA
OG0000109	LHUM_16352-RA	PBAR_14298-RA
OG0000109	LHUM_16356-RA	PBAR_26475-RA, PBAR_26473-RA, PBAR_26465-RA, PBAR_26461-RA, PBAR_26474-RA, PBAR_26472-RA, PBAR_26466-RA, PBAR_26462-RA, PBAR_26469-RA, PBAR_26470-RA
