Orthogroup	lhum_annotation	acep_annotation
OG0000010	LHUM_12833-RA, LHUM_15673-RA, LHUM_15168-RA, LHUM_15074-RA, LHUM_19319-RA, LHUM_25195-RA	ACEP_00014249-RA
OG0000010	LHUM_10062-RA	ACEP_00003421-RA
OG0000010	LHUM_14452-RA, LHUM_13387-RA	ACEP_00003500-RA
OG0000010	LHUM_14827-RA	ACEP_00009755-RA, ACEP_00001029-RA
OG0000011	LHUM_16721-RA	ACEP_00009733-RA
OG0000011	LHUM_19727-RA, LHUM_23847-RA, LHUM_11317-RA, LHUM_22545-RA, LHUM_15100-RA, LHUM_15699-RA	ACEP_00009311-RA
OG0000012	LHUM_25635-RA	ACEP_00013934-RA, ACEP_00017889-RA, ACEP_00017885-RA, ACEP_00017886-RA, ACEP_00013937-RA, ACEP_00013938-RA, ACEP_00017888-RA, ACEP_00017887-RA, ACEP_00013940-RA, ACEP_00013936-RA, ACEP_00016698-RA, ACEP_00013935-RA, ACEP_00013941-RA, ACEP_00002534-RA, ACEP_00013929-RA, ACEP_00016542-RA, ACEP_00011335-RA, ACEP_00011334-RA, ACEP_00013932-RA, ACEP_00013933-RA, ACEP_00016888-RA, ACEP_00017892-RA, ACEP_00013930-RA, ACEP_00016568-RA, ACEP_00013931-RA, ACEP_00017890-RA, ACEP_00017891-RA, ACEP_00013939-RA, ACEP_00017893-RA
OG0000013	LHUM_10721-RA	ACEP_00005882-RA, ACEP_00005028-RA, ACEP_00005884-RA, ACEP_00003519-RA, ACEP_00013392-RA
OG0000015	LHUM_17201-RA	ACEP_00011212-RA
OG0000015	LHUM_22972-RA, LHUM_22973-RA, LHUM_22971-RA	ACEP_00007913-RA
OG0000015	LHUM_15377-RA	ACEP_00013383-RA
OG0000015	LHUM_24864-RA	ACEP_00004912-RA
OG0000015	LHUM_22588-RA	ACEP_00011420-RA
OG0000015	LHUM_11436-RA	ACEP_00005351-RA
OG0000015	LHUM_22827-RA	ACEP_00004355-RA
OG0000015	LHUM_22967-RA	ACEP_00007915-RA
OG0000015	LHUM_18098-RA	ACEP_00000592-RA
OG0000015	LHUM_16527-RA	ACEP_00006043-RA
OG0000015	LHUM_21322-RA	ACEP_00003337-RA
OG0000015	LHUM_21811-RA, LHUM_18089-RA	ACEP_00000585-RA
OG0000017	LHUM_15216-RA	ACEP_00010789-RA, ACEP_00007768-RA, ACEP_00012481-RA, ACEP_00003080-RB, ACEP_00007753-RA, ACEP_00007774-RA, ACEP_00003080-RA, ACEP_00010760-RA, ACEP_00010763-RA, ACEP_00010761-RA, ACEP_00007754-RA, ACEP_00001102-RA, ACEP_00008120-RA, ACEP_00007755-RA, ACEP_00003079-RA, ACEP_00007769-RA, ACEP_00004448-RA, ACEP_00017271-RA, ACEP_00004449-RA, ACEP_00004499-RA, ACEP_00017276-RA, ACEP_00004450-RA, ACEP_00007857-RA, ACEP_00010762-RA
OG0000019	LHUM_23241-RA	ACEP_00010748-RA, ACEP_00002730-RA, ACEP_00018129-RA, ACEP_00014796-RA
OG0000021	LHUM_14900-RA, LHUM_24991-RA, LHUM_13484-RA, LHUM_13483-RA, LHUM_14899-RA	ACEP_00001863-RA
OG0000021	LHUM_19960-RA, LHUM_15387-RA, LHUM_15385-RA, LHUM_17270-RA, LHUM_17269-RA	ACEP_00002023-RA
OG0000021	LHUM_17459-RA	ACEP_00002493-RA
OG0000021	LHUM_13481-RA, LHUM_21433-RA, LHUM_15684-RA, LHUM_15683-RA	ACEP_00002022-RA, ACEP_00001864-RA
OG0000022	LHUM_10827-RA	ACEP_00004135-RA
OG0000022	LHUM_23507-RA	ACEP_00002259-RA
OG0000022	LHUM_25883-RA	ACEP_00018172-RA
OG0000022	LHUM_25885-RA	ACEP_00017875-RA
OG0000022	LHUM_18177-RA	ACEP_00015834-RA, ACEP_00015835-RA
OG0000022	LHUM_20614-RA, LHUM_20612-RA	ACEP_00010322-RA
OG0000023	LHUM_10560-RA, LHUM_25299-RA, LHUM_26016-RA, LHUM_13383-RA, LHUM_25475-RA, LHUM_10559-RA, LHUM_10080-RA, LHUM_13874-RA, LHUM_10830-RA, LHUM_12473-RA, LHUM_25441-RA, LHUM_10114-RA, LHUM_22538-RA, LHUM_10345-RA, LHUM_10511-RA, LHUM_25265-RA, LHUM_14403-RA, LHUM_14679-RA, LHUM_23888-RA, LHUM_10512-RA, LHUM_14404-RA, LHUM_22764-RA, LHUM_10443-RA, LHUM_15619-RA	ACEP_00003721-RA
OG0000024	LHUM_25577-RA	ACEP_00002550-RA
OG0000024	LHUM_22821-RA	ACEP_00004337-RA
OG0000024	LHUM_25997-RA	ACEP_00014771-RA
OG0000024	LHUM_22816-RA, LHUM_22820-RA	ACEP_00017286-RA
OG0000024	LHUM_22817-RA	ACEP_00004333-RA
OG0000024	LHUM_22822-RA	ACEP_00004336-RA
OG0000024	LHUM_22823-RA	ACEP_00004339-RA, ACEP_00004340-RA
OG0000024	LHUM_17303-RA	ACEP_00000478-RA
OG0000024	LHUM_14564-RA	ACEP_00002381-RA, ACEP_00002382-RA
OG0000025	LHUM_19303-RA, LHUM_10501-RA, LHUM_15781-RA, LHUM_15782-RA, LHUM_15663-RA, LHUM_10491-RA, LHUM_10599-RA, LHUM_15181-RA	ACEP_00001487-RA
OG0000025	LHUM_14938-RA, LHUM_19095-RA	ACEP_00009611-RA, ACEP_00004839-RA
OG0000025	LHUM_17652-RA, LHUM_25219-RA, LHUM_18358-RA, LHUM_19302-RA, LHUM_18359-RA	ACEP_00009610-RA
OG0000028	LHUM_20985-RA, LHUM_13235-RA, LHUM_25190-RA, LHUM_14430-RA, LHUM_15605-RA, LHUM_23742-RA	ACEP_00005915-RA
OG0000028	LHUM_22976-RA, LHUM_13320-RA, LHUM_22974-RA, LHUM_15095-RA, LHUM_15602-RA, LHUM_10040-RA, LHUM_10741-RA, LHUM_23188-RA, LHUM_25256-RA	ACEP_00009725-RA
OG0000028	LHUM_15604-RA	ACEP_00008106-RA
OG0000029	LHUM_10639-RA	ACEP_00015407-RA
OG0000029	LHUM_10374-RA, LHUM_10373-RA, LHUM_12262-RA, LHUM_25438-RA, LHUM_10007-RA, LHUM_10861-RA, LHUM_10375-RA, LHUM_10275-RA, LHUM_10860-RA, LHUM_13179-RA, LHUM_13310-RA, LHUM_10368-RA, LHUM_25440-RA, LHUM_10862-RA, LHUM_10072-RA, LHUM_10640-RA, LHUM_13311-RA, LHUM_25439-RA	ACEP_00015406-RA
OG0000030	LHUM_11893-RA	ACEP_00014567-RA
OG0000030	LHUM_10457-RA	ACEP_00011589-RA
OG0000031	LHUM_14542-RA	ACEP_00008394-RA
OG0000031	LHUM_24723-RA	ACEP_00007362-RA
OG0000031	LHUM_15985-RA	ACEP_00014980-RA
OG0000031	LHUM_22979-RA	ACEP_00014038-RA
OG0000031	LHUM_22512-RA	ACEP_00014977-RA
OG0000031	LHUM_24672-RA	ACEP_00001158-RA, ACEP_00001157-RA
OG0000032	LHUM_10529-RA, LHUM_16692-RA	ACEP_00013148-RA, ACEP_00013149-RA, ACEP_00013147-RA, ACEP_00015207-RA
OG0000032	LHUM_15681-RA	ACEP_00017955-RA
OG0000032	LHUM_24088-RA	ACEP_00015194-RA
OG0000033	LHUM_10063-RA	ACEP_00011572-RA
OG0000033	LHUM_15893-RA, LHUM_13233-RA, LHUM_12281-RA, LHUM_11509-RA, LHUM_12279-RA, LHUM_11578-RA, LHUM_12283-RA	ACEP_00014894-RA
OG0000035	LHUM_18464-RA	ACEP_00017794-RA
OG0000035	LHUM_25730-RA	ACEP_00012576-RA, ACEP_00012578-RA
OG0000035	LHUM_18458-RA	ACEP_00012571-RA
OG0000035	LHUM_25728-RA	ACEP_00017795-RA, ACEP_00016515-RA, ACEP_00017792-RA, ACEP_00012573-RA
OG0000037	LHUM_11288-RA	ACEP_00013966-RA
OG0000037	LHUM_10353-RA	ACEP_00009266-RA, ACEP_00009267-RA, ACEP_00009275-RA, ACEP_00004597-RA, ACEP_00009354-RA, ACEP_00013962-RA, ACEP_00013968-RA, ACEP_00013969-RA, ACEP_00013970-RA
OG0000038	LHUM_23078-RA	ACEP_00009900-RA, ACEP_00001993-RA, ACEP_00015496-RA, ACEP_00011218-RA, ACEP_00015498-RA, ACEP_00015493-RA, ACEP_00015494-RA, ACEP_00015495-RA, ACEP_00000642-RA, ACEP_00016538-RA, ACEP_00005121-RA, ACEP_00016855-RA, ACEP_00018011-RA, ACEP_00016857-RA, ACEP_00016856-RA, ACEP_00005122-RA, ACEP_00005123-RA, ACEP_00013958-RA, ACEP_00015492-RA
OG0000039	LHUM_20394-RA	ACEP_00015337-RA, ACEP_00008124-RA, ACEP_00015336-RA
OG0000039	LHUM_24044-RA	ACEP_00010233-RA
OG0000039	LHUM_26075-RA	ACEP_00010236-RA
OG0000039	LHUM_24045-RA	ACEP_00010237-RA
OG0000039	LHUM_15650-RA	ACEP_00002484-RA, ACEP_00002461-RA
OG0000040	LHUM_14672-RA, LHUM_15166-RA, LHUM_10123-RA, LHUM_24293-RA	ACEP_00004980-RA
OG0000040	LHUM_12797-RA, LHUM_11199-RA, LHUM_10641-RA, LHUM_11590-RA, LHUM_11589-RA, LHUM_22486-RA, LHUM_14800-RA	ACEP_00010442-RA
OG0000040	LHUM_14792-RA, LHUM_25482-RA	ACEP_00000900-RA, ACEP_00011861-RA
OG0000041	LHUM_10454-RA	ACEP_00012909-RA
OG0000041	LHUM_10336-RA, LHUM_14522-RA, LHUM_15403-RA	ACEP_00000919-RA, ACEP_00000899-RA, ACEP_00005895-RA, ACEP_00015619-RA, ACEP_00008490-RA, ACEP_00001156-RA, ACEP_00010438-RA, ACEP_00012190-RA, ACEP_00014737-RA, ACEP_00012229-RA, ACEP_00014610-RA, ACEP_00014268-RA
OG0000043	LHUM_14451-RA, LHUM_23197-RA, LHUM_15107-RA, LHUM_15103-RA, LHUM_23878-RA, LHUM_11864-RA, LHUM_16625-RA, LHUM_12395-RA, LHUM_20431-RA, LHUM_14819-RA, LHUM_20696-RA, LHUM_10441-RA, LHUM_15104-RA, LHUM_23238-RA, LHUM_14453-RA, LHUM_10088-RA, LHUM_10533-RA, LHUM_23669-RA, LHUM_19914-RA, LHUM_10236-RA	ACEP_00012175-RA
OG0000044	LHUM_12469-RA, LHUM_11594-RA, LHUM_11141-RA, LHUM_10087-RA, LHUM_10515-RA, LHUM_10282-RA, LHUM_11595-RA	ACEP_00011839-RA
OG0000044	LHUM_12807-RA	ACEP_00011929-RA
OG0000044	LHUM_11143-RA, LHUM_21774-RA, LHUM_10853-RA, LHUM_20539-RA, LHUM_22243-RA	ACEP_00006037-RA
OG0000045	LHUM_11180-RA, LHUM_22566-RA	ACEP_00011526-RA
OG0000045	LHUM_10622-RA, LHUM_19273-RA, LHUM_11488-RA, LHUM_20306-RA, LHUM_11176-RA, LHUM_10168-RA, LHUM_11179-RA, LHUM_13964-RA, LHUM_10625-RA, LHUM_12306-RA, LHUM_11356-RA, LHUM_23990-RA, LHUM_23189-RA, LHUM_15668-RA	ACEP_00003507-RA
OG0000046	LHUM_12517-RA	ACEP_00010407-RA
OG0000046	LHUM_11735-RA, LHUM_14322-RA, LHUM_10434-RA, LHUM_11546-RA, LHUM_14426-RA, LHUM_11784-RA, LHUM_12518-RA, LHUM_15687-RA, LHUM_11547-RA, LHUM_10437-RA, LHUM_14323-RA, LHUM_12520-RA, LHUM_11548-RA, LHUM_25229-RA, LHUM_11785-RA, LHUM_11736-RA, LHUM_12519-RA	ACEP_00011725-RA
OG0000047	LHUM_12051-RA	ACEP_00015573-RA
OG0000047	LHUM_14011-RA, LHUM_14010-RA, LHUM_25533-RA, LHUM_25532-RA, LHUM_24049-RA, LHUM_15063-RA, LHUM_25539-RA, LHUM_25538-RA, LHUM_13852-RA, LHUM_19459-RA, LHUM_13844-RA, LHUM_25535-RA, LHUM_18149-RA, LHUM_19196-RA, LHUM_20668-RA, LHUM_25536-RA	ACEP_00015568-RA
OG0000048	LHUM_12558-RA	ACEP_00013355-RA
OG0000051	LHUM_10134-RA	ACEP_00011133-RA
OG0000051	LHUM_10136-RA	ACEP_00011508-RA, ACEP_00011136-RA, ACEP_00001316-RA, ACEP_00001315-RA, ACEP_00001314-RA, ACEP_00011142-RA, ACEP_00001306-RA, ACEP_00011140-RA, ACEP_00011139-RA, ACEP_00001310-RA, ACEP_00011138-RA, ACEP_00011141-RA, ACEP_00001307-RA, ACEP_00001311-RA, ACEP_00001309-RA
OG0000052	LHUM_17100-RA	ACEP_00004420-RA
OG0000052	LHUM_17822-RA	ACEP_00002294-RA
OG0000052	LHUM_21131-RA	ACEP_00003359-RA
OG0000052	LHUM_17808-RA	ACEP_00002295-RA
OG0000052	LHUM_17810-RA, LHUM_17809-RA	ACEP_00002297-RA
OG0000053	LHUM_25360-RA	ACEP_00017832-RA
OG0000053	LHUM_22632-RA	ACEP_00014151-RA, ACEP_00014152-RA
OG0000053	LHUM_18023-RA	ACEP_00011979-RA
OG0000053	LHUM_19794-RA, LHUM_26018-RA	ACEP_00017833-RA
OG0000054	LHUM_13585-RA	ACEP_00011265-RA
OG0000054	LHUM_16335-RA	ACEP_00014842-RA
OG0000055	LHUM_24002-RA	ACEP_00003796-RA
OG0000055	LHUM_16175-RA	ACEP_00011962-RA
OG0000055	LHUM_18070-RA	ACEP_00000666-RA
OG0000055	LHUM_19162-RA	ACEP_00017915-RA
OG0000056	LHUM_24291-RA	ACEP_00014563-RA
OG0000056	LHUM_24288-RA, LHUM_10163-RA, LHUM_13456-RA, LHUM_13435-RA, LHUM_13326-RA, LHUM_25269-RA, LHUM_25280-RA, LHUM_26017-RA, LHUM_10858-RA, LHUM_13360-RA, LHUM_15778-RA, LHUM_15774-RA, LHUM_10358-RA, LHUM_12271-RA, LHUM_10517-RA, LHUM_25262-RA	ACEP_00015465-RA
OG0000057	LHUM_16822-RA, LHUM_16824-RA, LHUM_11637-RA, LHUM_17363-RA, LHUM_14471-RA, LHUM_10768-RA, LHUM_22548-RA, LHUM_10859-RA, LHUM_20452-RA, LHUM_15114-RA, LHUM_11566-RA, LHUM_10281-RA, LHUM_20453-RA, LHUM_10910-RA	ACEP_00009255-RA
OG0000058	LHUM_12853-RA	ACEP_00012285-RA
OG0000062	LHUM_11343-RA	ACEP_00013246-RA
OG0000062	LHUM_22708-RA	ACEP_00000449-RA
OG0000062	LHUM_23404-RA	ACEP_00004082-RA
OG0000062	LHUM_12354-RA	ACEP_00004092-RA
OG0000062	LHUM_11342-RA	ACEP_00003321-RA
OG0000064	LHUM_24213-RA	ACEP_00007791-RA
OG0000064	LHUM_13102-RA	ACEP_00013110-RA
OG0000064	LHUM_12899-RA	ACEP_00008692-RA
OG0000064	LHUM_11173-RA	ACEP_00003561-RA
OG0000064	LHUM_23378-RA	ACEP_00013513-RA
OG0000064	LHUM_16392-RA	ACEP_00010593-RA
OG0000065	LHUM_26113-RA	ACEP_00001056-RA, ACEP_00001059-RA
OG0000065	LHUM_24938-RA	ACEP_00001049-RA
OG0000065	LHUM_26112-RA	ACEP_00001051-RA
OG0000066	LHUM_23901-RA	ACEP_00001000-RA, ACEP_00009402-RA, ACEP_00010463-RA, ACEP_00005956-RA
OG0000067	LHUM_21670-RA	ACEP_00001292-RA
OG0000068	LHUM_19579-RA	ACEP_00011805-RA, ACEP_00011771-RA, ACEP_00000935-RA, ACEP_00014590-RA, ACEP_00005792-RA, ACEP_00011812-RA, ACEP_00011792-RA, ACEP_00011756-RA, ACEP_00001038-RA, ACEP_00009197-RA, ACEP_00000934-RA, ACEP_00015351-RA, ACEP_00011813-RA, ACEP_00011802-RA, ACEP_00011791-RA, ACEP_00009174-RA
OG0000069	LHUM_25609-RA	ACEP_00017186-RA
OG0000069	LHUM_16353-RA, LHUM_25611-RA, LHUM_25596-RA, LHUM_25597-RA, LHUM_25607-RA, LHUM_25605-RA, LHUM_16362-RA, LHUM_16360-RA, LHUM_25610-RA, LHUM_25606-RA	ACEP_00002716-RA
OG0000071	LHUM_13167-RA	ACEP_00010659-RA
OG0000075	LHUM_25498-RA	ACEP_00002851-RA
OG0000075	LHUM_14190-RA	ACEP_00012797-RA
OG0000075	LHUM_20267-RA	ACEP_00016287-RA
OG0000075	LHUM_19129-RA	ACEP_00015550-RA
OG0000076	LHUM_26004-RA, LHUM_26005-RA	ACEP_00005232-RA
OG0000076	LHUM_25149-RA	ACEP_00008517-RA
OG0000076	LHUM_11300-RA	ACEP_00013948-RA
OG0000076	LHUM_11974-RA	ACEP_00012612-RA
OG0000078	LHUM_26034-RA	ACEP_00016737-RA, ACEP_00012620-RA, ACEP_00009871-RA, ACEP_00003969-RA, ACEP_00003970-RA, ACEP_00012619-RA, ACEP_00016410-RA, ACEP_00012621-RA, ACEP_00000809-RA, ACEP_00000807-RA, ACEP_00011415-RA, ACEP_00011959-RA, ACEP_00011958-RA, ACEP_00011491-RA, ACEP_00014531-RA
OG0000079	LHUM_17824-RA	ACEP_00002291-RA
OG0000079	LHUM_21966-RA	ACEP_00006947-RA, ACEP_00006945-RA
OG0000079	LHUM_25915-RA, LHUM_25927-RA	ACEP_00017989-RA
OG0000081	LHUM_20345-RA	ACEP_00014091-RA
OG0000081	LHUM_20333-RA	ACEP_00014076-RA
OG0000081	LHUM_24989-RA	ACEP_00013118-RA
OG0000081	LHUM_19594-RA	ACEP_00018112-RA
OG0000081	LHUM_19591-RA	ACEP_00007446-RA
OG0000081	LHUM_19592-RA	ACEP_00007447-RA
OG0000082	LHUM_24891-RA	ACEP_00003731-RA, ACEP_00003729-RA
OG0000082	LHUM_21289-RA	ACEP_00012742-RA
OG0000082	LHUM_20877-RA, LHUM_21967-RA	ACEP_00006784-RA
OG0000083	LHUM_13395-RA, LHUM_15617-RA, LHUM_13193-RA	ACEP_00018208-RA
OG0000083	LHUM_25281-RA, LHUM_11891-RA, LHUM_25442-RA, LHUM_11890-RA, LHUM_11999-RA, LHUM_10514-RA, LHUM_15621-RA, LHUM_13396-RA, LHUM_11891-RB, LHUM_22496-RA	ACEP_00014640-RA
OG0000084	LHUM_19568-RA	ACEP_00007488-RA
OG0000084	LHUM_10075-RA, LHUM_23928-RA	ACEP_00009190-RA
OG0000084	LHUM_um_for-1	ACEP_00004210-RA
OG0000085	LHUM_25389-RA	ACEP_00017895-RA
OG0000085	LHUM_11871-RB, LHUM_11871-RA	ACEP_00016389-RA
OG0000085	LHUM_12493-RA, LHUM_21657-RA	ACEP_00013632-RA
OG0000085	LHUM_21658-RA	ACEP_00013631-RA
OG0000086	LHUM_20664-RA	ACEP_00004263-RA
OG0000086	LHUM_15676-RA, LHUM_13301-RA, LHUM_24309-RA, LHUM_24303-RA	ACEP_00002832-RA
OG0000086	LHUM_13302-RA, LHUM_11410-RA, LHUM_15675-RA	ACEP_00016355-RA, ACEP_00004262-RA
OG0000087	LHUM_16203-RA, LHUM_15662-RA, LHUM_10357-RA, LHUM_12810-RA, LHUM_10274-RA, LHUM_10465-RA, LHUM_23231-RA, LHUM_10635-RA, LHUM_11742-RA, LHUM_20014-RA, LHUM_10521-RA, LHUM_25261-RA, LHUM_19915-RA	ACEP_00009639-RA
OG0000089	LHUM_15599-RA, LHUM_14704-RA, LHUM_13390-RA, LHUM_10146-RA, LHUM_22763-RA, LHUM_11879-RA, LHUM_25283-RA, LHUM_25524-RA, LHUM_26021-RA, LHUM_15598-RA, LHUM_10842-RA, LHUM_10151-RA, LHUM_25300-RA, LHUM_11492-RA	ACEP_00010073-RA
OG0000094	LHUM_15639-RA	ACEP_00002453-RA
OG0000094	LHUM_16303-RA	ACEP_00008314-RA
OG0000094	LHUM_14631-RA	ACEP_00006332-RA
OG0000094	LHUM_12628-RA	ACEP_00004174-RA
OG0000094	LHUM_12506-RA	ACEP_00013609-RA
OG0000095	LHUM_23821-RA	ACEP_00005734-RA
OG0000095	LHUM_23332-RA	ACEP_00004814-RA
OG0000095	LHUM_12385-RA	ACEP_00004888-RA
OG0000095	LHUM_24960-RA	ACEP_00003629-RA
OG0000095	LHUM_um_nAChRa1-RA	ACEP_00005727-RA
OG0000096	LHUM_17224-RA	ACEP_00016703-RA, ACEP_00011186-RA, ACEP_00011187-RA, ACEP_00016483-RA, ACEP_00011185-RA
OG0000097	LHUM_14556-RA, LHUM_18707-RA	ACEP_00012329-RA
OG0000097	LHUM_12623-RA, LHUM_25211-RA, LHUM_18381-RA, LHUM_12622-RA, LHUM_10542-RA, LHUM_17397-RA, LHUM_12522-RA, LHUM_10273-RA, LHUM_25207-RA, LHUM_18710-RA	ACEP_00012330-RA
